# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = 83fc99c19394
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 16:50:15
# nuclide = Bi212, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 2000000
# Sv_total_per_cm3_s = 2.300000e-03
# fluence_total_cm2_s = 7.779617e-02
E_keV,fluence_cm2_s
1.0,1.203984e-07
3.0,3.085192e-08
5.0,7.063328e-07
13.0,2.808042e-06
17.0,1.742724e-06
23.0,1.554536e-06
25.0,1.245596e-06
27.0,4.300936e-06
29.0,5.136063e-06
31.0,5.689392e-06
33.0,6.355711e-06
35.0,1.972072e-05
37.0,1.977554e-05
39.0,5.354146e-05
41.0,4.596887e-05
43.0,9.345401e-05
45.0,1.175058e-04
47.0,1.398623e-04
49.0,2.005863e-04
51.0,2.219610e-04
53.0,3.011772e-04
55.0,2.863048e-04
57.0,3.575252e-04
59.0,4.417393e-04
61.0,4.814293e-04
63.0,5.118891e-04
65.0,5.237806e-04
67.0,5.892050e-04
69.0,5.891843e-04
71.0,6.079141e-04
73.0,7.532147e-04
75.0,6.760737e-04
77.0,6.553820e-04
79.0,5.443245e-04
81.0,6.113029e-04
83.0,6.488134e-04
85.0,6.431738e-04
87.0,6.226320e-04
89.0,6.656648e-04
91.0,6.096913e-04
93.0,6.467118e-04
95.0,6.240477e-04
97.0,5.414681e-04
99.0,6.242320e-04
101.0,5.939268e-04
103.0,6.050531e-04
105.0,5.627527e-04
107.0,5.837673e-04
109.0,5.688228e-04
111.0,5.357977e-04
113.0,5.271782e-04
115.0,5.259556e-04
117.0,4.788808e-04
119.0,4.310182e-04
121.0,4.376082e-04
123.0,4.731407e-04
125.0,4.714768e-04
127.0,4.937576e-04
129.0,4.691845e-04
131.0,4.457171e-04
133.0,4.718712e-04
135.0,4.574731e-04
137.0,4.578778e-04
139.0,3.392409e-04
141.0,3.638217e-04
143.0,3.811999e-04
145.0,3.507963e-04
147.0,3.691090e-04
149.0,3.509502e-04
151.0,3.974989e-04
153.0,3.636387e-04
155.0,3.182591e-04
157.0,2.647980e-04
159.0,3.068939e-04
161.0,3.196503e-04
163.0,3.202061e-04
165.0,3.247060e-04
167.0,3.112511e-04
169.0,2.884694e-04
171.0,3.080229e-04
173.0,3.205984e-04
175.0,2.756399e-04
177.0,3.280268e-04
179.0,2.885015e-04
181.0,3.463800e-04
183.0,2.546364e-04
185.0,2.904430e-04
187.0,2.773131e-04
189.0,2.512056e-04
191.0,2.560357e-04
193.0,2.770687e-04
195.0,2.623954e-04
197.0,2.450418e-04
199.0,2.593324e-04
201.0,2.630132e-04
203.0,2.321307e-04
205.0,2.312006e-04
207.0,1.942645e-04
209.0,2.548208e-04
211.0,2.259772e-04
213.0,2.197246e-04
215.0,2.365295e-04
217.0,2.162975e-04
219.0,2.098409e-04
221.0,1.823159e-04
223.0,2.382445e-04
225.0,2.081270e-04
227.0,2.228621e-04
229.0,1.839764e-04
231.0,1.793363e-04
233.0,2.130925e-04
235.0,1.956055e-04
237.0,1.822966e-04
239.0,1.943924e-04
241.0,1.992826e-04
243.0,2.013168e-04
245.0,1.944040e-04
247.0,1.602511e-04
249.0,1.815843e-04
251.0,1.716065e-04
253.0,2.066632e-04
255.0,1.626009e-04
257.0,1.903228e-04
259.0,1.738223e-04
261.0,1.862747e-04
263.0,1.453658e-04
265.0,1.434883e-04
267.0,1.631801e-04
269.0,1.336348e-04
271.0,1.681991e-04
273.0,1.477549e-04
275.0,1.675807e-04
277.0,3.087503e-04
279.0,1.203250e-04
281.0,1.340635e-04
283.0,1.789335e-04
285.0,1.461060e-04
287.0,1.578144e-04
289.0,1.732835e-04
291.0,1.082206e-04
293.0,1.329542e-04
295.0,1.360649e-04
297.0,1.451738e-04
299.0,1.172464e-04
301.0,1.060584e-04
303.0,8.197961e-05
305.0,1.372919e-04
307.0,1.387975e-04
309.0,9.961789e-05
311.0,1.229104e-04
313.0,1.068114e-04
315.0,1.016336e-04
317.0,1.070868e-04
319.0,1.169074e-04
321.0,1.140688e-04
323.0,1.219359e-04
325.0,1.026111e-04
327.0,8.587160e-05
329.0,1.206029e-04
331.0,8.161068e-05
333.0,1.229508e-04
335.0,7.780786e-05
337.0,1.101131e-04
339.0,6.257374e-05
341.0,8.238359e-05
343.0,9.475569e-05
345.0,9.452177e-05
347.0,1.001401e-04
349.0,1.043143e-04
351.0,1.285204e-04
353.0,9.028804e-05
355.0,1.063148e-04
357.0,7.999495e-05
359.0,6.685571e-05
361.0,9.550678e-05
363.0,9.945097e-05
365.0,7.701027e-05
367.0,8.136687e-05
369.0,9.212872e-05
371.0,9.260933e-05
373.0,7.027100e-05
375.0,1.144783e-04
377.0,5.771799e-05
379.0,7.324450e-05
381.0,7.291870e-05
383.0,8.388448e-05
385.0,9.697297e-05
387.0,7.684369e-05
389.0,7.709356e-05
391.0,8.642771e-05
393.0,6.484067e-05
395.0,1.018116e-04
397.0,6.745281e-05
399.0,6.410627e-05
401.0,7.823976e-05
403.0,7.416227e-05
405.0,7.211656e-05
407.0,9.625926e-05
409.0,7.361503e-05
411.0,7.299077e-05
413.0,8.795235e-05
415.0,6.278433e-05
417.0,6.079834e-05
419.0,7.689307e-05
421.0,7.755335e-05
423.0,8.675508e-05
425.0,9.010103e-05
427.0,7.682331e-05
429.0,7.667823e-05
431.0,7.721219e-05
433.0,7.215989e-05
435.0,5.958030e-05
437.0,4.824639e-05
439.0,5.863445e-05
441.0,5.218186e-05
443.0,3.092127e-05
445.0,5.307378e-05
447.0,8.313643e-05
449.0,4.547632e-05
451.0,7.481004e-05
453.0,7.895031e-05
455.0,7.429698e-05
457.0,8.054428e-05
459.0,6.634671e-05
461.0,7.221978e-05
463.0,6.591546e-05
465.0,6.736965e-05
467.0,7.658486e-05
469.0,5.700664e-05
471.0,5.726826e-05
473.0,6.967148e-05
475.0,6.183327e-05
477.0,7.057236e-05
479.0,6.187595e-05
481.0,6.075212e-05
483.0,4.711968e-05
485.0,4.970206e-05
487.0,4.948314e-05
489.0,6.223833e-05
491.0,4.065188e-05
493.0,5.919228e-05
495.0,5.055338e-05
497.0,3.993606e-05
499.0,5.493754e-05
501.0,4.734076e-05
503.0,5.021968e-05
505.0,6.128987e-05
507.0,4.608808e-05
509.0,5.031877e-05
511.0,1.237026e-03
513.0,3.104401e-05
515.0,5.750837e-05
517.0,4.443609e-05
519.0,4.432591e-05
521.0,3.817178e-05
523.0,4.364483e-05
525.0,4.064679e-05
527.0,6.610218e-05
529.0,5.694303e-05
531.0,4.285594e-05
533.0,4.149308e-05
535.0,5.353474e-05
537.0,4.809595e-05
539.0,3.767264e-05
541.0,2.923317e-05
543.0,4.681394e-05
545.0,5.427221e-05
547.0,3.514759e-05
549.0,5.675604e-05
551.0,4.269702e-05
553.0,5.018976e-05
555.0,3.525530e-05
557.0,4.729789e-05
559.0,4.070565e-05
561.0,2.537605e-05
563.0,5.014484e-05
565.0,5.913888e-05
567.0,6.104537e-05
569.0,3.311476e-05
571.0,5.202131e-05
573.0,4.022900e-05
575.0,5.869374e-05
577.0,2.744676e-05
579.0,4.437418e-05
581.0,3.498731e-05
583.0,3.796654e-03
585.0,2.650648e-05
587.0,3.673483e-05
589.0,2.873160e-05
591.0,8.000039e-06
593.0,2.770588e-05
595.0,3.188246e-05
597.0,1.782392e-05
599.0,3.069862e-05
601.0,1.570557e-05
603.0,3.370628e-05
605.0,3.061004e-05
607.0,2.853494e-05
609.0,1.095071e-05
611.0,2.700919e-05
613.0,2.142003e-05
615.0,2.486706e-05
617.0,2.218502e-05
619.0,1.285541e-05
621.0,3.819499e-05
623.0,3.723656e-05
625.0,1.847664e-05
627.0,3.071169e-05
629.0,2.341532e-05
631.0,2.510108e-05
633.0,1.587185e-05
635.0,1.287664e-05
637.0,2.362110e-05
639.0,2.959031e-05
641.0,3.232038e-05
643.0,2.110063e-05
645.0,1.564881e-05
647.0,1.779505e-05
649.0,1.945496e-05
651.0,1.869475e-05
653.0,2.599698e-05
655.0,2.805931e-05
657.0,3.697897e-05
659.0,2.795423e-05
661.0,1.213595e-05
663.0,3.684292e-05
665.0,2.581574e-05
667.0,2.853846e-05
669.0,1.841486e-05
671.0,2.883826e-05
673.0,6.472822e-06
675.0,1.444926e-05
677.0,1.674911e-05
679.0,1.690109e-05
681.0,2.233575e-05
683.0,1.520796e-05
685.0,1.998018e-05
687.0,3.306888e-05
689.0,1.373056e-05
691.0,2.005459e-05
693.0,1.915883e-05
695.0,2.414025e-05
697.0,1.355686e-05
699.0,3.560461e-05
701.0,1.790820e-05
703.0,3.089078e-05
705.0,2.959209e-05
707.0,2.251885e-05
709.0,3.602104e-05
711.0,9.157803e-06
713.0,2.696064e-05
715.0,2.047599e-05
717.0,2.646734e-05
719.0,1.986339e-05
721.0,2.814146e-05
723.0,2.247803e-05
725.0,9.774109e-06
727.0,8.704708e-04
729.0,2.031166e-05
731.0,1.703682e-05
733.0,1.597731e-05
735.0,2.883294e-05
737.0,2.414885e-05
739.0,6.762585e-06
741.0,1.469365e-05
743.0,1.490141e-05
745.0,2.254652e-05
747.0,1.198255e-05
749.0,1.667762e-05
751.0,1.133103e-05
753.0,2.311073e-05
755.0,1.251487e-05
757.0,4.643475e-06
759.0,3.357480e-05
761.0,1.918679e-05
763.0,9.359371e-05
765.0,2.008689e-05
767.0,1.270952e-05
769.0,1.744874e-05
771.0,1.330277e-05
773.0,1.498203e-05
775.0,1.992005e-05
777.0,2.898843e-05
779.0,1.754302e-05
781.0,1.396209e-05
783.0,3.761638e-06
785.0,1.811060e-04
787.0,1.104058e-05
789.0,2.074145e-05
791.0,8.764635e-06
793.0,1.121213e-05
795.0,1.092951e-05
797.0,1.495742e-05
799.0,1.026569e-05
801.0,1.109337e-05
803.0,2.167165e-05
805.0,9.095356e-06
807.0,1.137428e-05
809.0,1.306782e-05
811.0,1.177453e-05
813.0,6.536144e-06
815.0,1.147575e-05
817.0,1.900927e-05
819.0,8.833036e-06
821.0,1.235531e-05
823.0,2.305079e-05
825.0,1.827635e-05
827.0,2.124769e-05
829.0,1.614721e-05
831.0,1.172475e-05
833.0,2.427982e-05
835.0,2.035834e-05
837.0,1.635149e-05
839.0,7.382875e-06
841.0,1.794716e-05
843.0,2.335416e-05
845.0,1.058341e-05
847.0,6.570960e-06
849.0,6.850095e-06
851.0,2.090378e-05
853.0,1.182241e-05
855.0,1.705580e-05
857.0,1.170256e-05
859.0,1.362473e-05
861.0,6.382940e-04
863.0,1.183513e-05
865.0,1.525540e-05
867.0,1.460220e-05
869.0,1.640184e-05
871.0,2.134573e-05
873.0,5.204298e-06
875.0,6.018964e-06
877.0,8.931908e-06
879.0,9.962846e-06
881.0,9.324186e-06
883.0,1.219699e-05
885.0,1.028000e-05
887.0,1.922627e-05
889.0,1.536725e-05
891.0,1.857399e-05
893.0,8.049051e-05
895.0,1.592097e-05
897.0,1.968433e-06
899.0,1.829680e-05
901.0,2.523165e-06
903.0,8.452487e-06
905.0,8.064012e-06
907.0,9.649742e-06
909.0,8.025306e-06
911.0,1.047313e-05
913.0,1.377115e-05
915.0,1.299094e-05
917.0,1.159968e-05
919.0,1.121186e-05
921.0,2.304542e-05
923.0,1.817769e-06
925.0,7.514989e-06
927.0,1.726593e-05
929.0,1.284348e-05
931.0,1.458081e-05
933.0,6.755517e-06
935.0,7.826593e-06
937.0,8.012112e-06
939.0,5.828229e-06
941.0,8.765674e-06
943.0,1.118631e-05
945.0,1.611726e-05
947.0,1.280006e-05
949.0,1.776897e-05
951.0,1.253751e-05
953.0,3.318831e-05
955.0,1.259565e-05
957.0,5.271660e-06
959.0,9.308724e-06
961.0,1.156155e-05
963.0,8.677015e-06
965.0,9.340921e-06
967.0,5.601082e-06
969.0,1.657331e-05
971.0,6.470670e-06
973.0,5.665069e-06
975.0,1.133956e-05
977.0,1.001334e-05
979.0,6.939232e-06
981.0,1.760058e-05
983.0,2.114533e-05
985.0,1.399188e-05
987.0,3.562164e-06
989.0,1.445093e-05
991.0,8.173620e-06
993.0,1.390318e-05
995.0,1.267032e-05
997.0,5.389345e-06
999.0,1.459072e-05
1001.0,7.089607e-06
1003.0,6.654451e-06
1005.0,7.534782e-06
1007.0,1.347956e-05
1009.0,1.134079e-05
1011.0,3.974889e-06
1013.0,4.954110e-06
1015.0,1.028820e-05
1017.0,1.020718e-05
1019.0,1.550894e-05
1021.0,3.916091e-06
1023.0,1.191737e-05
1025.0,1.838343e-05
1027.0,1.511622e-06
1029.0,9.779675e-06
1031.0,1.396860e-05
1033.0,1.246170e-05
1035.0,7.360751e-06
1037.0,4.516572e-06
1039.0,7.694807e-06
1041.0,7.867474e-06
1043.0,3.088040e-06
1045.0,4.601956e-06
1047.0,1.241122e-05
1049.0,1.417943e-05
1051.0,1.190089e-05
1053.0,1.624635e-05
1055.0,6.623140e-06
1057.0,1.198693e-05
1059.0,9.116454e-06
1061.0,8.137626e-06
1063.0,7.437883e-06
1065.0,6.576760e-06
1067.0,1.070273e-05
1069.0,8.904207e-06
1071.0,1.181388e-05
1073.0,1.476076e-05
1075.0,1.275201e-05
1077.0,1.110080e-05
1079.0,8.539906e-05
1081.0,8.078854e-06
1083.0,4.472171e-06
1085.0,1.218009e-05
1087.0,1.431640e-05
1089.0,1.550377e-05
1091.0,7.473712e-06
1093.0,3.750105e-05
1095.0,1.077079e-05
1097.0,1.733038e-05
1099.0,1.518076e-05
1101.0,1.436016e-05
1103.0,1.581481e-05
1105.0,2.857964e-06
1107.0,9.997888e-06
1109.0,1.385472e-05
1111.0,1.227565e-05
1113.0,1.087674e-05
1115.0,1.841235e-06
1117.0,3.071522e-06
1119.0,8.905072e-06
1121.0,8.701729e-06
1123.0,1.021491e-05
1125.0,4.772196e-06
1127.0,8.457560e-06
1129.0,1.578353e-05
1131.0,6.438713e-06
1133.0,8.146239e-06
1135.0,8.322833e-06
1137.0,6.932879e-06
1139.0,4.882639e-06
1141.0,5.444750e-06
1143.0,3.525987e-06
1145.0,9.379626e-06
1147.0,6.340919e-06
1149.0,1.105046e-05
1151.0,8.631428e-06
1153.0,2.296788e-05
1155.0,6.882778e-06
1157.0,2.279704e-06
1159.0,4.984385e-06
1161.0,6.252129e-06
1163.0,1.138496e-05
1165.0,1.340909e-05
1167.0,1.393542e-05
1169.0,1.304966e-05
1171.0,5.121091e-06
1173.0,6.527323e-06
1175.0,5.492990e-06
1177.0,1.114332e-05
1179.0,3.677839e-06
1181.0,3.933901e-06
1183.0,4.613998e-06
1185.0,1.199469e-05
1187.0,1.051320e-05
1189.0,1.058552e-05
1191.0,1.169164e-05
1193.0,5.364598e-06
1195.0,9.935968e-06
1197.0,9.419706e-06
1199.0,8.614935e-06
1201.0,9.122183e-06
1203.0,6.197119e-06
1205.0,6.455772e-06
1207.0,9.045255e-06
1209.0,1.527738e-05
1213.0,1.546008e-05
1215.0,5.973539e-06
1217.0,5.742380e-06
1219.0,1.375817e-05
1221.0,8.991138e-06
1223.0,7.948138e-06
1225.0,4.271709e-06
1227.0,3.613086e-06
1229.0,5.850854e-06
1231.0,5.077869e-06
1233.0,2.071138e-06
1235.0,1.927436e-06
1237.0,9.400006e-06
1239.0,4.368648e-06
1241.0,6.709608e-06
1243.0,1.044509e-05
1245.0,2.888530e-06
1247.0,8.949272e-06
1249.0,1.257038e-05
1251.0,6.859238e-06
1253.0,4.360661e-06
1255.0,6.830935e-06
1257.0,1.204399e-05
1259.0,2.537118e-06
1261.0,1.364153e-05
1263.0,1.809066e-06
1265.0,1.525318e-05
1267.0,3.726300e-06
1269.0,5.171931e-06
1271.0,5.964258e-06
1273.0,9.335483e-06
1275.0,1.513219e-05
1277.0,1.154228e-05
1279.0,1.093856e-05
1281.0,5.698819e-06
1283.0,1.114801e-05
1285.0,4.096926e-06
1287.0,1.134635e-05
1289.0,7.605033e-06
1291.0,2.741882e-06
1293.0,3.649331e-06
1295.0,8.484464e-06
1297.0,1.642473e-05
1299.0,1.400039e-06
1301.0,7.130445e-06
1303.0,1.092008e-05
1305.0,2.613865e-06
1307.0,6.920033e-06
1309.0,2.070204e-06
1311.0,4.020385e-06
1313.0,5.735178e-06
1317.0,2.937726e-06
1319.0,5.474458e-06
1321.0,4.686634e-06
1323.0,1.485157e-05
1325.0,1.083574e-05
1327.0,1.038089e-05
1329.0,2.637947e-06
1331.0,1.593451e-05
1333.0,7.161816e-06
1335.0,1.484551e-05
1337.0,4.798582e-06
1339.0,6.738926e-06
1341.0,8.856230e-06
1343.0,7.800957e-06
1345.0,6.785905e-06
1347.0,1.159040e-05
1349.0,4.196447e-06
1351.0,3.460640e-06
1353.0,4.265413e-06
1355.0,6.050447e-06
1357.0,8.117328e-06
1359.0,1.299403e-05
1361.0,1.089276e-05
1363.0,6.713360e-06
1365.0,1.179283e-05
1367.0,7.729514e-06
1369.0,2.785268e-06
1371.0,4.905830e-06
1373.0,4.299006e-06
1375.0,6.919126e-06
1377.0,6.668481e-06
1379.0,2.373628e-06
1381.0,1.226404e-05
1383.0,4.838799e-06
1385.0,3.229909e-06
1387.0,7.272360e-06
1389.0,3.199826e-06
1391.0,8.037536e-06
1393.0,1.814044e-06
1395.0,2.800776e-06
1397.0,8.579327e-06
1399.0,7.318506e-06
1401.0,4.985842e-06
1403.0,9.125662e-06
1405.0,9.915623e-06
1407.0,8.034956e-06
1409.0,7.615944e-06
1411.0,4.556870e-06
1413.0,8.998410e-06
1415.0,1.166991e-05
1417.0,1.345871e-05
1419.0,2.373204e-06
1421.0,5.899886e-06
1423.0,1.383809e-05
1425.0,7.551367e-06
1427.0,8.367307e-06
1429.0,5.243989e-06
1431.0,1.011113e-05
1433.0,1.385448e-05
1435.0,5.596379e-06
1437.0,2.391656e-06
1439.0,1.120461e-05
1441.0,7.241594e-06
1443.0,2.198772e-06
1445.0,9.141622e-06
1447.0,1.828959e-06
1449.0,6.690992e-06
1451.0,8.321729e-07
1453.0,2.874055e-06
1455.0,3.087277e-06
1457.0,4.655888e-06
1459.0,2.591730e-06
1461.0,7.832986e-06
1463.0,6.270211e-06
1465.0,2.542944e-06
1467.0,2.358931e-06
1469.0,3.497297e-06
1471.0,9.729130e-06
1473.0,1.047016e-05
1475.0,7.174160e-06
1477.0,1.167185e-06
1479.0,6.118139e-06
1481.0,1.030363e-05
1483.0,1.842863e-06
