# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = 83fc99c19394
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 16:50:15
# nuclide = Pb212, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 2000000
# Sv_total_per_cm3_s = 2.300000e-03
# fluence_total_cm2_s = 1.056159e-01
E_keV,fluence_cm2_s
1.0,1.050093e-07
3.0,1.262110e-07
5.0,1.688447e-07
7.0,1.894774e-07
11.0,3.829611e-06
13.0,8.779505e-06
17.0,2.854243e-06
19.0,2.353728e-06
21.0,2.003694e-06
27.0,9.485724e-06
29.0,2.682343e-06
31.0,1.257400e-05
33.0,1.337262e-05
35.0,2.592660e-05
37.0,3.005167e-05
39.0,1.015019e-04
41.0,9.196725e-05
43.0,1.864242e-04
45.0,1.984165e-04
47.0,2.699866e-04
49.0,3.287316e-04
51.0,4.426488e-04
53.0,5.994366e-04
55.0,6.619962e-04
57.0,7.637914e-04
59.0,8.775614e-04
61.0,1.021501e-03
63.0,1.035025e-03
65.0,1.061097e-03
67.0,1.106466e-03
69.0,1.079190e-03
71.0,1.158697e-03
73.0,1.206414e-03
75.0,1.725164e-03
77.0,1.977587e-03
79.0,9.807567e-04
81.0,1.022089e-03
83.0,1.033865e-03
85.0,1.034565e-03
87.0,1.363178e-03
89.0,8.846514e-04
91.0,1.022276e-03
93.0,8.889837e-04
95.0,8.716203e-04
97.0,1.007080e-03
99.0,8.893910e-04
101.0,9.048795e-04
103.0,8.524173e-04
105.0,8.638948e-04
107.0,8.578428e-04
109.0,7.849844e-04
111.0,8.084389e-04
113.0,8.233438e-04
115.0,7.659345e-04
117.0,7.271511e-04
119.0,7.134345e-04
121.0,7.669754e-04
123.0,7.174082e-04
125.0,7.277025e-04
127.0,6.614432e-04
129.0,7.314335e-04
131.0,7.015303e-04
133.0,7.058534e-04
135.0,6.166115e-04
137.0,5.920147e-04
139.0,6.400539e-04
141.0,5.977144e-04
143.0,5.318610e-04
145.0,5.668728e-04
147.0,5.017325e-04
149.0,5.516609e-04
151.0,5.435521e-04
