# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = 83fc99c19394
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 16:50:15
# nuclide = Ra226, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 2000000
# Sv_total_per_cm3_s = 2.300000e-03
# fluence_total_cm2_s = 1.451372e-01
E_keV,fluence_cm2_s
1.0,2.088854e-08
3.0,1.513262e-07
11.0,4.103817e-06
13.0,1.255047e-05
15.0,8.465485e-06
19.0,8.571159e-06
21.0,1.259483e-06
23.0,1.826256e-06
25.0,5.552389e-06
27.0,2.688793e-06
29.0,2.482074e-06
31.0,1.238519e-05
33.0,8.979710e-06
35.0,2.918582e-05
37.0,2.999577e-05
39.0,8.331149e-05
41.0,1.342659e-04
43.0,1.834786e-04
45.0,2.568195e-04
47.0,4.101430e-04
49.0,4.475896e-04
51.0,5.866084e-04
53.0,6.725915e-04
55.0,7.113425e-04
57.0,9.254988e-04
59.0,1.045637e-03
61.0,1.069852e-03
63.0,1.193866e-03
65.0,1.155513e-03
67.0,1.310279e-03
69.0,1.242317e-03
71.0,1.372766e-03
73.0,1.465191e-03
75.0,1.831491e-03
77.0,1.948170e-03
79.0,1.430976e-03
81.0,1.365652e-03
83.0,1.342023e-03
85.0,1.324417e-03
87.0,1.509591e-03
89.0,1.382109e-03
91.0,1.349170e-03
93.0,1.289206e-03
95.0,1.262195e-03
97.0,1.230021e-03
99.0,1.286038e-03
101.0,1.239500e-03
103.0,1.260277e-03
105.0,1.144414e-03
107.0,1.125648e-03
109.0,1.086951e-03
111.0,1.118192e-03
113.0,1.093404e-03
115.0,1.135528e-03
117.0,1.069028e-03
119.0,1.033187e-03
121.0,1.002549e-03
123.0,1.064966e-03
125.0,1.017205e-03
127.0,9.098214e-04
129.0,8.784764e-04
131.0,9.077327e-04
133.0,9.188075e-04
135.0,9.635125e-04
137.0,7.438009e-04
139.0,9.740851e-04
141.0,8.513364e-04
143.0,7.448840e-04
145.0,7.655382e-04
147.0,7.995484e-04
149.0,7.607785e-04
151.0,7.652467e-04
153.0,7.873804e-04
155.0,8.137104e-04
157.0,7.157845e-04
159.0,6.922631e-04
161.0,6.155597e-04
163.0,6.521780e-04
165.0,6.539314e-04
167.0,6.315051e-04
169.0,6.459089e-04
171.0,6.234159e-04
173.0,5.636515e-04
175.0,5.672194e-04
177.0,6.120091e-04
179.0,5.157856e-04
181.0,6.500196e-04
183.0,6.265407e-04
185.0,5.513206e-04
187.0,8.893898e-04
189.0,5.715637e-04
191.0,5.607177e-04
193.0,5.168619e-04
195.0,5.443239e-04
197.0,4.685577e-04
199.0,4.687574e-04
201.0,5.247702e-04
203.0,5.005108e-04
205.0,4.364226e-04
207.0,4.792969e-04
209.0,4.291060e-04
211.0,4.717968e-04
213.0,4.765878e-04
215.0,3.809337e-04
217.0,4.087137e-04
219.0,3.864926e-04
221.0,3.942118e-04
223.0,4.290913e-04
225.0,4.606100e-04
227.0,3.609344e-04
229.0,4.153221e-04
231.0,4.065341e-04
233.0,3.471287e-04
235.0,3.485458e-04
237.0,4.178228e-04
239.0,3.946390e-04
241.0,1.058077e-03
243.0,3.417862e-04
245.0,3.942147e-04
247.0,3.158634e-04
249.0,3.375635e-04
251.0,3.374954e-04
253.0,3.428740e-04
255.0,3.196779e-04
257.0,3.438807e-04
259.0,3.135119e-04
261.0,2.725327e-04
263.0,3.114416e-04
265.0,2.764283e-04
267.0,2.962423e-04
269.0,2.544195e-04
271.0,2.554560e-04
273.0,3.666999e-04
275.0,2.901225e-04
277.0,3.003907e-04
279.0,2.858072e-04
281.0,2.713676e-04
283.0,2.821904e-04
285.0,2.784385e-04
287.0,2.402403e-04
289.0,2.702534e-04
291.0,2.463420e-04
293.0,2.721839e-04
295.0,1.856179e-03
297.0,2.296541e-04
299.0,2.362045e-04
301.0,2.442321e-04
303.0,2.101894e-04
305.0,2.151358e-04
307.0,2.105579e-04
309.0,1.909333e-04
311.0,2.210901e-04
313.0,1.897863e-04
315.0,2.032450e-04
317.0,2.131741e-04
319.0,2.324836e-04
321.0,2.180506e-04
323.0,2.120007e-04
325.0,2.087293e-04
327.0,2.089101e-04
329.0,2.243329e-04
331.0,2.014538e-04
333.0,1.756552e-04
335.0,1.663331e-04
337.0,1.804887e-04
339.0,1.624273e-04
341.0,2.042438e-04
343.0,1.740764e-04
345.0,1.688254e-04
347.0,1.858227e-04
349.0,1.962747e-04
351.0,3.750107e-03
353.0,1.041695e-04
355.0,1.212914e-04
357.0,1.403818e-04
359.0,1.068660e-04
361.0,1.277232e-04
363.0,1.387808e-04
365.0,1.497333e-04
367.0,1.232580e-04
369.0,1.170120e-04
371.0,1.175218e-04
373.0,1.377950e-04
375.0,9.910699e-05
377.0,1.058681e-04
379.0,1.152984e-04
381.0,1.114319e-04
383.0,1.104105e-04
385.0,1.214671e-04
387.0,1.422978e-04
389.0,1.628658e-04
391.0,1.190140e-04
393.0,1.187210e-04
395.0,1.206877e-04
397.0,1.333692e-04
399.0,1.037978e-04
401.0,9.974830e-05
403.0,7.749714e-05
405.0,1.274648e-04
407.0,1.083474e-04
409.0,1.001021e-04
411.0,1.172049e-04
413.0,1.142778e-04
415.0,1.007608e-04
417.0,8.571298e-05
419.0,1.113933e-04
421.0,9.213601e-05
423.0,1.273147e-04
425.0,1.240850e-04
427.0,9.567955e-05
429.0,7.824216e-05
431.0,1.246932e-04
433.0,1.261506e-04
435.0,1.041440e-04
437.0,1.074995e-04
439.0,8.180116e-05
441.0,1.038693e-04
443.0,9.286657e-05
445.0,8.630020e-05
447.0,9.662609e-05
449.0,8.827687e-05
451.0,9.937991e-05
453.0,9.439820e-05
455.0,1.412087e-04
457.0,1.022375e-04
459.0,1.212600e-04
461.0,1.235230e-04
463.0,8.676911e-05
465.0,7.899791e-05
467.0,8.701670e-05
469.0,1.145181e-04
471.0,1.002718e-04
473.0,9.329290e-05
475.0,1.232619e-04
477.0,8.322649e-05
479.0,7.440185e-05
481.0,1.108237e-04
483.0,9.043248e-05
485.0,5.248448e-05
487.0,1.445292e-04
489.0,9.680022e-05
491.0,8.398560e-05
493.0,9.016556e-05
495.0,9.168798e-05
497.0,6.954165e-05
499.0,8.582028e-05
501.0,7.634839e-05
503.0,9.320193e-05
505.0,7.804924e-05
507.0,7.447012e-05
509.0,1.039879e-04
511.0,1.598098e-04
513.0,7.882028e-05
515.0,5.983768e-05
517.0,8.141066e-05
519.0,8.228447e-05
521.0,9.829720e-05
523.0,8.310114e-05
525.0,7.717401e-05
527.0,8.389151e-05
529.0,8.551419e-05
531.0,9.232102e-05
533.0,1.027477e-04
535.0,6.758590e-05
537.0,7.280279e-05
539.0,6.453172e-05
541.0,9.151526e-05
543.0,8.973895e-05
545.0,7.912216e-05
547.0,3.579441e-05
549.0,6.199502e-05
551.0,6.933012e-05
553.0,6.515243e-05
555.0,8.711486e-05
557.0,8.061496e-05
559.0,8.011152e-05
561.0,6.519797e-05
563.0,8.189073e-05
565.0,9.309584e-05
567.0,6.324356e-05
569.0,7.561859e-05
571.0,7.579719e-05
573.0,6.173447e-05
575.0,5.638927e-05
577.0,7.450507e-05
579.0,7.803539e-05
581.0,1.237580e-04
583.0,5.406715e-05
585.0,5.359839e-05
587.0,8.832740e-05
589.0,7.877210e-05
591.0,6.797853e-05
593.0,7.115400e-05
595.0,7.597110e-05
597.0,7.894666e-05
599.0,6.518054e-05
601.0,7.756594e-05
603.0,4.889005e-05
605.0,6.418923e-05
607.0,8.662411e-05
609.0,5.832765e-03
611.0,3.090241e-05
613.0,5.469524e-05
615.0,6.470749e-05
617.0,4.598110e-05
619.0,3.877997e-05
621.0,3.661349e-05
623.0,4.231360e-05
625.0,3.587417e-05
627.0,2.850556e-05
629.0,4.631161e-05
631.0,4.893658e-05
633.0,3.325167e-05
635.0,5.615197e-05
637.0,3.768250e-05
639.0,2.867640e-05
641.0,3.500374e-05
643.0,4.296352e-05
645.0,4.172559e-05
647.0,2.456103e-05
649.0,5.504727e-05
651.0,3.811246e-05
653.0,4.632695e-05
655.0,3.875994e-05
657.0,3.374336e-05
659.0,2.699162e-05
661.0,5.789340e-05
663.0,3.591828e-05
665.0,2.178177e-04
667.0,3.852209e-05
669.0,2.779661e-05
671.0,3.463606e-05
673.0,3.972881e-05
675.0,2.709841e-05
677.0,4.357573e-05
679.0,3.440056e-05
681.0,2.295908e-05
683.0,8.076416e-05
685.0,4.082922e-05
687.0,2.305373e-05
689.0,2.871106e-05
691.0,4.741479e-05
693.0,4.734271e-05
695.0,2.841368e-05
697.0,4.683752e-05
699.0,3.892525e-05
701.0,4.257222e-05
703.0,1.345332e-04
705.0,5.141314e-05
707.0,2.608023e-05
709.0,2.241974e-05
711.0,4.700512e-05
713.0,3.837316e-05
715.0,3.655951e-05
717.0,3.627124e-05
719.0,9.350143e-05
721.0,4.304777e-05
723.0,3.265021e-05
725.0,3.249330e-05
727.0,3.370762e-05
729.0,1.379695e-05
731.0,4.211869e-05
733.0,3.598250e-05
735.0,5.159423e-05
737.0,3.630601e-05
739.0,5.773421e-05
741.0,2.233826e-05
743.0,2.325640e-05
745.0,2.624683e-05
747.0,2.020258e-05
749.0,2.430754e-05
751.0,2.749936e-05
753.0,5.477197e-05
755.0,3.418298e-05
757.0,2.443090e-05
759.0,3.087214e-05
