# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = cebc8837c56d
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 15:54:42
# nuclide = Ac228, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 2000000
# Sv_total_per_cm3_s = 2.300000e-03
# fluence_total_cm2_s = 8.786052e-02
E_keV,fluence_cm2_s
5.0,2.544906e-06
15.0,6.904227e-05
25.0,7.707913e-06
35.0,9.270101e-05
45.0,7.439776e-04
55.0,2.303926e-03
65.0,3.543225e-03
75.0,4.263730e-03
85.0,4.388448e-03
95.0,4.500688e-03
105.0,3.783290e-03
115.0,3.495729e-03
125.0,3.194000e-03
135.0,2.675039e-03
145.0,2.434837e-03
155.0,2.310969e-03
165.0,1.986278e-03
175.0,1.882818e-03
185.0,1.665687e-03
195.0,1.599341e-03
205.0,1.848935e-03
215.0,1.457421e-03
225.0,1.287556e-03
235.0,1.201880e-03
245.0,1.025096e-03
255.0,9.459372e-04
265.0,9.558976e-04
275.0,1.196335e-03
285.0,7.812001e-04
295.0,7.381578e-04
305.0,6.823108e-04
315.0,6.816899e-04
325.0,9.752620e-04
335.0,1.885335e-03
345.0,4.799911e-04
355.0,4.332549e-04
365.0,3.774018e-04
375.0,3.890325e-04
385.0,3.907359e-04
395.0,3.715921e-04
405.0,4.559035e-04
415.0,4.814577e-04
425.0,3.220525e-04
435.0,3.225693e-04
445.0,3.640835e-04
455.0,2.985135e-04
465.0,6.847469e-04
475.0,3.718849e-04
485.0,2.719488e-04
495.0,2.956144e-04
505.0,3.192880e-04
515.0,2.045913e-04
525.0,3.237165e-04
535.0,2.332079e-04
545.0,3.087369e-04
555.0,3.089932e-04
565.0,3.416939e-04
575.0,3.279011e-04
585.0,2.676219e-04
595.0,2.060128e-04
605.0,1.614523e-04
615.0,2.996509e-04
625.0,1.824333e-04
635.0,2.022446e-04
645.0,1.911039e-04
655.0,2.251590e-04
665.0,1.902832e-04
675.0,3.174575e-04
685.0,2.309592e-04
695.0,1.847736e-04
705.0,2.188357e-04
715.0,1.676116e-04
725.0,2.602984e-04
735.0,1.980652e-04
745.0,1.631790e-04
755.0,2.449469e-04
765.0,1.529752e-04
775.0,3.771815e-04
785.0,2.480981e-04
795.0,7.359526e-04
805.0,1.395559e-04
815.0,1.263596e-04
825.0,1.392330e-04
835.0,4.566282e-04
845.0,3.085425e-04
855.0,1.375071e-04
865.0,1.301890e-04
875.0,1.661494e-04
885.0,1.255077e-04
895.0,1.449145e-04
905.0,2.590806e-04
915.0,4.067436e-03
925.0,8.517453e-05
935.0,8.685908e-05
945.0,1.997622e-04
955.0,1.076986e-04
965.0,3.314451e-03
975.0,2.931430e-05
985.0,4.050377e-05
995.0,3.036962e-05
1005.0,2.351253e-05
1015.0,3.141863e-05
1025.0,3.158086e-05
1035.0,9.542993e-05
1045.0,2.011519e-05
1055.0,1.976471e-05
1065.0,4.852537e-05
1075.0,1.046961e-05
1085.0,2.592021e-05
1095.0,4.015425e-05
1105.0,1.009329e-05
1115.0,8.048466e-05
1125.0,5.074517e-06
1135.0,1.560534e-05
1145.0,7.066138e-06
1155.0,4.069625e-05
1165.0,2.432884e-05
1175.0,1.457806e-05
1185.0,1.314288e-05
1195.0,1.866905e-05
1205.0,8.073716e-06
1215.0,1.998842e-05
1225.0,2.539378e-05
1235.0,9.751661e-06
1245.0,2.612495e-04
1255.0,7.940836e-06
1265.0,9.416262e-06
1275.0,1.527466e-05
1285.0,1.541375e-04
1295.0,9.045302e-06
1305.0,1.090817e-05
1315.0,2.927003e-05
1325.0,1.407562e-05
1335.0,9.941456e-06
1345.0,7.413976e-06
1355.0,2.663715e-05
1365.0,7.672657e-06
1375.0,1.458430e-05
1385.0,8.910098e-06
1395.0,8.652564e-06
1405.0,1.363357e-05
1415.0,7.277757e-06
1425.0,1.078023e-05
1435.0,1.892172e-05
1445.0,6.141437e-06
1455.0,1.577650e-04
1465.0,2.085558e-05
1475.0,2.421690e-06
1485.0,3.269824e-06
1495.0,1.018006e-04
1505.0,8.492912e-05
1515.0,2.086716e-06
1525.0,2.128437e-06
1535.0,1.198245e-05
1545.0,1.336059e-05
1555.0,2.307786e-05
1565.0,6.924378e-06
1575.0,1.624393e-05
1585.0,6.097114e-04
1605.0,1.711652e-05
1615.0,4.049783e-06
1625.0,1.590862e-05
1635.0,4.835710e-04
1655.0,2.158393e-06
1665.0,3.301054e-05
1675.0,2.276193e-05
1685.0,1.768439e-05
1705.0,9.859705e-06
1725.0,8.803989e-06
1735.0,1.413953e-05
1745.0,2.585817e-06
1755.0,1.080544e-05
1805.0,3.892953e-06
1815.0,1.545402e-06
1825.0,8.258248e-06
1845.0,1.946354e-06
1855.0,4.502057e-07
1875.0,2.483932e-06
1885.0,2.462074e-06
1905.0,4.628912e-06
1925.0,4.182776e-06
1955.0,2.309997e-05
1965.0,9.395265e-06
