# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = cebc8837c56d
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 15:54:42
# nuclide = Bi214, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 2000000
# Sv_total_per_cm3_s = 2.300000e-03
# fluence_total_cm2_s = 1.054143e-01
E_keV,fluence_cm2_s
5.0,5.727480e-07
15.0,1.535925e-05
25.0,8.752091e-06
35.0,1.119721e-04
45.0,8.284450e-04
55.0,2.445123e-03
65.0,3.585556e-03
75.0,4.304499e-03
85.0,4.282944e-03
95.0,4.115581e-03
105.0,3.885542e-03
115.0,3.486397e-03
125.0,3.287384e-03
135.0,2.924852e-03
145.0,2.751355e-03
155.0,2.412088e-03
165.0,2.187057e-03
175.0,2.100693e-03
185.0,2.039382e-03
195.0,1.719991e-03
205.0,1.616954e-03
215.0,1.572640e-03
225.0,1.518294e-03
235.0,1.403536e-03
245.0,1.181605e-03
255.0,1.129754e-03
265.0,1.089309e-03
275.0,1.011211e-03
285.0,9.233719e-04
295.0,9.211530e-04
305.0,8.419515e-04
315.0,6.897395e-04
325.0,7.498708e-04
335.0,7.086074e-04
345.0,6.167008e-04
355.0,6.012655e-04
365.0,5.633506e-04
375.0,5.513987e-04
385.0,6.317928e-04
395.0,4.826042e-04
405.0,5.922624e-04
415.0,4.587224e-04
425.0,5.092275e-04
435.0,4.979829e-04
445.0,4.847150e-04
455.0,5.147699e-04
465.0,4.159506e-04
475.0,4.810423e-04
485.0,4.100306e-04
495.0,4.106214e-04
505.0,4.250098e-04
515.0,5.106729e-04
525.0,3.758913e-04
535.0,3.988727e-04
545.0,4.239749e-04
555.0,3.679747e-04
565.0,3.800314e-04
575.0,3.781590e-04
585.0,3.890777e-04
595.0,3.596444e-04
605.0,6.230851e-03
615.0,2.151717e-04
625.0,2.011696e-04
635.0,2.352101e-04
645.0,2.123120e-04
655.0,1.934370e-04
665.0,3.396092e-04
675.0,1.790844e-04
685.0,1.783108e-04
695.0,1.906315e-04
705.0,2.151019e-04
715.0,2.383496e-04
725.0,1.587513e-04
735.0,1.833078e-04
745.0,1.758673e-04
755.0,1.710434e-04
765.0,8.626748e-04
775.0,1.364056e-04
785.0,1.820848e-04
795.0,1.227214e-04
805.0,3.835695e-04
815.0,1.442436e-04
825.0,1.640784e-04
835.0,1.096755e-04
845.0,1.237018e-04
855.0,1.212271e-04
865.0,1.250022e-04
875.0,1.108915e-04
885.0,8.897916e-05
895.0,1.206963e-04
905.0,1.085726e-04
915.0,1.152422e-04
925.0,9.414523e-05
935.0,5.926869e-04
945.0,1.169254e-04
955.0,1.229468e-04
965.0,1.561127e-04
975.0,9.081481e-05
985.0,1.103372e-04
995.0,8.842844e-05
1005.0,1.127880e-04
1015.0,8.034413e-05
1025.0,1.150111e-04
1035.0,1.131624e-04
1045.0,1.171133e-04
1055.0,1.593992e-04
1065.0,1.031112e-04
1075.0,1.245182e-04
1085.0,1.286803e-04
1095.0,8.912982e-05
1105.0,1.196537e-04
1115.0,7.646447e-05
1125.0,2.544855e-03
1135.0,1.060346e-04
1145.0,8.045117e-05
1155.0,3.555408e-04
1165.0,6.345162e-05
1175.0,6.255573e-05
1185.0,8.437458e-05
1195.0,5.848277e-05
1205.0,1.418083e-04
1215.0,4.280842e-05
1225.0,5.557722e-05
1235.0,1.098730e-03
1245.0,6.338463e-05
1255.0,4.802381e-05
1265.0,5.093139e-05
1275.0,6.120485e-05
1285.0,2.952827e-04
1295.0,4.789330e-05
1305.0,6.948441e-05
1315.0,5.916554e-05
1325.0,8.027532e-05
1335.0,4.716860e-05
1345.0,4.944519e-05
1355.0,6.367066e-05
1365.0,3.374914e-05
1375.0,7.457124e-04
1385.0,1.843019e-04
1395.0,5.999230e-05
1405.0,7.616379e-04
1415.0,4.581673e-05
1425.0,4.460579e-05
1435.0,3.295315e-05
1445.0,4.616660e-05
1455.0,5.969089e-05
1465.0,3.828178e-05
1475.0,6.125588e-05
1485.0,4.221817e-05
1495.0,4.215417e-05
1505.0,4.493278e-04
1515.0,4.004814e-05
1525.0,3.898057e-05
1535.0,1.027788e-04
1545.0,9.175794e-05
1555.0,3.828654e-05
1565.0,2.542037e-05
1575.0,2.138129e-05
1585.0,1.516970e-04
1595.0,9.850493e-05
1605.0,3.162239e-05
1615.0,2.565771e-05
1625.0,1.925259e-05
1635.0,2.440504e-05
1645.0,1.949414e-05
1655.0,3.860142e-05
1665.0,1.970276e-04
1675.0,2.964174e-05
1685.0,6.056758e-05
1695.0,3.049465e-05
1705.0,2.730277e-05
1715.0,2.124029e-05
1725.0,6.808763e-04
1735.0,4.404352e-05
1745.0,3.112630e-05
1755.0,3.567545e-05
1765.0,3.049628e-03
1775.0,4.430416e-06
1785.0,1.275089e-05
1795.0,1.088059e-05
1805.0,1.497662e-05
1815.0,9.256357e-06
1825.0,6.615909e-06
1835.0,6.876791e-05
1845.0,4.160035e-04
1855.0,1.208666e-05
1865.0,8.837373e-06
1875.0,5.997446e-05
1885.0,6.636257e-06
1895.0,6.170943e-05
1905.0,6.795511e-06
1915.0,9.009339e-06
1925.0,1.427000e-05
1935.0,2.198627e-05
1945.0,7.247885e-06
