# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = 4ccc19f6fc5b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 16:41:48
# nuclide = K40, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 2000000
# Sv_total_per_cm3_s = 2.300000e-03
# fluence_total_cm2_s = 9.510101e-03
E_keV,fluence_cm2_s
5.0,1.424937e-06
15.0,2.503107e-06
25.0,4.461792e-06
35.0,1.134952e-05
45.0,6.092449e-05
55.0,2.147847e-04
65.0,2.725461e-04
75.0,3.415918e-04
85.0,3.256959e-04
95.0,3.703358e-04
105.0,2.936617e-04
115.0,2.577762e-04
125.0,2.504652e-04
135.0,2.729396e-04
145.0,2.270113e-04
155.0,1.787517e-04
165.0,1.867588e-04
175.0,1.364484e-04
185.0,1.036259e-04
195.0,1.360445e-04
205.0,1.280378e-04
215.0,1.326782e-04
225.0,1.383087e-04
235.0,1.326908e-04
245.0,1.181531e-04
255.0,1.201903e-04
265.0,9.189295e-05
275.0,9.182469e-05
285.0,6.130466e-05
295.0,6.315138e-05
305.0,8.082337e-05
315.0,6.507444e-05
325.0,5.706707e-05
335.0,5.812973e-05
345.0,5.627593e-05
355.0,5.531702e-05
365.0,5.274327e-05
375.0,4.979712e-05
385.0,5.413456e-05
395.0,5.053777e-05
405.0,4.259516e-05
415.0,3.723640e-05
425.0,3.567456e-05
435.0,3.315352e-05
445.0,3.771369e-05
455.0,4.241073e-05
465.0,4.553807e-05
475.0,3.265238e-05
485.0,3.791402e-05
495.0,2.360592e-05
505.0,3.536389e-05
515.0,3.420288e-05
525.0,2.210386e-05
535.0,2.385440e-05
545.0,3.267521e-05
555.0,2.319797e-05
565.0,3.089007e-05
575.0,2.327926e-05
585.0,2.570299e-05
595.0,3.397503e-05
605.0,2.373299e-05
615.0,2.128194e-05
625.0,3.056175e-05
635.0,1.895545e-05
645.0,1.964177e-05
655.0,2.828748e-05
665.0,8.452749e-06
675.0,1.582381e-05
685.0,1.620329e-05
695.0,1.539520e-05
705.0,2.405880e-05
715.0,9.286524e-06
725.0,2.468463e-05
735.0,1.534497e-05
745.0,2.584867e-05
755.0,1.736960e-05
765.0,1.672643e-05
775.0,1.905077e-05
785.0,1.749273e-05
795.0,1.897476e-05
805.0,2.710791e-05
815.0,1.386508e-05
825.0,2.301034e-05
835.0,2.206714e-05
845.0,2.618695e-05
855.0,1.320179e-05
865.0,1.357066e-05
875.0,2.385887e-05
885.0,9.202516e-06
895.0,5.434970e-06
905.0,1.305481e-05
915.0,2.222616e-05
925.0,1.937336e-05
935.0,1.558757e-05
945.0,8.776224e-06
955.0,3.063127e-05
965.0,1.882735e-05
975.0,1.372294e-05
985.0,2.326082e-05
995.0,1.048551e-05
1005.0,7.939034e-06
1015.0,1.477908e-05
1025.0,1.817197e-05
1035.0,1.802003e-05
1045.0,1.530325e-05
1055.0,2.124909e-05
1065.0,2.419907e-05
1075.0,1.816560e-05
1085.0,1.875192e-05
1095.0,1.777381e-05
1105.0,9.491811e-06
1115.0,9.118172e-06
1125.0,7.068718e-06
1135.0,1.683781e-05
1145.0,1.109360e-05
1155.0,1.042492e-05
1165.0,9.417807e-06
1175.0,4.933115e-06
1185.0,1.888455e-05
1195.0,2.217571e-05
1205.0,1.031236e-05
1215.0,1.938039e-05
1225.0,9.687716e-06
1235.0,2.943154e-05
1245.0,1.471092e-05
1255.0,2.394379e-05
1265.0,1.485368e-05
1275.0,9.851821e-06
1285.0,1.928638e-05
1295.0,1.205063e-05
1305.0,1.701348e-05
1315.0,2.608873e-05
1325.0,1.271479e-05
1335.0,1.423250e-05
1345.0,1.228522e-05
1355.0,2.490359e-05
1365.0,1.254538e-05
1375.0,1.028207e-05
1385.0,7.870516e-06
1395.0,9.303426e-06
1405.0,2.247362e-05
1415.0,1.443566e-05
1425.0,2.151948e-05
1435.0,8.880749e-06
1445.0,1.878240e-05
1455.0,9.442580e-06
1465.0,2.108417e-03
