# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = cebc8837c56d
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 15:54:42
# nuclide = Pb214, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 2000000
# Sv_total_per_cm3_s = 2.300000e-03
# fluence_total_cm2_s = 1.435277e-01
E_keV,fluence_cm2_s
5.0,2.645441e-06
15.0,1.501797e-05
25.0,3.843835e-05
35.0,1.721890e-04
45.0,1.258014e-03
55.0,3.934332e-03
65.0,6.060102e-03
75.0,7.608745e-03
85.0,6.837493e-03
95.0,6.350667e-03
105.0,5.719027e-03
115.0,5.246218e-03
125.0,4.662204e-03
135.0,4.174684e-03
145.0,4.087808e-03
155.0,3.618598e-03
165.0,3.254523e-03
175.0,2.916692e-03
185.0,2.764128e-03
195.0,2.574300e-03
205.0,2.420728e-03
215.0,2.294343e-03
225.0,2.082276e-03
235.0,1.984125e-03
245.0,2.256242e-03
255.0,1.576812e-03
265.0,1.432768e-03
275.0,1.501021e-03
285.0,1.300314e-03
295.0,2.854794e-03
305.0,9.722131e-04
315.0,1.023491e-03
325.0,9.706915e-04
335.0,9.953983e-04
345.0,8.791931e-04
355.0,4.222228e-03
365.0,5.975339e-04
375.0,5.804883e-04
385.0,6.284776e-04
395.0,5.701647e-04
405.0,5.328818e-04
415.0,4.975454e-04
425.0,4.639544e-04
435.0,5.053712e-04
445.0,4.533057e-04
455.0,6.149557e-04
465.0,4.773477e-04
475.0,5.011597e-04
485.0,5.271198e-04
495.0,4.418592e-04
505.0,4.094542e-04
515.0,4.946118e-04
525.0,3.984912e-04
535.0,4.427551e-04
545.0,3.682663e-04
555.0,3.410998e-04
565.0,3.268828e-04
575.0,3.927603e-04
585.0,3.953083e-04
595.0,3.640257e-04
605.0,6.036498e-03
615.0,2.354100e-04
625.0,1.936686e-04
635.0,1.817923e-04
645.0,2.271224e-04
655.0,2.192986e-04
665.0,3.951841e-04
675.0,2.101658e-04
685.0,1.994625e-04
695.0,1.802188e-04
705.0,2.527330e-04
715.0,2.210040e-04
725.0,1.887499e-04
735.0,1.851901e-04
745.0,1.674582e-04
755.0,1.722677e-04
765.0,8.878175e-04
775.0,1.787759e-04
785.0,3.733508e-04
795.0,1.487682e-04
805.0,3.260382e-04
815.0,1.588632e-04
825.0,1.474008e-04
835.0,2.229829e-04
845.0,1.348742e-04
855.0,1.096582e-04
865.0,1.166293e-04
875.0,1.250024e-04
885.0,1.137239e-04
895.0,1.107042e-04
905.0,1.407655e-04
915.0,1.244765e-04
925.0,1.184308e-04
935.0,6.176777e-04
945.0,1.116631e-04
955.0,7.627961e-05
965.0,1.623204e-04
975.0,1.200462e-04
985.0,1.320258e-04
995.0,1.305053e-04
1005.0,9.132924e-05
1015.0,9.059017e-05
1025.0,1.029589e-04
1035.0,1.445988e-04
1045.0,1.132638e-04
1055.0,1.380861e-04
1065.0,1.157516e-04
1075.0,1.330544e-04
1085.0,1.335801e-04
1095.0,1.005274e-04
1105.0,1.201797e-04
1115.0,1.096708e-04
1125.0,2.491464e-03
1135.0,1.133439e-04
1145.0,7.493971e-05
1155.0,3.490093e-04
1165.0,6.297439e-05
1175.0,6.587270e-05
1185.0,7.569347e-05
1195.0,8.689977e-05
1205.0,1.347581e-04
1215.0,6.505536e-05
1225.0,8.292230e-05
1235.0,1.128119e-03
1245.0,6.407432e-05
1255.0,4.788684e-05
1265.0,4.899523e-05
1275.0,6.723299e-05
1285.0,3.245094e-04
1295.0,3.583849e-05
1305.0,5.297367e-05
1315.0,6.651878e-05
1325.0,6.538241e-05
1335.0,4.250123e-05
1345.0,5.582588e-05
1355.0,4.479945e-05
1365.0,6.145094e-05
1375.0,8.217201e-04
1385.0,1.862115e-04
1395.0,5.335952e-05
1405.0,7.185498e-04
1415.0,4.817229e-05
1425.0,3.533356e-05
1435.0,3.832146e-05
1445.0,4.639807e-05
1455.0,3.901878e-05
1465.0,3.455467e-05
1475.0,4.845955e-05
1485.0,3.914590e-05
1495.0,2.547236e-05
1505.0,4.671556e-04
1515.0,3.671615e-05
1525.0,4.573655e-05
1535.0,1.495679e-04
1545.0,9.791996e-05
1555.0,3.475272e-05
1565.0,3.378147e-05
1575.0,4.495519e-05
1585.0,1.882338e-04
1595.0,1.016621e-04
1605.0,5.649329e-05
1615.0,2.478355e-05
1625.0,2.443584e-05
1635.0,3.566643e-05
1645.0,1.978275e-05
1655.0,6.298013e-05
1665.0,2.004614e-04
1675.0,3.561978e-05
1685.0,6.967022e-05
1695.0,3.797347e-05
1705.0,2.678619e-05
1715.0,1.185460e-05
1725.0,5.835659e-04
1735.0,2.156500e-05
1745.0,2.320408e-05
1755.0,2.674074e-05
1765.0,3.241521e-03
1775.0,8.509568e-06
1785.0,1.811534e-05
1795.0,1.004482e-05
1805.0,6.794255e-06
1815.0,1.257461e-05
1825.0,2.039545e-05
1835.0,7.605729e-05
1845.0,4.191145e-04
1855.0,1.282277e-05
1865.0,3.914660e-06
1875.0,4.971706e-05
1885.0,7.863308e-06
1895.0,8.823353e-05
1905.0,6.708583e-06
1915.0,8.135149e-06
1925.0,2.336801e-06
1935.0,1.843855e-05
1945.0,3.380423e-06
1955.0,5.743343e-06
1965.0,2.822248e-06
1975.0,2.844086e-06
1985.0,7.683223e-06
1995.0,1.137099e-05
2005.0,8.018398e-06
2015.0,2.147288e-05
2025.0,1.326116e-06
2035.0,1.121374e-05
2045.0,1.191578e-05
2055.0,1.975444e-05
2065.0,2.853378e-06
2075.0,8.328818e-06
2085.0,3.585230e-05
2095.0,7.746632e-06
2105.0,3.021546e-05
2115.0,3.006088e-04
2125.0,1.244062e-06
2135.0,5.594805e-06
2145.0,1.525788e-06
2155.0,4.001488e-06
2165.0,4.572746e-06
2175.0,9.204722e-06
2185.0,7.511072e-06
2195.0,4.974236e-06
2205.0,1.150015e-03
2215.0,2.731126e-06
2255.0,2.841614e-06
2265.0,4.939753e-06
2275.0,2.646993e-06
2285.0,2.699427e-06
2295.0,7.903062e-05
2305.0,1.533307e-06
2315.0,4.801190e-06
2325.0,6.734449e-06
2335.0,6.599036e-06
2345.0,1.967101e-06
2355.0,1.469156e-06
2365.0,3.806242e-06
2375.0,6.319586e-06
2405.0,1.434920e-06
2415.0,2.312513e-06
2425.0,2.146285e-06
2445.0,4.127961e-04
2495.0,1.429366e-06
2515.0,2.859667e-06
2635.0,2.811919e-06
2695.0,1.659327e-05
2755.0,2.578006e-06
2765.0,6.277902e-06
2825.0,2.244158e-06
2885.0,2.063995e-06
2925.0,4.974901e-06
2995.0,2.779430e-06
3005.0,4.687940e-07
