# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = 4ccc19f6fc5b
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 16:41:48
# nuclide = Ra226, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 2000000
# Sv_total_per_cm3_s = 2.300000e-03
# fluence_total_cm2_s = 1.451372e-01
E_keV,fluence_cm2_s
5.0,1.722148e-07
15.0,3.369093e-05
25.0,1.380900e-05
35.0,1.638580e-04
45.0,1.432297e-03
55.0,3.941678e-03
65.0,5.971826e-03
75.0,8.048595e-03
85.0,6.923792e-03
95.0,6.416630e-03
105.0,5.856790e-03
115.0,5.449339e-03
125.0,4.873018e-03
135.0,4.507939e-03
145.0,3.922085e-03
155.0,3.774385e-03
165.0,3.199083e-03
175.0,2.882081e-03
185.0,3.288834e-03
195.0,2.559219e-03
205.0,2.370106e-03
215.0,2.124524e-03
225.0,2.060170e-03
235.0,1.914670e-03
245.0,2.447505e-03
255.0,1.657440e-03
265.0,1.411064e-03
275.0,1.498476e-03
285.0,1.342490e-03
295.0,2.840563e-03
305.0,1.071048e-03
315.0,1.059779e-03
325.0,1.072024e-03
335.0,8.863581e-04
345.0,9.292430e-04
355.0,4.222816e-03
365.0,6.565073e-04
375.0,5.755902e-04
385.0,6.484732e-04
395.0,5.955896e-04
405.0,5.131598e-04
415.0,5.293499e-04
425.0,5.174574e-04
435.0,5.442885e-04
445.0,4.679390e-04
455.0,5.584843e-04
465.0,4.908248e-04
475.0,4.744549e-04
485.0,4.950701e-04
495.0,4.212011e-04
505.0,4.260576e-04
515.0,4.621629e-04
525.0,4.279780e-04
535.0,3.999892e-04
545.0,3.581658e-04
555.0,3.823239e-04
565.0,3.790467e-04
575.0,3.464614e-04
585.0,3.985230e-04
595.0,3.592308e-04
605.0,6.110034e-03
615.0,2.350662e-04
625.0,1.896184e-04
635.0,2.046991e-04
645.0,1.993011e-04
655.0,1.839343e-04
665.0,3.779480e-04
675.0,1.794396e-04
685.0,1.963172e-04
695.0,2.089339e-04
705.0,2.770185e-04
715.0,2.517105e-04
725.0,1.556959e-04
735.0,2.237356e-04
745.0,1.163516e-04
755.0,1.717574e-04
765.0,7.867541e-04
775.0,1.439149e-04
785.0,3.491004e-04
795.0,1.160509e-04
805.0,4.170964e-04
815.0,1.491708e-04
825.0,1.719983e-04
835.0,2.093156e-04
845.0,1.391724e-04
855.0,1.571103e-04
865.0,1.332641e-04
875.0,1.146995e-04
885.0,1.142699e-04
895.0,9.627883e-05
905.0,1.331374e-04
915.0,9.582316e-05
925.0,1.529770e-04
935.0,5.823760e-04
945.0,9.031352e-05
955.0,1.033619e-04
965.0,1.991067e-04
975.0,9.603574e-05
985.0,9.084218e-05
995.0,8.313198e-05
1005.0,9.724719e-05
1015.0,1.132738e-04
1025.0,1.191138e-04
1035.0,9.921255e-05
1045.0,9.974236e-05
1055.0,1.491911e-04
1065.0,1.065917e-04
1075.0,1.391017e-04
1085.0,1.023026e-04
1095.0,1.037909e-04
1105.0,1.400673e-04
1115.0,8.474055e-05
1125.0,2.483455e-03
1135.0,1.132506e-04
1145.0,7.917607e-05
1155.0,4.059631e-04
1165.0,7.250442e-05
1175.0,8.571936e-05
1185.0,6.042123e-05
1195.0,6.118922e-05
1205.0,1.533141e-04
1215.0,3.928634e-05
1225.0,6.492008e-05
1235.0,1.015118e-03
1245.0,6.134562e-05
1255.0,5.769007e-05
1265.0,5.598478e-05
1275.0,5.666850e-05
1285.0,2.920610e-04
1295.0,6.581255e-05
1305.0,6.165886e-05
1315.0,5.744244e-05
1325.0,5.901254e-05
1335.0,6.390133e-05
1345.0,5.694323e-05
1355.0,5.384243e-05
1365.0,4.237695e-05
1375.0,7.925897e-04
1385.0,1.804181e-04
1395.0,4.656794e-05
1405.0,7.514516e-04
1415.0,2.854896e-05
1425.0,4.263503e-05
1435.0,3.330635e-05
1445.0,4.440754e-05
1455.0,2.641422e-05
1465.0,3.507313e-05
1475.0,4.798192e-05
1485.0,3.299254e-05
1495.0,4.991995e-05
1505.0,4.588946e-04
1515.0,2.821093e-05
1525.0,2.921005e-05
1535.0,1.058578e-04
1545.0,8.756370e-05
1555.0,3.321404e-05
1565.0,3.901731e-05
1575.0,3.772842e-05
1585.0,1.962332e-04
1595.0,1.316644e-04
1605.0,2.720047e-05
1615.0,3.112635e-05
1625.0,3.341595e-05
1635.0,2.088851e-05
1645.0,2.621701e-05
1655.0,2.148057e-05
1665.0,2.452410e-04
1675.0,2.643015e-05
1685.0,9.252322e-05
1695.0,3.689995e-05
1705.0,2.134944e-05
1715.0,3.979958e-05
1725.0,6.510793e-04
1735.0,3.468525e-05
1745.0,2.449609e-05
1755.0,2.458438e-05
1765.0,3.098574e-03
1775.0,6.347490e-06
1785.0,1.953631e-05
1795.0,2.226597e-05
1805.0,5.227741e-06
1815.0,6.381021e-06
1825.0,1.099525e-05
1835.0,8.671878e-05
1845.0,4.211564e-04
1855.0,9.307459e-06
1865.0,9.569116e-06
1875.0,2.970334e-05
1885.0,1.289791e-05
1895.0,6.497163e-05
1905.0,1.233620e-05
1915.0,2.344977e-06
1925.0,4.807032e-06
1935.0,1.929452e-05
1945.0,6.954329e-06
1955.0,7.520843e-06
1965.0,8.192439e-06
1975.0,9.921260e-06
1985.0,9.092839e-06
1995.0,3.868533e-06
2005.0,1.553751e-05
2015.0,1.973036e-05
2025.0,7.025509e-06
2035.0,1.117069e-05
2045.0,8.914563e-06
2055.0,2.364405e-05
2065.0,4.224747e-06
2075.0,6.320367e-06
2085.0,1.850904e-05
2095.0,2.504003e-06
2105.0,2.776052e-05
2115.0,2.354965e-04
2125.0,1.345635e-05
2135.0,3.967792e-06
2145.0,1.088991e-05
2155.0,1.763922e-05
2175.0,5.404877e-06
2185.0,1.334297e-05
2195.0,2.678215e-05
2205.0,1.072269e-03
2215.0,2.552570e-06
2245.0,2.020189e-06
2265.0,6.911094e-06
2285.0,3.427734e-06
2295.0,6.952707e-05
2305.0,2.406713e-06
2325.0,3.962265e-06
2335.0,6.102738e-06
2345.0,1.286044e-06
2355.0,2.317395e-06
2375.0,3.963058e-06
2425.0,1.499648e-06
2445.0,3.548165e-04
2475.0,1.783412e-06
2485.0,1.587692e-06
2525.0,2.774274e-06
2695.0,1.812115e-05
2715.0,1.730838e-06
2765.0,2.910576e-06
2825.0,1.597802e-06
2885.0,2.217300e-06
2895.0,2.506382e-06
2925.0,3.838559e-06
2975.0,7.172986e-06
3005.0,4.215520e-06
