# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = 83fc99c19394
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 16:50:15
# nuclide = K40, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 50000
# Sv_total_per_cm3_s = 2.300000e-03
# fluence_total_cm2_s = 8.506244e-03
E_keV,fluence_cm2_s
47.0,6.349936e-05
55.0,3.434340e-05
57.0,9.508996e-05
59.0,1.116209e-04
61.0,6.298501e-05
63.0,4.559710e-05
65.0,9.692479e-05
69.0,6.036030e-05
75.0,1.956939e-04
77.0,1.154193e-04
81.0,1.037138e-04
87.0,3.921226e-05
91.0,1.049636e-04
93.0,9.419557e-05
101.0,8.448203e-05
103.0,5.114944e-05
107.0,8.095643e-05
109.0,4.995781e-05
117.0,9.572111e-05
119.0,6.367166e-05
121.0,1.020602e-04
123.0,1.705219e-04
125.0,1.589345e-04
135.0,6.884379e-05
137.0,8.696926e-05
141.0,9.284275e-05
145.0,1.672036e-04
149.0,1.114524e-04
151.0,6.566717e-05
155.0,2.718786e-05
161.0,4.849985e-05
165.0,5.907362e-05
171.0,5.139035e-05
191.0,1.524795e-04
209.0,1.077729e-04
211.0,6.008233e-05
213.0,7.390987e-05
227.0,7.600729e-05
237.0,2.007014e-04
239.0,8.398435e-05
251.0,4.543715e-05
253.0,3.660776e-05
255.0,9.058532e-05
261.0,1.455404e-04
287.0,8.401765e-05
303.0,7.786322e-05
311.0,6.838316e-05
323.0,2.890604e-05
361.0,1.024711e-04
397.0,8.635691e-05
435.0,3.260515e-05
473.0,1.052153e-04
499.0,6.300581e-05
515.0,4.099762e-05
519.0,7.601440e-05
545.0,1.020046e-04
623.0,9.913748e-05
671.0,5.935711e-05
685.0,5.761819e-05
707.0,1.081474e-04
721.0,1.056952e-04
737.0,7.329945e-05
747.0,9.582695e-05
803.0,6.870916e-05
931.0,9.582133e-05
943.0,1.968075e-05
987.0,8.129888e-05
1261.0,1.037310e-04
1337.0,8.476904e-05
1461.0,2.651998e-03
