# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = 8147e1da3b0d
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 18:05:15
# nuclide = Ac228, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 2000000
# Sv_total_per_cm3_s = 2.300000e-03
# bin_keV = 2.000  (последний канал = переполнение)
# fluence_total_cm2_s = 8.786052e-02
E_keV,fluence_cm2_s
3.0,5.205053e-07
7.0,9.753828e-07
9.0,1.049018e-06
13.0,1.429628e-05
15.0,7.982511e-06
17.0,3.698349e-05
19.0,9.779988e-06
21.0,2.556632e-06
27.0,2.267101e-06
29.0,2.884181e-06
31.0,2.358256e-06
33.0,2.242272e-06
35.0,1.908366e-05
37.0,3.075858e-05
39.0,3.825824e-05
41.0,6.236260e-05
43.0,1.197438e-04
45.0,1.280947e-04
47.0,1.721945e-04
49.0,2.615819e-04
51.0,3.700638e-04
53.0,3.059390e-04
55.0,4.877270e-04
57.0,5.517971e-04
59.0,5.883986e-04
61.0,6.810512e-04
63.0,6.308995e-04
65.0,6.992914e-04
67.0,7.324521e-04
69.0,7.995308e-04
71.0,8.486503e-04
73.0,8.169162e-04
75.0,8.557432e-04
77.0,8.386836e-04
79.0,9.037368e-04
81.0,9.169398e-04
83.0,8.376007e-04
85.0,9.133705e-04
87.0,8.616973e-04
89.0,8.588396e-04
91.0,1.019506e-03
93.0,1.060840e-03
95.0,7.632836e-04
97.0,7.609263e-04
99.0,8.961318e-04
101.0,7.656496e-04
103.0,7.226760e-04
105.0,7.456435e-04
107.0,7.837598e-04
109.0,7.655616e-04
111.0,7.239434e-04
113.0,7.346348e-04
115.0,7.041597e-04
117.0,6.980532e-04
119.0,6.349383e-04
121.0,6.507551e-04
123.0,5.530068e-04
125.0,6.032853e-04
127.0,6.424327e-04
129.0,7.445204e-04
131.0,5.467622e-04
133.0,6.002192e-04
135.0,5.087770e-04
137.0,5.229988e-04
139.0,4.962817e-04
141.0,5.126772e-04
143.0,4.920396e-04
145.0,4.566798e-04
147.0,5.026509e-04
149.0,4.707899e-04
151.0,4.352610e-04
153.0,5.575730e-04
155.0,4.372362e-04
157.0,4.855145e-04
159.0,3.953844e-04
161.0,4.214202e-04
163.0,4.478249e-04
165.0,3.608686e-04
167.0,3.725948e-04
169.0,3.835692e-04
171.0,3.543277e-04
173.0,4.193941e-04
175.0,3.927151e-04
177.0,3.598036e-04
179.0,3.565775e-04
181.0,3.685263e-04
183.0,3.047993e-04
185.0,3.496224e-04
187.0,3.249432e-04
189.0,3.177960e-04
191.0,3.706799e-04
193.0,2.719491e-04
195.0,2.985163e-04
197.0,3.242904e-04
199.0,3.339056e-04
201.0,3.483479e-04
203.0,2.667126e-04
205.0,2.841852e-04
