# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = 8147e1da3b0d
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 18:05:15
# nuclide = Bi212, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 2000000
# Sv_total_per_cm3_s = 2.300000e-03
# bin_keV = 2.000  (последний канал = переполнение)
# fluence_total_cm2_s = 8.878611e-03
E_keV,fluence_cm2_s
7.0,2.452316e-06
11.0,2.506369e-06
13.0,2.621488e-06
29.0,4.444463e-06
31.0,2.055739e-06
33.0,4.156242e-06
35.0,1.709407e-06
37.0,2.085151e-06
39.0,2.995411e-05
41.0,1.567439e-06
43.0,5.203804e-06
45.0,2.307931e-05
47.0,2.560435e-05
49.0,3.548701e-05
51.0,2.381596e-05
53.0,4.284798e-05
55.0,4.307184e-05
57.0,4.331646e-05
59.0,4.225507e-05
61.0,5.676692e-05
63.0,6.011079e-05
65.0,7.120290e-05
67.0,6.973498e-05
69.0,7.083521e-05
71.0,1.053173e-04
73.0,1.092112e-04
75.0,7.361989e-05
77.0,7.458716e-05
79.0,7.521892e-05
81.0,8.842435e-05
83.0,1.295335e-04
85.0,9.538152e-05
87.0,7.537514e-05
89.0,8.068918e-05
91.0,8.583351e-05
93.0,7.139666e-05
95.0,9.089872e-05
97.0,8.635545e-05
99.0,8.526583e-05
101.0,1.024835e-04
103.0,7.603908e-05
105.0,6.682166e-05
107.0,6.994759e-05
109.0,5.170209e-05
111.0,6.107379e-05
113.0,5.761416e-05
115.0,6.523090e-05
117.0,6.069417e-05
119.0,5.524739e-05
121.0,5.796996e-05
123.0,7.051586e-05
125.0,7.661224e-05
127.0,3.379240e-05
129.0,4.044416e-05
131.0,5.739168e-05
133.0,5.284062e-05
135.0,6.796486e-05
137.0,5.267185e-05
139.0,5.774438e-05
141.0,6.223434e-05
143.0,4.635099e-05
145.0,3.955910e-05
147.0,3.375110e-05
149.0,4.522434e-05
