# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = 8147e1da3b0d
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 18:05:15
# nuclide = K40, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 2000000
# Sv_total_per_cm3_s = 2.300000e-03
# bin_keV = 2.000  (последний канал = переполнение)
# fluence_total_cm2_s = 9.510101e-03
E_keV,fluence_cm2_s
1.0,1.730823e-07
9.0,1.251855e-06
19.0,2.503107e-06
23.0,2.697081e-06
27.0,1.764711e-06
31.0,3.321865e-06
33.0,1.840262e-06
35.0,2.787180e-06
39.0,3.400211e-06
41.0,1.910543e-06
43.0,6.862371e-06
45.0,1.004261e-05
47.0,1.813804e-05
49.0,2.397093e-05
51.0,3.690367e-05
53.0,2.725176e-05
55.0,4.484192e-05
57.0,4.463304e-05
59.0,6.115428e-05
61.0,5.972893e-05
63.0,4.952755e-05
65.0,5.392918e-05
67.0,5.323116e-05
69.0,5.612930e-05
71.0,7.889256e-05
73.0,5.682942e-05
75.0,5.846524e-05
77.0,8.555471e-05
79.0,6.184983e-05
81.0,5.772332e-05
83.0,5.548760e-05
85.0,5.429137e-05
87.0,6.868061e-05
89.0,8.951304e-05
91.0,7.984977e-05
93.0,6.661762e-05
95.0,9.085564e-05
97.0,5.439341e-05
99.0,7.861938e-05
101.0,5.268241e-05
103.0,7.436780e-05
105.0,3.293769e-05
107.0,6.285910e-05
109.0,7.081472e-05
111.0,4.580369e-05
113.0,6.736980e-05
115.0,4.477461e-05
117.0,5.410176e-05
119.0,4.572636e-05
121.0,5.419144e-05
123.0,6.251310e-05
125.0,5.415909e-05
127.0,4.743603e-05
129.0,3.216555e-05
131.0,6.190334e-05
133.0,5.465334e-05
135.0,5.078021e-05
137.0,6.821536e-05
139.0,3.738735e-05
141.0,4.556464e-05
143.0,5.275311e-05
145.0,4.426961e-05
147.0,3.959283e-05
149.0,4.483113e-05
151.0,3.205361e-05
153.0,4.268111e-05
155.0,3.933253e-05
157.0,2.148316e-05
159.0,4.320134e-05
161.0,3.287139e-05
163.0,3.445073e-05
165.0,3.542010e-05
167.0,4.166126e-05
169.0,4.235534e-05
171.0,2.671117e-05
173.0,2.960265e-05
175.0,2.323139e-05
177.0,2.977735e-05
179.0,2.712579e-05
181.0,2.117140e-05
183.0,1.723687e-05
185.0,1.671846e-05
187.0,2.750407e-05
189.0,2.099509e-05
191.0,2.769331e-05
193.0,2.021079e-05
195.0,3.193744e-05
197.0,3.338370e-05
199.0,2.281930e-05
201.0,1.797265e-05
203.0,3.157790e-05
205.0,3.005750e-05
207.0,1.737122e-05
209.0,3.105857e-05
211.0,2.110305e-05
213.0,3.259102e-05
215.0,2.901264e-05
217.0,1.853604e-05
219.0,3.143542e-05
221.0,1.926403e-05
223.0,3.275059e-05
225.0,2.784956e-05
227.0,3.712691e-05
229.0,2.131761e-05
231.0,1.379442e-05
233.0,3.204908e-05
235.0,2.908964e-05
237.0,3.626688e-05
239.0,2.149082e-05
241.0,2.624747e-05
243.0,3.561554e-05
245.0,1.758241e-05
247.0,2.636733e-05
249.0,1.234032e-05
251.0,1.672662e-05
253.0,2.639627e-05
255.0,2.448594e-05
257.0,2.226745e-05
259.0,3.031398e-05
261.0,2.960316e-05
263.0,1.560131e-05
265.0,1.740697e-05
267.0,1.952288e-05
269.0,9.758630e-06
271.0,2.551159e-05
273.0,2.065690e-05
275.0,1.306412e-05
277.0,1.054134e-05
279.0,2.205075e-05
281.0,1.211139e-05
283.0,1.974599e-05
285.0,8.945538e-06
287.0,1.633257e-05
289.0,4.169168e-06
291.0,3.223649e-06
293.0,1.799102e-05
295.0,1.228479e-05
297.0,1.352938e-05
299.0,1.612254e-05
301.0,1.354689e-05
303.0,2.032914e-05
305.0,2.183163e-05
307.0,1.637838e-05
309.0,8.737341e-06
311.0,1.368443e-05
313.0,7.983758e-06
315.0,1.068815e-05
317.0,2.283116e-05
319.0,9.886952e-06
321.0,1.113495e-05
323.0,9.771961e-06
325.0,2.117137e-05
327.0,9.193421e-06
329.0,5.795371e-06
331.0,1.114325e-05
333.0,1.105294e-05
335.0,6.967204e-06
337.0,1.400986e-05
339.0,1.495649e-05
341.0,3.147629e-06
343.0,1.909288e-05
345.0,6.743081e-06
347.0,1.849007e-05
349.0,8.802276e-06
351.0,4.753698e-06
353.0,1.769547e-05
355.0,1.269039e-05
357.0,1.431024e-05
359.0,5.867222e-06
361.0,1.385653e-05
363.0,1.899674e-05
365.0,9.253795e-06
367.0,2.123524e-06
369.0,8.512684e-06
371.0,4.142400e-06
373.0,9.712731e-06
375.0,9.732828e-06
377.0,1.712175e-05
379.0,9.087415e-06
381.0,1.150136e-05
383.0,9.826227e-06
385.0,1.595289e-05
387.0,5.827301e-06
389.0,1.102678e-05
391.0,7.962205e-06
393.0,1.299833e-05
395.0,1.868826e-05
397.0,8.851917e-06
399.0,2.037059e-06
401.0,1.215805e-05
403.0,6.450257e-06
405.0,1.167434e-05
407.0,9.316942e-06
409.0,2.995581e-06
411.0,5.560536e-06
413.0,1.210673e-05
415.0,9.164452e-07
417.0,6.919733e-06
419.0,1.173296e-05
421.0,5.739767e-06
423.0,6.551488e-06
425.0,4.168261e-06
427.0,1.319114e-05
429.0,6.023912e-06
431.0,6.875129e-06
433.0,1.027699e-05
435.0,3.390253e-06
437.0,6.185993e-06
439.0,6.425154e-06
441.0,9.667598e-06
443.0,5.855078e-06
445.0,5.568386e-06
447.0,1.036341e-05
449.0,6.259217e-06
451.0,9.411419e-06
453.0,1.180904e-05
455.0,8.704510e-06
457.0,4.206155e-06
459.0,8.279614e-06
461.0,1.449233e-05
463.0,1.546956e-06
465.0,9.052897e-06
467.0,1.060865e-05
469.0,9.837237e-06
471.0,5.823708e-06
473.0,2.630382e-06
475.0,1.061997e-05
477.0,8.318701e-06
479.0,5.259617e-06
481.0,6.568048e-06
483.0,6.717212e-06
485.0,1.488208e-05
487.0,4.765471e-06
489.0,4.981207e-06
491.0,4.127927e-06
493.0,5.521615e-06
495.0,2.382025e-06
497.0,6.883285e-07
499.0,1.088602e-05
501.0,1.161896e-05
503.0,1.562475e-05
505.0,4.740178e-06
507.0,1.036149e-06
509.0,2.343850e-06
511.0,1.381191e-05
513.0,2.652197e-06
515.0,5.532245e-06
517.0,5.947514e-06
519.0,6.259013e-06
521.0,3.525733e-06
523.0,5.002791e-06
525.0,3.939921e-06
527.0,7.966441e-06
529.0,1.668976e-06
531.0,6.417017e-07
533.0,6.902579e-06
535.0,4.188498e-06
537.0,7.071340e-06
539.0,5.050284e-06
541.0,8.102547e-06
545.0,1.139231e-05
547.0,5.145952e-06
549.0,8.034395e-06
553.0,1.268231e-05
555.0,3.662600e-06
557.0,5.487178e-06
559.0,1.365887e-06
561.0,2.442120e-06
563.0,3.206710e-06
565.0,4.908685e-06
567.0,1.337122e-05
569.0,6.961336e-06
571.0,8.459743e-06
573.0,4.809545e-06
575.0,3.491850e-06
577.0,2.402927e-06
579.0,4.115191e-06
581.0,5.569154e-06
583.0,6.903099e-06
585.0,2.850655e-06
587.0,7.802030e-06
589.0,2.578055e-06
591.0,3.166457e-06
593.0,6.426014e-06
595.0,1.527967e-05
597.0,5.300840e-06
599.0,3.802052e-06
601.0,5.165936e-06
603.0,6.356699e-06
605.0,3.082402e-06
607.0,5.087686e-06
609.0,4.040266e-06
611.0,6.560495e-06
613.0,6.385425e-06
615.0,4.170595e-06
617.0,4.165427e-06
621.0,2.798312e-06
623.0,5.901033e-06
625.0,6.868792e-06
627.0,9.392899e-06
629.0,5.600711e-06
633.0,3.850532e-06
635.0,2.744083e-06
637.0,7.489337e-06
639.0,4.871495e-06
641.0,2.100920e-06
643.0,3.256132e-06
645.0,1.549836e-06
647.0,5.340689e-06
649.0,7.394190e-06
651.0,1.952486e-06
653.0,1.014515e-05
655.0,9.459132e-06
657.0,4.092690e-06
659.0,2.638024e-06
661.0,3.313604e-06
669.0,5.139145e-06
671.0,1.483928e-06
673.0,2.273001e-06
675.0,4.235383e-06
677.0,5.068333e-06
679.0,2.763166e-06
681.0,1.475792e-06
683.0,6.346151e-06
685.0,1.440455e-06
687.0,5.494449e-06
689.0,1.446444e-06
691.0,1.487130e-06
693.0,2.811401e-06
695.0,5.533373e-06
697.0,4.089969e-06
699.0,1.473322e-06
701.0,2.744610e-06
703.0,8.018115e-06
705.0,5.489875e-07
707.0,5.025104e-06
709.0,7.721981e-06
711.0,1.864361e-06
715.0,1.007537e-06
717.0,1.862975e-06
719.0,4.551651e-06
721.0,8.528499e-06
723.0,3.993636e-06
725.0,4.214363e-06
727.0,8.173348e-07
729.0,7.130796e-06
731.0,5.185793e-06
733.0,2.896586e-06
735.0,1.254078e-06
737.0,1.832486e-06
739.0,4.176029e-06
741.0,7.587546e-06
743.0,2.532310e-06
745.0,6.145102e-06
747.0,6.380472e-06
749.0,3.203235e-06
751.0,2.457397e-06
753.0,4.995034e-06
755.0,9.355669e-07
757.0,4.054145e-06
759.0,4.927456e-06
761.0,2.058625e-06
763.0,9.371810e-06
765.0,2.618042e-06
767.0,2.677957e-06
773.0,1.490163e-06
775.0,5.510486e-06
777.0,3.135599e-06
779.0,8.914517e-06
781.0,4.949578e-06
783.0,5.942480e-06
785.0,1.082136e-06
789.0,5.518537e-06
793.0,4.342214e-06
795.0,4.786351e-06
797.0,7.438655e-06
799.0,2.407535e-06
801.0,4.175264e-06
803.0,6.086409e-06
805.0,6.087563e-06
807.0,5.662967e-06
809.0,5.095707e-06
811.0,4.682225e-06
813.0,9.171544e-07
815.0,2.351738e-06
817.0,3.372303e-06
819.0,2.541660e-06
821.0,6.199527e-06
825.0,1.763825e-06
827.0,1.094372e-05
829.0,4.103264e-06
831.0,5.171892e-06
833.0,6.745480e-06
835.0,5.430541e-06
839.0,4.719231e-06
841.0,2.526923e-06
843.0,5.204691e-06
845.0,4.820004e-06
847.0,9.405295e-06
849.0,4.230034e-06
851.0,2.051852e-06
853.0,5.262030e-06
857.0,2.562166e-06
859.0,3.325745e-06
861.0,6.408781e-06
863.0,4.187178e-06
867.0,1.846669e-06
869.0,1.128030e-06
871.0,2.323248e-06
873.0,2.825739e-06
875.0,5.713710e-06
877.0,2.533218e-06
879.0,1.046296e-05
881.0,1.179838e-06
883.0,1.701472e-06
885.0,4.237621e-06
889.0,2.083585e-06
891.0,1.569913e-06
893.0,1.513881e-06
897.0,2.351175e-06
901.0,1.457157e-06
905.0,5.907485e-06
907.0,3.532672e-06
909.0,2.157499e-06
911.0,5.886325e-06
915.0,8.434861e-06
917.0,7.904969e-06
921.0,2.164584e-06
923.0,2.286509e-06
925.0,2.953628e-06
927.0,8.449846e-06
929.0,3.518789e-06
931.0,4.534010e-06
935.0,1.925111e-06
937.0,6.200693e-06
939.0,2.927757e-06
941.0,2.546594e-06
943.0,2.196724e-06
945.0,2.747597e-06
947.0,1.176167e-06
949.0,1.091422e-07
951.0,9.699666e-06
953.0,5.026380e-06
955.0,2.613625e-06
957.0,1.209288e-05
959.0,1.198719e-06
961.0,4.084344e-06
963.0,7.562331e-06
965.0,3.584733e-06
969.0,3.595946e-06
971.0,3.103610e-06
973.0,6.969875e-06
975.0,2.519366e-06
979.0,1.130087e-06
981.0,1.549681e-06
983.0,5.491784e-06
987.0,1.061694e-05
989.0,5.602414e-06
991.0,4.325782e-06
995.0,4.312474e-06
999.0,1.847252e-06
1001.0,4.845101e-06
1003.0,7.761709e-07
1005.0,2.317762e-06
1011.0,4.710102e-06
1015.0,2.979297e-06
1017.0,7.089683e-06
1021.0,4.132910e-06
1023.0,2.848607e-06
1025.0,1.490749e-06
1027.0,6.719779e-06
1029.0,2.979927e-06
1031.0,6.256028e-06
1033.0,2.651580e-06
1035.0,4.776894e-06
1037.0,2.108217e-06
1039.0,2.227316e-06
1041.0,2.556657e-06
1043.0,5.630003e-06
1045.0,2.624569e-06
1047.0,1.097488e-06
1049.0,3.394535e-06
1051.0,5.100256e-06
1053.0,4.196306e-06
1055.0,8.082654e-06
1057.0,1.630356e-06
1059.0,2.239514e-06
1061.0,4.037702e-06
1063.0,5.717888e-06
1067.0,4.719414e-06
1069.0,9.724069e-06
1071.0,6.416848e-06
1073.0,4.283593e-06
1075.0,6.068875e-06
1079.0,1.396289e-06
1081.0,2.769698e-06
1083.0,3.253401e-06
1087.0,7.695108e-06
1089.0,5.033716e-06
1091.0,9.005335e-06
1095.0,4.190029e-06
1099.0,4.578449e-06
1101.0,1.022087e-06
1103.0,2.214441e-06
1107.0,3.384727e-06
1109.0,2.870555e-06
1111.0,2.229429e-06
1113.0,2.544025e-06
1115.0,4.344718e-06
1125.0,2.248214e-06
1127.0,2.667957e-06
1129.0,2.152548e-06
1131.0,4.362205e-06
1133.0,1.425309e-06
1135.0,2.821199e-06
1137.0,5.636788e-06
1139.0,2.592304e-06
1143.0,2.317103e-06
1147.0,2.156285e-06
1149.0,6.620214e-06
1155.0,2.845114e-06
1157.0,5.249146e-06
1159.0,2.330659e-06
1161.0,2.731454e-06
1167.0,5.100839e-06
1169.0,1.585514e-06
1173.0,2.564642e-06
1175.0,2.368472e-06
1183.0,6.863244e-06
1185.0,3.594051e-06
1187.0,5.549729e-06
1189.0,2.877530e-06
1193.0,8.134292e-06
1195.0,6.483138e-06
1197.0,4.346043e-06
1199.0,3.212238e-06
1203.0,1.161555e-06
1205.0,1.085167e-06
1207.0,3.958045e-06
1209.0,4.107594e-06
1211.0,4.447050e-06
1213.0,4.519194e-06
1215.0,1.280443e-06
1217.0,7.117734e-06
1219.0,2.015973e-06
1223.0,5.195378e-06
