# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = 8147e1da3b0d
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 18:05:15
# nuclide = Pb214, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 2000000
# Sv_total_per_cm3_s = 2.300000e-03
# bin_keV = 2.000  (последний канал = переполнение)
# fluence_total_cm2_s = 3.811935e-02
E_keV,fluence_cm2_s
1.0,2.277366e-10
3.0,1.337441e-07
11.0,1.583301e-06
13.0,2.174899e-06
15.0,4.705496e-06
17.0,3.735973e-06
23.0,1.322181e-06
27.0,1.936288e-06
33.0,3.872480e-07
35.0,6.826533e-06
37.0,1.536212e-05
39.0,5.428925e-05
41.0,4.685690e-05
43.0,7.407029e-05
45.0,1.000233e-04
47.0,1.687881e-04
49.0,1.603337e-04
51.0,2.368916e-04
53.0,2.993892e-04
55.0,2.660278e-04
57.0,3.410588e-04
59.0,4.203415e-04
61.0,4.561447e-04
63.0,4.145136e-04
65.0,5.177711e-04
67.0,4.614576e-04
69.0,4.921569e-04
71.0,5.541015e-04
73.0,4.825420e-04
75.0,8.229866e-04
77.0,1.000722e-03
79.0,4.483279e-04
81.0,4.483781e-04
83.0,4.610418e-04
85.0,3.363757e-04
87.0,6.512938e-04
89.0,4.484717e-04
91.0,4.246387e-04
93.0,3.750909e-04
95.0,4.060657e-04
97.0,3.735503e-04
99.0,4.170293e-04
101.0,4.046221e-04
103.0,4.464249e-04
105.0,4.097127e-04
107.0,3.875203e-04
109.0,4.213934e-04
111.0,3.506354e-04
113.0,3.866385e-04
115.0,3.387653e-04
117.0,2.929406e-04
119.0,3.293336e-04
121.0,2.623599e-04
123.0,3.030700e-04
125.0,3.070297e-04
127.0,3.035568e-04
129.0,2.738584e-04
131.0,2.546532e-04
133.0,2.985844e-04
135.0,3.057507e-04
137.0,2.481345e-04
139.0,2.977575e-04
141.0,2.805336e-04
143.0,2.949180e-04
145.0,2.611093e-04
147.0,2.903159e-04
149.0,2.594961e-04
151.0,3.235799e-04
153.0,2.689460e-04
155.0,2.612712e-04
157.0,2.213117e-04
159.0,2.378534e-04
161.0,2.483835e-04
163.0,2.393707e-04
165.0,2.212656e-04
167.0,2.196150e-04
169.0,2.219556e-04
171.0,1.896680e-04
173.0,1.877551e-04
175.0,2.186907e-04
177.0,1.701891e-04
179.0,1.637253e-04
181.0,1.853644e-04
183.0,1.739095e-04
185.0,1.593472e-04
187.0,1.442546e-04
189.0,1.827128e-04
191.0,1.775539e-04
193.0,1.512703e-04
