# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = 8147e1da3b0d
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 18:05:15
# nuclide = Ra226, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 2000000
# Sv_total_per_cm3_s = 2.300000e-03
# bin_keV = 2.000  (последний канал = переполнение)
# fluence_total_cm2_s = 1.369449e-03
E_keV,fluence_cm2_s
41.0,2.258731e-06
43.0,2.194473e-06
45.0,1.762680e-06
47.0,7.915236e-06
49.0,4.265011e-06
51.0,5.927432e-06
53.0,1.453461e-05
55.0,1.687114e-05
57.0,1.776335e-05
59.0,1.272549e-05
61.0,1.954062e-05
63.0,2.236620e-05
65.0,1.970696e-05
67.0,4.252311e-05
69.0,2.144659e-05
71.0,3.243996e-05
73.0,1.987233e-05
75.0,2.768269e-05
77.0,2.412168e-05
79.0,2.138115e-05
81.0,5.216191e-05
83.0,2.451095e-05
85.0,4.431607e-05
87.0,2.266124e-05
89.0,2.160954e-05
91.0,1.997102e-05
93.0,1.573306e-05
95.0,2.993510e-05
97.0,1.195046e-05
99.0,1.568922e-05
101.0,2.132526e-05
103.0,1.401857e-05
105.0,8.665004e-06
107.0,1.888569e-05
109.0,1.443433e-05
111.0,2.970485e-05
113.0,2.131473e-05
115.0,3.361785e-05
117.0,1.521417e-05
119.0,2.845410e-05
121.0,1.648141e-05
123.0,1.938009e-05
125.0,8.098295e-06
127.0,1.469561e-05
129.0,1.082523e-05
131.0,1.607481e-05
133.0,1.382689e-05
135.0,8.806695e-06
137.0,5.268432e-06
139.0,6.712308e-06
141.0,3.980033e-06
143.0,9.875959e-06
145.0,1.016087e-05
147.0,9.504883e-06
149.0,5.438730e-06
151.0,1.091346e-05
153.0,1.194210e-05
155.0,1.058018e-05
157.0,2.707471e-06
159.0,1.545703e-05
161.0,1.062869e-05
163.0,1.172459e-05
165.0,1.263092e-05
167.0,5.255400e-06
169.0,7.879240e-06
171.0,6.772915e-06
173.0,9.151064e-06
175.0,9.060974e-06
177.0,1.020756e-05
179.0,6.272491e-06
181.0,8.988629e-06
183.0,1.820751e-05
185.0,7.010956e-06
187.0,2.317961e-04
263.0,1.659363e-06
