# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = cebc8837c56d
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 15:54:42
# nuclide = Bi214, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 200000
# Sv_total_per_cm3_s = 2.734819e-03
# fluence_total_cm2_s = 9.114954e-02
E_keV,fluence_cm2_s
35.0,4.803711e-05
45.0,6.910419e-04
55.0,2.321479e-03
65.0,2.878421e-03
75.0,3.505434e-03
85.0,3.863179e-03
95.0,4.164956e-03
105.0,3.099837e-03
115.0,3.071607e-03
125.0,3.191104e-03
135.0,2.837716e-03
145.0,2.384717e-03
155.0,2.283150e-03
165.0,1.895842e-03
175.0,1.949786e-03
185.0,1.774897e-03
195.0,1.611823e-03
205.0,1.116124e-03
215.0,1.308821e-03
225.0,1.220919e-03
235.0,9.851379e-04
245.0,1.001004e-03
255.0,8.505495e-04
265.0,8.675361e-04
275.0,7.771709e-04
285.0,6.940925e-04
295.0,7.832117e-04
305.0,7.382558e-04
315.0,7.864293e-04
325.0,6.907771e-04
335.0,5.038220e-04
345.0,5.556800e-04
355.0,4.326793e-04
365.0,6.505692e-04
375.0,6.482429e-04
385.0,5.533074e-04
395.0,5.086702e-04
405.0,5.009337e-04
415.0,6.022731e-04
425.0,3.352749e-04
435.0,4.208493e-04
445.0,3.603145e-04
455.0,4.138588e-04
465.0,4.309436e-04
475.0,1.734702e-04
485.0,4.439409e-04
495.0,2.101418e-04
505.0,3.776066e-04
515.0,4.082879e-04
525.0,4.555446e-04
535.0,2.190008e-04
545.0,3.365006e-04
555.0,4.234878e-04
565.0,3.295574e-04
575.0,4.051289e-04
585.0,3.816677e-04
595.0,3.190191e-04
605.0,5.244128e-03
615.0,1.925642e-04
625.0,1.103231e-04
635.0,8.628206e-05
645.0,9.667501e-05
655.0,1.703568e-04
665.0,3.921914e-04
675.0,9.767747e-05
685.0,2.510365e-05
695.0,8.333679e-05
705.0,1.614607e-04
715.0,1.903966e-04
725.0,1.570869e-04
735.0,2.117562e-04
745.0,6.457425e-05
755.0,1.181060e-04
765.0,9.726772e-04
775.0,9.681760e-05
785.0,7.882363e-05
795.0,7.624429e-05
805.0,3.339071e-04
815.0,7.199932e-05
825.0,1.339486e-04
835.0,9.781707e-05
845.0,9.991999e-05
855.0,6.577036e-05
865.0,1.085319e-04
875.0,9.326433e-05
885.0,8.853360e-05
895.0,1.091636e-04
905.0,5.231281e-05
915.0,6.093865e-05
925.0,7.210102e-05
935.0,5.174028e-04
945.0,1.726008e-04
955.0,1.150476e-04
965.0,1.291071e-04
975.0,7.588792e-05
985.0,9.770161e-05
995.0,5.314789e-05
1005.0,5.297060e-05
1015.0,1.235031e-04
1025.0,3.891807e-06
1035.0,1.859655e-04
1045.0,1.947944e-05
1055.0,1.220412e-04
1065.0,7.376646e-05
1075.0,9.676916e-05
1085.0,1.067552e-04
1095.0,3.437712e-05
1105.0,5.639255e-05
1115.0,2.376223e-05
1125.0,2.578451e-03
1135.0,4.009414e-05
1145.0,2.766909e-05
1155.0,3.920861e-04
1165.0,1.893284e-04
1175.0,3.964960e-05
1185.0,4.235222e-05
1195.0,7.306568e-05
1205.0,7.336361e-05
1215.0,2.311227e-05
1225.0,1.016156e-04
1235.0,9.616274e-04
1245.0,1.246313e-04
1255.0,1.353075e-05
1265.0,1.262042e-04
1275.0,1.002963e-05
1285.0,4.024326e-04
1295.0,2.669790e-05
1305.0,2.756154e-05
1315.0,8.441854e-05
1325.0,1.083531e-04
1335.0,5.486682e-05
1345.0,4.563112e-05
1355.0,2.846230e-05
1375.0,6.859484e-04
1395.0,2.964788e-05
1405.0,6.275716e-04
1415.0,9.358581e-05
1425.0,3.607164e-05
1435.0,3.073364e-05
1445.0,2.527456e-05
1465.0,6.090849e-05
1495.0,2.760483e-05
1505.0,2.993513e-04
1515.0,3.144757e-05
1535.0,6.134678e-05
1545.0,6.104872e-05
1565.0,9.558949e-05
1585.0,3.196951e-05
1605.0,2.174020e-05
1615.0,3.185557e-06
1635.0,7.637056e-05
1645.0,5.453703e-05
1655.0,5.648492e-05
1665.0,2.748329e-04
1675.0,3.736588e-06
1685.0,3.381614e-05
1695.0,3.063159e-05
1705.0,4.719503e-05
1725.0,4.189290e-04
1735.0,2.767082e-05
1745.0,1.536288e-05
1755.0,4.709547e-05
1765.0,2.796430e-03
1785.0,1.620135e-05
1835.0,8.479551e-06
1845.0,5.868321e-04
1905.0,3.187867e-05
2015.0,2.892468e-05
2025.0,3.404517e-05
2035.0,1.645524e-05
2065.0,3.358530e-05
2095.0,1.101899e-05
2115.0,2.763989e-04
2145.0,3.015740e-05
2165.0,2.182692e-05
2185.0,2.073694e-05
2205.0,1.120455e-03
2395.0,4.367375e-06
2445.0,3.139667e-04
2695.0,2.366349e-05
