# поле ЕРН в помещении: флюенс в воздушной полости
# src_sha1 = 16e80b36b2f0
# git_describe = asn16-2026-08-06-response-127-g8df2a12-dirty-untracked
# build = Aug 21 2026 16:04:59
# nuclide = K40, 1 Bq/kg parent, rho 2.30 (nuclide template, pipeline method 1)
# R_wall_cm = 80.0  R_cav_cm = 20.0
# N = 100000
# Sv_total_per_cm3_s = 2.300000e-03
# fluence_total_cm2_s = 8.739734e-03
E_keV,fluence_cm2_s
35.0,5.106711e-05
45.0,7.232259e-05
55.0,3.505542e-04
65.0,2.656450e-04
75.0,2.985904e-04
85.0,2.222348e-04
95.0,3.225029e-04
105.0,3.220342e-04
115.0,1.924811e-04
125.0,3.450992e-04
135.0,1.968855e-04
145.0,3.668304e-04
155.0,1.010274e-04
165.0,5.701701e-05
175.0,4.924510e-05
185.0,5.661082e-05
195.0,1.262443e-04
205.0,1.423134e-04
215.0,1.469923e-04
225.0,7.494484e-05
235.0,1.423429e-04
245.0,3.631883e-05
255.0,1.050622e-04
265.0,1.051401e-04
275.0,9.295500e-05
285.0,7.984860e-05
305.0,5.858941e-05
315.0,6.935488e-05
325.0,5.683805e-05
335.0,2.346288e-05
345.0,3.347085e-05
355.0,2.578800e-06
365.0,5.374111e-05
375.0,5.093772e-05
395.0,1.027528e-04
435.0,1.630257e-05
445.0,3.234775e-05
475.0,5.260765e-05
495.0,3.150291e-05
515.0,5.850601e-05
535.0,4.515293e-05
545.0,5.100228e-05
555.0,5.667442e-05
565.0,5.174092e-05
585.0,4.350929e-05
595.0,6.614452e-05
605.0,2.465357e-05
615.0,4.386257e-05
625.0,4.956874e-05
645.0,5.121371e-05
655.0,3.256031e-05
675.0,2.967856e-05
685.0,2.880910e-05
695.0,2.974261e-05
705.0,5.407368e-05
725.0,5.284760e-05
735.0,3.664973e-05
745.0,4.791348e-05
755.0,4.914795e-05
785.0,2.718798e-05
805.0,3.435458e-05
835.0,4.714057e-05
845.0,4.416123e-05
885.0,2.750541e-05
905.0,3.520621e-05
925.0,3.497941e-05
935.0,4.791067e-05
945.0,9.840377e-06
965.0,2.075754e-05
985.0,4.064944e-05
995.0,4.384925e-05
1005.0,4.635525e-05
1025.0,2.765146e-05
1265.0,5.186551e-05
1325.0,3.512019e-05
1335.0,4.238452e-05
1405.0,8.828778e-05
1465.0,2.224277e-03
