cond,header,particle,flux_total,flux_lt0.5eV,flux_0.5eV-0.1MeV,flux_gt1MeV,flux_gt10MeV,Edep_dose_uSvph
0,"W-index= 0 Rc(GV)= 2.1947 depth(g/cm2)= 231.465 g= 10",neutron,5.6261e+00,1.6471e-01,2.1498e+00,2.2933e+00,1.2713e+00,3.0669e+00
0,"W-index= 0 Rc(GV)= 2.1947 depth(g/cm2)= 231.465 g= 10",proton,3.2647e-01,0.0000e+00,7.0875e-06,3.2638e-01,3.2381e-01,1.4522e+00
0,"W-index= 0 Rc(GV)= 2.1947 depth(g/cm2)= 231.465 g= 10",muplus,9.5558e-02,0.0000e+00,7.7423e-08,9.5553e-02,9.5333e-02,1.1777e-01
0,"W-index= 0 Rc(GV)= 2.1947 depth(g/cm2)= 231.465 g= 10",muminus,8.5377e-02,0.0000e+00,7.7296e-08,8.5373e-02,8.5156e-02,1.0551e-01
0,"W-index= 0 Rc(GV)= 2.1947 depth(g/cm2)= 231.465 g= 10",electron,9.1382e-01,0.0000e+00,4.4191e-02,6.9860e-01,3.9831e-01,3.5458e-01
0,"W-index= 0 Rc(GV)= 2.1947 depth(g/cm2)= 231.465 g= 10",positron,4.3230e-01,0.0000e+00,4.7183e-04,4.1812e-01,3.2009e-01,3.1258e-01
0,"W-index= 0 Rc(GV)= 2.1947 depth(g/cm2)= 231.465 g= 10",photon,3.2108e+01,0.0000e+00,1.2848e+01,6.3154e+00,2.4425e+00,6.8118e-01
1,"W-index= 1.110000e+01 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",neutron,5.5404e+00,1.6217e-01,2.1166e+00,2.2588e+00,1.2521e+00,3.0218e+00
1,"W-index= 1.110000e+01 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",proton,3.1944e-01,0.0000e+00,6.9730e-06,3.1935e-01,3.1682e-01,1.4208e+00
1,"W-index= 1.110000e+01 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muplus,9.4775e-02,0.0000e+00,7.6460e-08,9.4770e-02,9.4553e-02,1.1680e-01
1,"W-index= 1.110000e+01 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muminus,8.4671e-02,0.0000e+00,7.6302e-08,8.4666e-02,8.4453e-02,1.0463e-01
1,"W-index= 1.110000e+01 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",electron,9.0546e-01,0.0000e+00,4.3787e-02,6.9221e-01,3.9466e-01,3.5134e-01
1,"W-index= 1.110000e+01 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",positron,4.2835e-01,0.0000e+00,4.6752e-04,4.1430e-01,3.1717e-01,3.0973e-01
1,"W-index= 1.110000e+01 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",photon,3.1755e+01,0.0000e+00,1.2707e+01,6.2461e+00,2.4157e+00,6.7371e-01
2,"W-index= 6.880000e+01 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",neutron,4.5804e+00,1.3385e-01,1.7463e+00,1.8713e+00,1.0370e+00,2.5120e+00
2,"W-index= 6.880000e+01 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",proton,2.5336e-01,0.0000e+00,5.7164e-06,2.5329e-01,2.5122e-01,1.1275e+00
2,"W-index= 6.880000e+01 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muplus,8.5827e-02,0.0000e+00,6.5454e-08,8.5823e-02,8.5636e-02,1.0572e-01
2,"W-index= 6.880000e+01 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muminus,7.6845e-02,0.0000e+00,6.5289e-08,7.6841e-02,7.6658e-02,9.4915e-02
2,"W-index= 6.880000e+01 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",electron,8.1142e-01,0.0000e+00,3.9239e-02,6.2032e-01,3.5367e-01,3.1485e-01
2,"W-index= 6.880000e+01 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",positron,3.8454e-01,0.0000e+00,4.1970e-04,3.7193e-01,2.8472e-01,2.7805e-01
2,"W-index= 6.880000e+01 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",photon,2.7919e+01,0.0000e+00,1.1172e+01,5.4915e+00,2.1239e+00,5.9232e-01
3,"W-index= 1.000000e+02 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",neutron,3.9870e+00,1.1640e-01,1.5183e+00,1.6307e+00,9.0360e-01,2.1934e+00
3,"W-index= 1.000000e+02 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",proton,2.1504e-01,0.0000e+00,4.9600e-06,2.1498e-01,2.1318e-01,9.5729e-01
3,"W-index= 1.000000e+02 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muplus,8.0112e-02,0.0000e+00,5.8425e-08,8.0109e-02,7.9942e-02,9.8648e-02
3,"W-index= 1.000000e+02 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muminus,7.2071e-02,0.0000e+00,5.8571e-08,7.2068e-02,7.1903e-02,8.8987e-02
3,"W-index= 1.000000e+02 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",electron,7.5273e-01,0.0000e+00,3.6401e-02,5.7545e-01,3.2809e-01,2.9207e-01
3,"W-index= 1.000000e+02 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",positron,3.5771e-01,0.0000e+00,3.9042e-04,3.4598e-01,2.6486e-01,2.5865e-01
3,"W-index= 1.000000e+02 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",photon,2.5637e+01,0.0000e+00,1.0258e+01,5.0426e+00,1.9502e+00,5.4389e-01
4,"W-index= 1.500000e+02 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",neutron,3.0803e+00,8.9812e-02,1.1711e+00,1.2620e+00,6.9911e-01,1.7020e+00
4,"W-index= 1.500000e+02 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",proton,1.6018e-01,0.0000e+00,3.8294e-06,1.6013e-01,1.5874e-01,7.1354e-01
4,"W-index= 1.500000e+02 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muplus,7.1070e-02,0.0000e+00,4.7304e-08,7.1068e-02,7.0932e-02,8.7455e-02
4,"W-index= 1.500000e+02 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muminus,6.4845e-02,0.0000e+00,4.8401e-08,6.4842e-02,6.4704e-02,8.0013e-02
4,"W-index= 1.500000e+02 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",electron,6.6191e-01,0.0000e+00,3.2009e-02,5.0602e-01,2.8851e-01,2.5684e-01
4,"W-index= 1.500000e+02 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",positron,3.1695e-01,0.0000e+00,3.4594e-04,3.0656e-01,2.3468e-01,2.2918e-01
4,"W-index= 1.500000e+02 Rc(GV)= 2.194700e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",photon,2.2262e+01,0.0000e+00,8.9082e+00,4.3789e+00,1.6935e+00,4.7231e-01
5,"W-index= 0.000000e+00 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",neutron,6.5369e+00,1.9178e-01,2.5046e+00,2.6566e+00,1.4710e+00,3.5377e+00
5,"W-index= 0.000000e+00 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",proton,3.6216e-01,0.0000e+00,8.0474e-06,3.6205e-01,3.5914e-01,1.6088e+00
5,"W-index= 0.000000e+00 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muplus,9.7111e-02,0.0000e+00,8.2746e-08,9.7106e-02,9.6871e-02,1.1980e-01
5,"W-index= 0.000000e+00 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muminus,8.7186e-02,0.0000e+00,8.2470e-08,8.7181e-02,8.6950e-02,1.0783e-01
5,"W-index= 0.000000e+00 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",electron,9.4341e-01,0.0000e+00,4.5622e-02,7.2122e-01,4.1120e-01,3.6606e-01
5,"W-index= 0.000000e+00 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",positron,4.4717e-01,0.0000e+00,4.8806e-04,4.3251e-01,3.3110e-01,3.2334e-01
5,"W-index= 0.000000e+00 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",photon,3.4080e+01,0.0000e+00,1.3637e+01,6.7033e+00,2.5925e+00,7.2303e-01
6,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",neutron,6.4244e+00,1.8843e-01,2.4607e+00,2.6117e+00,1.4462e+00,3.4795e+00
6,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",proton,3.5376e-01,0.0000e+00,7.8967e-06,3.5366e-01,3.5080e-01,1.5714e+00
6,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muplus,9.6332e-02,0.0000e+00,8.1689e-08,9.6327e-02,9.6095e-02,1.1883e-01
6,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muminus,8.6487e-02,0.0000e+00,8.1404e-08,8.6482e-02,8.6254e-02,1.0696e-01
6,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",electron,9.3403e-01,0.0000e+00,4.5169e-02,7.1406e-01,4.0712e-01,3.6242e-01
6,"W-index= 1.110000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",positron,4.4266e-01,0.0000e+00,4.8313e-04,4.2814e-01,3.2776e-01,3.2007e-01
