cond,header,particle,flux_total,flux_lt0.5eV,flux_0.5eV-0.1MeV,flux_gt1MeV,flux_gt10MeV,Edep_dose_uSvph
0,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 55.97 Lon(deg)= 37.41 Alti(m)= 11000 g= 10",neutron,5.5405e+00,1.6217e-01,2.1166e+00,2.2589e+00,1.2521e+00,3.0218e+00
0,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 55.97 Lon(deg)= 37.41 Alti(m)= 11000 g= 10",proton,3.1944e-01,0.0000e+00,6.9731e-06,3.1935e-01,3.1682e-01,1.4208e+00
0,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 55.97 Lon(deg)= 37.41 Alti(m)= 11000 g= 10",muplus,9.4775e-02,0.0000e+00,7.6460e-08,9.4770e-02,9.4553e-02,1.1680e-01
0,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 55.97 Lon(deg)= 37.41 Alti(m)= 11000 g= 10",muminus,8.4671e-02,0.0000e+00,7.6302e-08,8.4667e-02,8.4453e-02,1.0463e-01
0,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 55.97 Lon(deg)= 37.41 Alti(m)= 11000 g= 10",electron,9.0546e-01,0.0000e+00,4.3787e-02,6.9221e-01,3.9466e-01,3.5134e-01
0,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 55.97 Lon(deg)= 37.41 Alti(m)= 11000 g= 10",positron,4.2835e-01,0.0000e+00,4.6752e-04,4.1430e-01,3.1717e-01,3.0973e-01
0,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 55.97 Lon(deg)= 37.41 Alti(m)= 11000 g= 10",photon,3.1756e+01,0.0000e+00,1.2707e+01,6.2461e+00,2.4157e+00,6.7371e-01
1,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.891900e+01 Lon(deg)= 4.869600e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,6.0417e+00,1.7707e-01,2.3120e+00,2.4587e+00,1.3619e+00,3.2811e+00
1,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.891900e+01 Lon(deg)= 4.869600e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,3.3943e-01,0.0000e+00,7.4997e-06,3.3933e-01,3.3662e-01,1.5090e+00
1,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.891900e+01 Lon(deg)= 4.869600e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,9.5803e-02,0.0000e+00,7.9637e-08,9.5799e-02,9.5572e-02,1.1813e-01
1,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.891900e+01 Lon(deg)= 4.869600e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,8.5730e-02,0.0000e+00,7.9291e-08,8.5726e-02,8.5504e-02,1.0599e-01
1,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.891900e+01 Lon(deg)= 4.869600e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,9.2271e-01,0.0000e+00,4.4621e-02,7.0540e-01,4.0218e-01,3.5803e-01
1,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.891900e+01 Lon(deg)= 4.869600e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,4.3689e-01,0.0000e+00,4.7684e-04,4.2256e-01,3.2349e-01,3.1590e-01
1,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.891900e+01 Lon(deg)= 4.869600e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,3.2863e+01,0.0000e+00,1.3150e+01,6.4639e+00,2.4999e+00,6.9720e-01
2,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.072700e+01 Lon(deg)= 6.163900e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,6.3807e+00,1.8714e-01,2.4438e+00,2.5942e+00,1.4365e+00,3.4569e+00
2,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.072700e+01 Lon(deg)= 6.163900e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,3.5213e-01,0.0000e+00,7.8515e-06,3.5202e-01,3.4918e-01,1.5643e+00
2,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.072700e+01 Lon(deg)= 6.163900e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,9.6281e-02,0.0000e+00,8.1469e-08,9.6277e-02,9.6045e-02,1.1876e-01
2,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.072700e+01 Lon(deg)= 6.163900e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,8.6402e-02,0.0000e+00,8.1168e-08,8.6397e-02,8.6170e-02,1.0685e-01
