comp,E_keV,A_eff_cm2,sigma_cm2,eps
em,50,0,0,0
em,123.019,0.0015708,0.00157,0.00013963
em,302.674,0.0329867,0.0072,0.0029322
em,744.695,0.164934,0.0161,0.014661
em,1832.23,1.85982,0.0541,0.16532
em,4508,9.84418,0.124,0.87504
em,11091.4,11.5862,0.135,1.0299
em,27289.1,6.9602,0.105,0.61868
em,67141.6,5.98469,0.097,0.53197
em,165194,5.54648,0.0933,0.49302
em,406441,5.0831,0.0894,0.45183
em,1e+06,5.02812,0.0889,0.44694
ep,50,2.21954,0.059,0.19729
ep,123.019,5.80252,0.0955,0.51578
ep,302.674,3.28925,0.0719,0.29238
ep,744.695,3.17458,0.0706,0.28218
ep,1832.23,5.49936,0.0929,0.48883
ep,4508,10.6531,0.129,0.94695
ep,11091.4,11.5249,0.135,1.0244
ep,27289.1,7.07173,0.105,0.6286
ep,67141.6,6.23449,0.099,0.55418
ep,165194,5.50878,0.093,0.48967
ep,406441,5.17244,0.0901,0.45977
ep,1e+06,5.05613,0.0891,0.44943
gamma,20,0.361283,0.0238,0.032114
gamma,30.2664,0.361283,0.0238,0.032114
gamma,45.8029,0.361283,0.0238,0.032114
gamma,69.3145,9.58343,0.123,0.85186
gamma,104.895,9.76093,0.124,0.86764
gamma,158.74,9.25199,0.121,0.8224
gamma,240.225,7.74717,0.11,0.68864
gamma,363.538,5.67057,0.0944,0.50405
gamma,550.149,4.45007,0.0836,0.39556
gamma,832.553,3.78091,0.0771,0.33608
gamma,1259.92,3.22799,0.0712,0.28693
gamma,1906.67,2.69077,0.065,0.23918
gamma,2885.4,2.56511,0.0635,0.22801
gamma,4366.54,2.66878,0.0647,0.23723
gamma,6607.98,2.61223,0.0641,0.2322
gamma,10000,2.851,0.0669,0.25342
mum,1000,17.5945,0.166,1.564
mum,2310.13,8.20052,0.113,0.72893
mum,5336.7,8.60805,0.116,0.76516
mum,12328.5,12.7472,0.141,1.1331
mum,28480.4,3.56698,0.0747,0.31707
mum,65793.3,5.1508,0.0899,0.45785
mum,151991,7.43615,0.108,0.66099
mum,351119,7.73617,0.11,0.68766
mum,811131,7.67648,0.11,0.68235
mum,1.87382e+06,7.25237,0.107,0.64465
mum,4.32876e+06,6.86124,0.104,0.60989
mum,1e+07,6.64447,0.102,0.59062
mup,1000,7.14398,0.106,0.63502
mup,2310.13,2.90911,0.0676,0.25859
mup,5336.7,3.1306,0.0701,0.27828
mup,12328.5,11.8595,0.136,1.0542
mup,28480.4,6.40487,0.1,0.56932
mup,65793.3,5.22133,0.0906,0.46412
mup,151991,7.47385,0.108,0.66434
mup,351119,7.97179,0.112,0.7086
mup,811131,7.63721,0.11,0.67886
mup,1.87382e+06,7.33876,0.107,0.65233
mup,4.32876e+06,6.68531,0.102,0.59425
mup,1e+07,6.61619,0.102,0.58811
neutron,1e-05,5.84667,0.047,0.5197
neutron,5.4117e-05,3.42484,0.036,0.30443
neutron,0.000292864,1.77313,0.0259,0.15761
neutron,0.00158489,1.03097,0.0198,0.091641
neutron,0.00857696,1.10956,0.0206,0.098627
neutron,0.0464159,5.03018,0.0429,0.44713
neutron,0.251189,0.513112,0.0137,0.04561
neutron,1.35936,0.328192,0.011,0.029173
neutron,7.35642,0.569737,0.0145,0.050643
neutron,39.8107,0.263698,0.00983,0.02344
neutron,215.443,0.329352,0.0113,0.029276
neutron,1165.91,0.741239,0.017,0.065888
neutron,6309.57,1.09568,0.0207,0.097394
neutron,34145.5,0.915292,0.0188,0.081359
neutron,184785,0.543159,0.0144,0.048281
neutron,1e+06,0.490874,0.0135,0.043633
proton,1000,0,0,0
proton,2310.13,0,0,0
proton,5336.7,0,0,0
proton,12328.5,0.0109956,0.00416,0.00097738
proton,28480.4,1.96821,0.0556,0.17495
proton,65793.3,1.50418,0.0485,0.13371
proton,151991,2.76538,0.0657,0.24581
proton,351119,4.27178,0.0817,0.37971
proton,811131,6.48358,0.101,0.57632
proton,1.87382e+06,7.98067,0.112,0.70939
proton,4.32876e+06,7.6922,0.11,0.68375
proton,1e+07,7.62876,0.109,0.67811
