E_keV,reaction,place_class,net_cph,sigma_cph,signif,found,origin
30.64,²⁷Al(n;γ),обшивка; силовой набор | C,0.0,inf,0.0,0,
57.608,¹²⁷I(n;n′) (1-й уровень 57;608 кэВ; 7/2⁺; ENSDF) и ¹²⁷I(n;γ) 58;11,кристалл NaI/CsI — классический «йодный бугор» | B,13327.750731400214,102.8665732473909,129.5634753900802,1,пик 61.5 кэВ: gamma/primary/World 86.5%; gamma/eBrem/Pax 6.8%; gamma/eBrem/Skin 3.0%
58.11,¹²⁷I(n;n′) (1-й уровень 57;608 кэВ; 7/2⁺; ENSDF) и ¹²⁷I(n;γ) 58;11,кристалл NaI/CsI — классический «йодный бугор» | B,13614.13326084167,105.10555480890731,129.52819939529897,1,пик 61.5 кэВ: gamma/primary/World 86.5%; gamma/eBrem/Pax 6.8%; gamma/eBrem/Skin 3.0%
75.26,мюонный X-ray C (2p–1s),композит; пластик; люди | C,14805.481318314689,99.88050434090525,148.23194392152487,0,
78.08,³¹P(n;γ),кости пассажиров | D,2121.410249385156,98.00916666782604,21.645018741716964,0,
78.91,¹⁰⁷Ag(n;γ),контакты; припой | D,1546.7253969755284,97.33583445281849,15.890606020594308,0,
79.51,¹⁵⁷Gd(n;γ),кристалл GAGG | B,899.5126378693635,98.7592651280114,9.108134175597788,0,
88.97,¹⁵⁵Gd(n;γ),кристалл GAGG | B,-12788.814338482456,95.33798047029,-134.1418632469125,0,
90.99,²³Na(n;γ),люди; NaI | C,-14876.929509090196,97.42387420925857,-152.70311953654974,0,
102.4,мюонный X-ray N,воздух; люди | D,-12783.961270231131,93.21743995229315,-137.14130399605173,0,
115.22,⁶⁴Zn(n;γ),сплав 7075 | D,-5281.073349635556,90.76003777275872,-58.18720969308202,0,
116.61,¹³³Cs(n;γ),кристалл CsI | C,-5295.377378789928,90.41206694952142,-58.569365323175575,0,
133.54,мюонный X-ray O,воздух; люди; вода | C,-3005.6939667559936,84.16034266963912,-35.71389886748048,0,
133.61,¹²⁷I(n;γ),кристалл NaI/CsI | B,-3005.6939667559755,84.16034266963912,-35.71389886748026,0,
159.28,⁶³Cu(n;γ),проводка; сплав 2024 | C,306.2589126984912,71.93020439627497,4.257723376000184,0,
170.82,²⁷Mg распад,активация Al | D,218.10220494705055,67.62453867652025,3.2251932392520306,0,
176.4,¹³³Cs(n;γ),кристалл CsI | B,118.1718571387218,64.71447415370102,1.8260498703590804,0,
181.93,¹⁵⁷Gd(n;γ),кристалл GAGG | A (для GAGG),110.5031481861472,62.63238135243164,1.7643133759252636,0,
185.96,⁶⁵Cu(n;γ),проводка | D,171.7377704496904,61.61819264940407,2.787127682028034,0,
199.21,¹⁵⁵Gd(n;γ),кристалл GAGG | A (для GAGG),551.2833956485993,57.01017417521616,9.669912495869147,0,
205.62,¹³³Cs(n;γ),CsI | C,772.5369500689178,54.86642613466524,14.080322056566759,0,
218.22,¹³⁹La(n;γ),LaBr₃ | B,617.0998520752113,51.14573054776728,12.06552033700788,0,
238.63,²¹²Pb (Th-232),торированные сплавы; если есть | D (нет Th → нет линии),-303.4436863174684,46.09514967890917,-6.582985160720912,0,
245.2,⁷⁹Br(n;γ),LaBr₃ | B,-581.715117953246,44.859188815171734,-12.967579961154032,0,
250.23,мюонный X-ray Na,NaI; люди | D,-657.1292087324023,43.20232518912532,-15.210505588662429,0,
278.25,⁶³Cu(n;γ),проводка | C,-143.43936909499288,38.15096863578855,-3.759783151624509,0,
287.74,⁸¹Br(n;γ),LaBr₃ | B,-121.76254520422249,36.49149215775059,-3.336737908054023,0,
288.25,¹³⁹La(n;γ),LaBr₃ | B,-126.60331296018478,36.40454164609041,-3.4776790816642813,0,
295.22,²¹⁴Pb (радон; T½=27;06 мин),на эшелоне практически отсутствует | D — диагностический признак,-140.436438073696,35.26943113124046,-3.981817499440817,0,
320.08,⁵¹Ti распад,активация Ti | D,319.5030156675123,31.694999485564914,10.080549640425957,0,
339.42,⁵⁸Ni(n;γ),сталь; жаропрочные сплавы | D,448.36735569571357,28.660249516856503,15.644223733363056,0,
341.71,⁴⁸Ti(n;γ),титановые узлы | B,432.51860671028476,28.61801161209005,15.113510070963898,0,
346.83,мюонный X-ray Al (2p–1s),обшивка — главная мишень мюонов | B,364.2657621208109,27.872199336960936,13.06914311701851,0,
351.93,²¹⁴Pb (радон; T½=27;06 мин),на эшелоне практически отсутствует | D — диагностический признак,313.2721364000997,27.17532203475846,11.527816892083582,0,
352.35,⁵⁶Fe(n;γ),сталь; крепёж | B,313.7506318241084,27.272397813537946,11.504328807801542,0,
400.18,мюонный X-ray Si,электроника; стекло | D,-280.2655158720329,24.090212087181943,-11.633999520542128,0,
412.88,мюонный X-ray Al (3p–1s),обшивка | C,-4008.1395140498553,23.235805215270634,-172.49841255407387,0,
464.98,⁵⁸Ni(n;γ),сталь | C,1632.5799284911584,20.219524671939567,80.74274519206848,0,
465.14,⁶⁵Cu(n;γ),проводка | D,1631.2342186234878,20.15599637268179,80.93046795912124,0,
472.2,²⁴Na распад,активация Al/Na | D,2169.8784864777085,20.56996390293621,105.4877148407623,0,
477.6,¹⁰B(n;αγ)⁷Li*,борсиликатное стекло; композиты | B; если бор есть,2586.046816741012,20.947016252860085,123.45657183456456,0,
477.6,⁷Be распад,атмосферный аэрозоль | D,2586.046816741012,20.947016252860085,123.45657183456456,0,
508.19,⁶⁹Ga(n;γ),GAGG | B,3325.0004908290357,20.25829086459183,164.13035596406561,1,пик 509.5 кэВ: gamma/primary/World 50.6%; gamma/annihil/Pax 29.7%; gamma/annihil/Skin 7.7%
511.0,e⁺e⁻-аннигиляция (π⁺→μ⁺→e⁺; рождение пар; ¹¹C/¹³N/⁶²Cu),везде; на 11 км на порядки сильнее; чем у земли | A,3328.8409711135155,20.11451962501331,165.49443054926115,1,пик 509.5 кэВ: gamma/primary/World 50.6%; gamma/annihil/Pax 29.7%; gamma/annihil/Skin 7.7%
512.49,⁸¹Br(n;γ),LaBr₃ | B,3356.4987246249066,19.9419225261688,168.31369795065342,1,пик 509.5 кэВ: gamma/primary/World 50.6%; gamma/annihil/Pax 29.7%; gamma/annihil/Skin 7.7%
512.65,³¹P(n;γ),кости | D,3358.1801957199173,20.038953982624044,167.5826092834898,1,пик 509.5 кэВ: gamma/primary/World 50.6%; gamma/annihil/Pax 29.7%; gamma/annihil/Skin 7.7%
517.07,³⁵Cl(n;γ),ПВХ-проводка; соль тела | B,3329.904071074581,19.856593155733886,167.69765311493134,1,пик 509.5 кэВ: gamma/primary/World 50.6%; gamma/annihil/Pax 29.7%; gamma/annihil/Skin 7.7%
519.66,⁴⁰Ca(n;γ),скелет пассажиров | C,3250.5333174598036,19.847007383012127,163.7795187319812,1,пик 509.5 кэВ: gamma/primary/World 50.6%; gamma/annihil/Pax 29.7%; gamma/annihil/Skin 7.7%
558.32,¹¹³Cd(n;γ),кадмированный крепёж | B; если Cd есть,893.5241096272999,16.4565668265533,54.29590017436472,0,
564.05,⁵²Cr(n;γ),нержавеющая сталь | C,406.81113020802167,15.39251780759193,26.429147933639126,0,
578.6,мюонный X-ray Cl,ПВХ | D,-389.7129079025775,14.099560056505318,-27.640075742843482,0,
583.19,²⁰⁸Tl (Th-232),торированные сплавы | D,-559.556187396606,14.123963741456645,-39.617503814045996,0,
585.0,²⁴Mg(n;γ),Mg в сплавах 2024/7075 | C,-610.9031357896095,14.127369887110603,-43.24252431069845,0,
608.77,⁶³Cu(n;γ),проводка | D,-3544.242002061671,15.068068515327433,-235.21541586145713,0,
609.32,²¹⁴Bi (радон; T½=19;71 мин),должно отсутствовать | D — диагностический признак,-3441.9267081415774,15.040223266950257,-228.84811262775258,0,
636.66,³¹P(n;γ),кости | D,-695.0269026307507,14.80302171549595,-46.951691079611784,0,
651.09,⁶⁹Ga(n;γ),GAGG | C,283.3303762162622,14.590053633139137,19.419419786964962,0,
669.72,⁶³Cu(n;n′),проводка; шины | C,772.3319335570784,13.850410401773686,55.762386178692104,0,
690.94,⁶⁹Ga(n;γ),GAGG | B,262.2439906478252,11.989628061060433,21.87257096819656,0,
712.69,мюонный X-ray K,люди | D,127.95208441015544,11.093963096310715,11.533487474165636,0,
770.3,³⁹K(n;γ),люди; багаж | B,-128.06625886076708,10.4701862234321,-12.231516816210677,0,
782.7,мюонный X-ray Ca,скелет | D,-184.0786497587576,10.366665546010553,-17.756784854470137,0,
784.15,мюонный X-ray Ca,скелет | D,-187.0513410956221,10.291515681272745,-18.17529573763323,0,
786.3,³⁵Cl(n;γ),ПВХ; тело | B,-191.06984144133696,10.311517409672861,-18.529750166750556,0,
788.43,³⁵Cl(n;γ),ПВХ; тело | B,-192.1365124640334,10.287870638504195,-18.676023369202188,0,
788.7,¹³⁸La (собств. активность),LaBr₃ | B (только LaBr₃),-195.02333738130957,10.305600150247173,-18.924015538933176,0,
840.99,³²S(n;γ),тело; резина | C,74.30228955512078,9.712382712297222,7.650263766999604,0,
843.76,²⁷Al(n;n′) σ 100 мб @2 МэВ и ²⁷Mg-распад (71;8 %) и μ⁻-захват на Al,обшивка | A,84.89425008158007,9.740094788842594,8.715957279884744,0,
846.78,⁵⁶Fe(n;n′) σ 528 мб @2 МэВ; пик 1999 мб @1;38 МэВ; и ⁵⁶Mn-распад (98;85 %),сталь; крепёж; двигатели | A,93.95209188503001,9.688609415943098,9.69716992930142,0,
855.69,⁶⁴Zn(n;γ),сплав 7075 | D,113.81970376824565,9.528956545105114,11.94461358171616,0,
869.21,²³Na(n;γ),тело; NaI | C,120.83116128117274,9.38738932570967,12.871646960486336,0,
870.68,¹⁶O(n;γ),воздух; вода; люди | D,119.8882532576302,9.423963658977346,12.721637900568902,0,
874.39,²³Na(n;γ),тело; NaI | D,115.96053399616324,9.38169394450633,12.360298116958573,0,
877.98,⁵⁸Ni(n;γ),сталь | D,114.05016659613486,9.323171711019636,12.232979304814464,0,
911.2,²²⁸Ac (Th-232),торированные сплавы | D,-15.031250344418194,9.118863411906528,-1.6483688443881992,0,
928.63,⁵¹Ti распад,активация Ti | D,-43.140974334191604,9.017631046403379,-4.784069575722783,0,
944.17,¹⁵⁷Gd(n;γ),GAGG | B,-45.70916550955123,8.820704355099837,-5.182031238029615,0,
962.1,¹⁵⁷Gd(n;γ) / ⁶³Cu(n;n′) 962;15,GAGG / проводка — наложение | B,-50.65234311970602,8.656020391372335,-5.851689440356729,0,
983.53,⁴⁸Ti(n;n′),титановые узлы | B,-32.18485100991866,8.486460359911744,-3.792494119450924,0,
1014.52,²⁷Al(n;n′) σ 234 мб @2 МэВ и ²⁷Mg-распад (28;2 %),обшивка | A,30.433921683777978,8.268784911950451,3.68057967498869,0,
1039.2,⁶⁶Cu распад,активация Cu | D,26.464353623999493,8.24959791360709,3.2079567878512645,0,
1065.14,¹⁵⁵Gd(n;γ),GAGG | C,-18.020698525576094,8.145938500993715,-2.2122311042954435,0,
1071.22,³¹P(n;γ),кости | D,-26.875467005629172,8.142523699233742,-3.300631106318832,0,
1087.75,¹⁶O(n;γ),вода; люди | D,-25.566934507891496,8.059426038238447,-3.1723021449154802,0,
1107.61,¹⁵⁷Gd(n;γ),GAGG | C,-6.605904945285021,7.915797984632727,-0.834521668959888,0,
1115.53,⁶⁵Ni распад,активация Ni | D,-4.939545385997334,7.817504004115574,-0.6318570970218729,0,
1120.29,²¹⁴Bi (радон),должно отсутствовать | D,-6.306688226664981,7.818998757019583,-0.8065851425034555,0,
1158.89,³⁹K(n;γ),люди | D,-48.086213989505644,7.605705733133485,-6.3223868601730056,0,
1158.99,¹⁵⁵Gd(n;γ),GAGG | C,-48.08621398950645,7.605705733133485,-6.322386860173111,0,
1164.87,³⁵Cl(n;γ),ПВХ-изоляция; соль тела | B,-44.21591091157964,7.559998114889361,-5.84866692287882,0,
1185.99,¹⁵⁷Gd(n;γ),GAGG | C,-16.347839421288185,7.520113520546491,-2.173882000135043,0,
1230.79,¹⁵⁵Gd(n;γ),GAGG | C,87.501673764369,7.4456152943110085,11.75210782528969,1,пик 1219.5 кэВ: gamma/nCapture/Pax 20.2%; e+-/primary/World 19.5%; gamma/RadioactiveDecay/Pax 10.2%
1249.62,¹¹⁸Sn(n;γ),припои | D,110.89736706586959,7.429926922956993,14.925768209539024,1,пик 1219.5 кэВ: gamma/nCapture/Pax 20.2%; e+-/primary/World 19.5%; gamma/RadioactiveDecay/Pax 10.2%
1253.06,мюонные X-ray Fe (2p–1s),сталь; двигатели | C,110.769768866059,7.456438251980161,14.855587228479033,1,пик 1219.5 кэВ: gamma/nCapture/Pax 20.2%; e+-/primary/World 19.5%; gamma/RadioactiveDecay/Pax 10.2%
1257.19,мюонные X-ray Fe (2p–1s),сталь; двигатели | C,109.05648113160598,7.431916994748835,14.674071468863545,0,
1261.77,¹²C(n;γ),топливо; композит; люди | D,102.67762856083502,7.410500800116406,13.855693606999157,0,
1273.35,²⁸Si(n;γ),электроника; стекло | D,77.36378761366875,7.3781293414795135,10.48555589541281,0,
1274.54,²²Na распад,долгоживущая активация Al/Mg | D,73.58011374213396,7.373123671572438,9.979503534685973,0,
1293.64,⁴¹Ar распад,воздух салона — подавлен вентиляцией | D,14.093880086204544,7.2237193473723424,1.9510558769605648,0,
1326.01,⁶³Cu(n;n′),проводка | D,-30.000471013596844,7.101776450764903,-4.22436149906769,0,
1368.63,²⁴Na распад (99;99 %) и ²⁴Mg(n;n′) 1368;67,Al-сплавы; активация | B,-129.6680250480455,6.929563653282669,-18.71229294309451,0,
1381.74,⁴⁸Ti(n;γ),титановые узлы; двигатели | B,-157.514522104896,6.919266407355399,-22.764627466497473,0,
1408.9,⁴⁹Ca распад,— | D,-150.5973520610894,6.897641996226963,-21.833164455833852,0,
1434.06,⁵²V-распад (100 %) и ⁵²Cr(n;n′) σ 1003 мб @2 МэВ,нержавеющая сталь | B,-81.02634232289186,6.849142656980632,-11.830143768477356,0,
1434.09,⁵²V-распад (100 %) и ⁵²Cr(n;n′) σ 1003 мб @2 МэВ,нержавеющая сталь | B,-81.02634232288885,6.849142656980632,-11.830143768476916,0,
1435.8,¹³⁸La (собств. активность),LaBr₃ | A (только LaBr₃),-74.70417186809539,6.842971525576301,-10.9169198774072,0,
1454.21,⁵⁸Ni(n;n′) σ 578 мб @2 МэВ,жаропрочные сплавы | B,-1.8751952336394098,6.793930653751807,-0.276010358245837,0,
1460.82,⁴⁰K распад,пассажиры; багаж; стекло; керамика | A,26.72931982922836,6.774162048846919,3.9457750842819235,0,
1460.85,⁴⁰Ar(n;n′) — наложение на ⁴⁰K!,воздух салона | B; ловушка,26.729319829230178,6.774162048846919,3.945775084282192,0,
1481.84,⁶⁵Ni распад,активация Ni | D,126.1563584498509,6.7805596920481355,18.6055966143621,0,
