E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,503.28733284000003,36.08970715093155
21.5,541.53077148,39.02639507225847
22.5,445.60727532,33.413904145526004
23.5,526.34820132,37.92908169349741
24.5,469.68729948,34.62546525811314
25.5,1164.92717232,54.59994526678575
26.5,474.44947451999997,34.61673878213255
27.5,545.4850176,36.87056213859506
28.5,642.91458276,40.3504080193497
29.5,623.07203796,39.74753346792729
30.5,484.88353776,34.5129927205625
31.5,632.2472531999999,42.0611527066009
32.5,678.47409324,41.74961275470708
33.5,624.19114548,39.19475264491409
34.5,663.33517704,40.67803997579038
35.5,839.55492324,47.23855457720949
36.5,837.88764588,46.79432266333171
37.5,906.15921372,47.87300244204451
38.5,947.45288556,48.99344189648243
39.5,1076.66497944,51.93102175355305
40.5,1032.3256986000001,50.79438852156801
41.5,1031.00954436,51.46693725319198
42.5,1260.51404796,57.04267719131002
43.5,1223.73998964,56.8123521945008
44.5,1478.65512132,60.97303068052301
45.5,1459.8693486,62.91708479247906
46.5,1547.5355866799998,63.63673548283256
47.5,1422.5396112,59.94034575035417
48.5,1792.9754172,67.79169417230993
49.5,1672.453602,64.81525236497964
50.5,1736.6562414,66.58579551225621
51.5,1722.8343114000002,66.58939807074397
52.5,1786.81594284,67.17635575468499
53.5,1825.56844344,68.61662757005769
54.5,1787.9268801599999,67.59978651705937
55.5,1775.43853992,66.68272901254117
56.5,1874.12319216,68.43687883181114
57.5,1860.8297256,69.25615495177306
58.5,2057.76599364,73.9350775259484
59.5,1837.0763114400002,68.83004903406652
60.5,2199.22061868,74.42064515818174
61.5,1979.7755885999998,70.75124369270125
62.5,1995.9948000000002,71.52150231274508
63.5,1981.3980603599998,70.8139574066017
64.5,1993.4112027600002,70.46486747286197
65.5,1709.14391712,65.74905061690245
66.5,1908.775548,69.59668314993179
67.5,1936.9638712800001,69.71527407046464
68.5,1843.1205944399999,68.87660567350862
69.5,1765.0072130400001,67.73945201549832
70.5,1760.38393536,66.95803181623546
71.5,1745.3817846000002,66.67457365874941
72.5,1806.6670146000001,67.01172897360581
73.5,2039.37893352,72.48131508376487
74.5,1676.06929872,65.24834771314903
