E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,507.105043,10.709047
21.5,528.390105,10.872250
22.5,550.582673,11.046222
23.5,572.038836,11.217039
24.5,591.137938,11.348647
25.5,606.743197,11.393889
26.5,618.671337,11.331079
27.5,627.932828,11.187927
28.5,636.575496,11.028896
29.5,647.161538,10.918775
30.5,662.109348,10.894239
31.5,683.174256,10.961056
32.5,711.220945,11.107788
33.5,746.285684,11.318136
34.5,787.810037,11.575340
35.5,834.920049,11.862746
36.5,886.655459,12.165394
37.5,942.115501,12.473167
38.5,1000.523096,12.782914
39.5,1061.215626,13.097225
40.5,1123.591144,13.420103
41.5,1187.034950,13.752031
42.5,1250.861614,14.087279
43.5,1314.290426,14.414693
44.5,1376.469133,14.721114
45.5,1436.536285,14.995371
46.5,1493.707467,15.230923
47.5,1547.355270,15.426388
48.5,1597.065000,15.584401
49.5,1642.651052,15.709897
50.5,1684.136100,15.808762
51.5,1721.695680,15.887131
52.5,1755.584712,15.951042
53.5,1786.059042,16.005938
54.5,1813.309769,16.055809
55.5,1837.418768,16.102176
56.5,1858.345438,16.143440
57.5,1875.945777,16.175039
58.5,1890.018226,16.190594
59.5,1900.368342,16.183709
60.5,1906.874599,16.149860
61.5,1909.543168,16.087733
62.5,1908.537751,15.999641
63.5,1904.180784,15.890983
64.5,1896.923883,15.769006
65.5,1887.295904,15.641312
66.5,1875.840018,15.514511
67.5,1863.051732,15.393294
68.5,1849.331325,15.280003
69.5,1834.956192,15.174634
70.5,1820.077225,15.075146
71.5,1804.736941,14.978006
72.5,1788.902403,14.878932
73.5,1772.506229,14.773796
74.5,1755.485133,14.659584
75.5,1737.809195,14.535199
76.5,1719.497552,14.401850
77.5,1700.618514,14.262850
78.5,1681.277531,14.122807
79.5,1661.596734,13.986401
80.5,1641.691848,13.857115
81.5,1621.653228,13.736321
82.5,1601.533978,13.623000
83.5,1581.348698,13.514165
84.5,1561.081292,13.405795
85.5,1540.698854,13.293945
86.5,1520.168726,13.175698
87.5,1499.474220,13.049724
88.5,1478.625153,12.916360
89.5,1457.662518,12.777304
90.5,1436.656568,12.635053
91.5,1415.698588,12.492297
92.5,1394.890043,12.351395
93.5,1374.330152,12.214060
94.5,1354.105284,12.081245
95.5,1334.281509,11.953222
96.5,1314.900102,11.829769
97.5,1295.977440,11.710386
98.5,1277.507763,11.594494
99.5,1259.467861,11.481557
100.5,1241.823344,11.371137
101.5,1224.535000,11.262894
102.5,1207.563785,11.156544
103.5,1190.875105,11.051834
104.5,1174.441585,10.948521
105.5,1158.244041,10.846392
106.5,1142.271140,10.745302
107.5,1126.518671,10.645218
108.5,1110.987068,10.546256
109.5,1095.679145,10.448677
110.5,1080.597940,10.352838
111.5,1065.744638,10.259099
112.5,1051.117513,10.167713
113.5,1036.712127,10.078705
114.5,1022.521869,9.991806
115.5,1008.539796,9.906438
116.5,994.761079,9.821788
117.5,981.185427,9.736937
118.5,967.819494,9.651041
119.5,954.678886,9.563513
120.5,941.788439,9.474173
121.5,929.181452,9.383330
122.5,916.897540,9.291796
123.5,904.979178,9.200804
124.5,893.466990,9.111876
125.5,882.394830,9.026633
126.5,871.785221,8.946596
127.5,861.644759,8.872989
128.5,851.961222,8.806578
129.5,842.702053,8.747562
130.5,833.814930,8.695528
131.5,825.229214,8.649471
132.5,816.860819,8.607886
133.5,808.616705,8.568904
134.5,800.401018,8.530471
135.5,792.121455,8.490539
136.5,783.695387,8.447251
137.5,775.055059,8.399097
138.5,766.151681,8.345021
139.5,756.958456,8.284486
140.5,747.471237,8.217472
141.5,737.708113,8.144439
142.5,727.707233,8.066248
143.5,717.523582,7.984059
144.5,707.224686,7.899230
145.5,696.885802,7.813207
146.5,686.585450,7.727436
147.5,676.400576,7.643272
148.5,666.402635,7.561913
149.5,656.654331,7.484337
150.5,647.207439,7.411251
151.5,638.101323,7.343062
152.5,629.362572,7.279859
153.5,621.005685,7.221422
154.5,613.034009,7.167260
155.5,605.441382,7.116674
156.5,598.214122,7.068832
157.5,591.332947,7.022868
158.5,584.775041,6.977971
