E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,24.356282,2.369174
21.5,25.317562,2.409072
22.5,26.551759,2.487832
23.5,28.021426,2.604392
24.5,29.682756,2.729213
25.5,31.487586,2.824807
26.5,33.398029,2.874137
27.5,35.399086,2.890386
28.5,37.493770,2.903883
29.5,39.680763,2.938586
30.5,41.930955,2.996919
31.5,44.181273,3.062742
32.5,46.351481,3.115039
33.5,48.374674,3.139949
34.5,50.223778,3.136268
35.5,51.919947,3.115057
36.5,53.519053,3.094639
37.5,55.084125,3.092612
38.5,56.657429,3.118171
39.5,58.244431,3.168807
40.5,59.815172,3.232834
41.5,61.320169,3.295302
42.5,62.712539,3.343598
43.5,63.966555,3.370841
44.5,65.086299,3.376920
45.5,66.102661,3.367613
46.5,67.061842,3.352147
47.5,68.010080,3.339874
48.5,68.980033,3.337240
49.5,69.982130,3.346327
50.5,71.002472,3.365465
51.5,72.006454,3.391136
52.5,72.946514,3.419761
53.5,73.771748,3.448406
54.5,74.437524,3.474385
55.5,74.913473,3.494485
56.5,75.189019,3.504666
57.5,75.275844,3.500680
58.5,75.207117,3.479454
59.5,75.033665,3.440667
60.5,74.817392,3.387768
61.5,74.622885,3.327899
62.5,74.508332,3.270480
63.5,74.517415,3.224750
64.5,74.673371,3.197066
65.5,74.976334,3.189120
66.5,75.404321,3.197855
67.5,75.917427,3.217020
68.5,76.464243,3.239458
69.5,76.989088,3.259075
70.5,77.438753,3.271908
71.5,77.767756,3.276240
72.5,77.941609,3.272060
73.5,77.938221,3.260264
74.5,77.747801,3.241922
75.5,77.371826,3.217823
76.5,76.821623,3.188361
77.5,76.116859,3.153700
78.5,75.284063,3.114076
79.5,74.355037,3.070103
80.5,73.365088,3.022967
81.5,72.350859,2.974438
82.5,71.347891,2.926708
83.5,70.387974,2.882091
84.5,69.496682,2.842665
85.5,68.691277,2.809943
86.5,67.979411,2.784651
87.5,67.358813,2.766651
88.5,66.817928,2.755014
89.5,66.337558,2.748191
90.5,65.893217,2.744246
91.5,65.457845,2.741095
92.5,65.004641,2.736723
93.5,64.509579,2.729383
94.5,63.953488,2.717753
95.5,63.323398,2.701048
96.5,62.613164,2.679082
97.5,61.823363,2.652255
98.5,60.960596,2.621477
99.5,60.036317,2.588004
100.5,59.065415,2.553241
101.5,58.064753,2.518523
102.5,57.051746,2.484926
103.5,56.043173,2.453141
104.5,55.054299,2.423453
105.5,54.098265,2.395801
106.5,53.185732,2.369921
107.5,52.324792,2.345516
108.5,51.520958,2.322415
109.5,50.777241,2.300674
110.5,50.094263,2.280599
111.5,49.470342,2.262677
112.5,48.901619,2.247441
113.5,48.382231,2.235295
114.5,47.904508,2.226361
115.5,47.459299,2.220378
116.5,47.036374,2.216687
117.5,46.624916,2.214304
118.5,46.214058,2.212060
119.5,45.793450,2.208770
120.5,45.353738,2.203384
121.5,44.886997,2.195112
122.5,44.387021,2.183495
123.5,43.849511,2.168416
124.5,43.272114,2.150075
125.5,42.654382,2.128924
126.5,41.997653,2.105580
127.5,41.304856,2.080728
128.5,40.580306,2.055031
129.5,39.829476,2.029048
130.5,39.058770,2.003183
131.5,38.275226,1.977662
132.5,37.486341,1.952539
133.5,36.699762,1.927735
134.5,35.923054,1.903088
135.5,35.163452,1.878417
136.5,34.427629,1.853573
137.5,33.721498,1.828480
138.5,33.050061,1.803162
139.5,32.417319,1.777749
140.5,31.826191,1.752470
141.5,31.278529,1.727637
142.5,30.775148,1.703622
143.5,30.315912,1.680837
144.5,29.899817,1.659709
145.5,29.525093,1.640649
146.5,29.189320,1.624027
147.5,28.889531,1.610143
148.5,28.622291,1.599202
149.5,28.383792,1.591287
150.5,28.169935,1.586351
151.5,27.976387,1.584207
152.5,27.798697,1.584534
153.5,27.632380,1.586885
154.5,27.473023,1.590707
155.5,27.316411,1.595355
156.5,27.158656,1.600123
157.5,26.996345,1.604266
158.5,26.826669,1.607040
159.5,26.647531,1.607744
160.5,26.457659,1.605770
161.5,26.256659,1.600652
162.5,26.045009,1.592123
163.5,25.824037,1.580149
164.5,25.595818,1.564954
165.5,25.363016,1.547020
166.5,25.128706,1.527063
167.5,24.896131,1.505974
168.5,24.668484,1.484746
169.5,24.448657,1.464382
170.5,24.239029,1.445795
171.5,24.041289,1.429725
172.5,23.856316,1.416674
173.5,23.684118,1.406867
174.5,23.523832,1.400261
175.5,23.373819,1.396573
176.5,23.231775,1.395332
177.5,23.094928,1.395940
178.5,22.960244,1.397739
179.5,22.824646,1.400058
180.5,22.685243,1.402258
181.5,22.539531,1.403765
182.5,22.385542,1.404097
183.5,22.221979,1.402878
184.5,22.048282,1.399856
185.5,21.864633,1.394911
186.5,21.671933,1.388056
187.5,21.471718,1.379432
188.5,21.266048,1.369294
189.5,21.057379,1.357983
190.5,20.848408,1.345901
191.5,20.641938,1.333468
192.5,20.440740,1.321090
193.5,20.247424,1.309129
194.5,20.064343,1.297882
195.5,19.893520,1.287568
196.5,19.736591,1.278332
197.5,19.594772,1.270259
198.5,19.468830,1.263381
199.5,19.359103,1.257701
200.5,19.265482,1.253201
201.5,19.187440,1.249846
202.5,19.124043,1.247581
203.5,19.073971,1.246329
204.5,19.035553,1.245977
205.5,19.006791,1.246371
206.5,18.985400,1.247314
207.5,18.968870,1.248569
208.5,18.954518,1.249873
209.5,18.939553,1.250952
210.5,18.921169,1.251540
211.5,18.896617,1.251400
212.5,18.863301,1.250337
213.5,18.818862,1.248217
214.5,18.761257,1.244964
215.5,18.688814,1.240567
216.5,18.600300,1.235073
217.5,18.494932,1.228576
218.5,18.372395,1.221207
219.5,18.232822,1.213120
220.5,18.076755,1.204476
221.5,17.905093,1.195429
222.5,17.719026,1.186119
223.5,17.519957,1.176658
224.5,17.309413,1.167124
225.5,17.088974,1.157562
226.5,16.860203,1.147986
227.5,16.624574,1.138381
228.5,16.383429,1.128716
229.5,16.137946,1.118954
230.5,15.889115,1.109061
231.5,15.637737,1.099021
232.5,15.384430,1.088839
233.5,15.129655,1.078544
