E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,30.505119,3.017886
21.5,31.397270,3.091701
22.5,31.991341,3.072059
23.5,32.258005,2.968997
24.5,32.252056,2.821353
25.5,32.096618,2.672452
26.5,31.944053,2.551309
27.5,31.938526,2.468819
28.5,32.194531,2.424486
29.5,32.790795,2.413951
30.5,33.772617,2.432939
31.5,35.156642,2.478374
32.5,36.935319,2.547728
33.5,39.080847,2.637000
34.5,41.548748,2.738826
35.5,44.281461,2.842750
36.5,47.211799,2.938224
37.5,50.266432,3.018460
38.5,53.369308,3.082461
39.5,56.444748,3.134006
40.5,59.420690,3.178528
41.5,62.232259,3.220106
42.5,64.826212,3.260305
43.5,67.165408,3.298929
44.5,69.232335,3.335567
45.5,71.029996,3.370742
46.5,72.579416,3.406162
47.5,73.913715,3.444119
48.5,75.070380,3.486353
49.5,76.083930,3.532876
50.5,76.981091,3.581426
51.5,77.779574,3.628000
52.5,78.490262,3.668348
53.5,79.121259,3.699610
54.5,79.682011,3.721153
55.5,80.185514,3.734140
56.5,80.647955,3.740210
57.5,81.085907,3.740188
58.5,81.512371,3.733709
59.5,81.933135,3.719895
60.5,82.344612,3.698496
61.5,82.733902,3.670650
62.5,83.080829,3.638774
63.5,83.361558,3.605700
64.5,83.552680,3.573636
65.5,83.635134,3.543550
66.5,83.597310,3.515218
67.5,83.437007,3.487790
68.5,83.162211,3.460445
69.5,82.790587,3.432776
70.5,82.347964,3.404795
71.5,81.865939,3.376724
72.5,81.378895,3.348799
73.5,80.920747,3.321275
74.5,80.521653,3.294618
75.5,80.204972,3.269724
76.5,79.984753,3.247947
77.5,79.863966,3.230843
78.5,79.833732,3.219680
79.5,79.873697,3.214903
80.5,79.953644,3.215778
81.5,80.036222,3.220363
82.5,80.080608,3.225808
83.5,80.046618,3.228876
84.5,79.898756,3.226506
85.5,79.609588,3.216323
86.5,79.162001,3.196978
87.5,78.550066,3.168328
88.5,77.778399,3.131416
89.5,76.860328,3.088268
90.5,75.815226,3.041522
91.5,74.665477,2.993935
92.5,73.433668,2.947868
93.5,72.140385,2.904872
94.5,70.802890,2.865475
95.5,69.434713,2.829243
96.5,68.046067,2.795058
97.5,66.644802,2.761538
98.5,65.237637,2.727433
99.5,63.831324,2.691919
100.5,62.433522,2.654716
101.5,61.053267,2.616049
102.5,59.700931,2.576506
103.5,58.387815,2.536850
104.5,57.125432,2.497868
105.5,55.924686,2.460277
106.5,54.795030,2.424696
107.5,53.743807,2.391667
108.5,52.775725,2.361662
109.5,51.892606,2.335071
110.5,51.093380,2.312136
111.5,50.374254,2.292861
112.5,49.729121,2.276930
113.5,49.150074,2.263689
114.5,48.628045,2.252202
115.5,48.153448,2.241393
116.5,47.716844,2.230239
117.5,47.309502,2.217953
118.5,46.923859,2.204132
119.5,46.553812,2.188815
120.5,46.194780,2.172449
121.5,45.843639,2.155782
122.5,45.498433,2.139685
123.5,45.158046,2.124969
124.5,44.821759,2.112222
125.5,44.488864,2.101703
126.5,44.158371,2.093305
127.5,43.828803,2.086604
128.5,43.498142,2.080950
129.5,43.163902,2.075602
130.5,42.823341,2.069857
