E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,0.975785,0.450370
21.5,1.199795,0.509467
22.5,1.403634,0.547949
23.5,1.579593,0.571173
24.5,1.728236,0.586153
25.5,1.855095,0.597412
26.5,1.966242,0.607468
27.5,2.064921,0.618485
28.5,2.150138,0.631250
29.5,2.217035,0.643708
30.5,2.258457,0.652355
31.5,2.267120,0.654831
32.5,2.237819,0.650391
33.5,2.169173,0.638402
34.5,2.064579,0.617537
35.5,1.932326,0.586954
36.5,1.784891,0.548116
37.5,1.637577,0.505257
38.5,1.506726,0.463984
39.5,1.407820,0.429219
40.5,1.353868,0.404191
41.5,1.354300,0.391015
42.5,1.414410,0.391497
43.5,1.535126,0.406727
44.5,1.712944,0.436007
45.5,1.939925,0.476695
46.5,2.203887,0.525080
47.5,2.488991,0.577170
48.5,2.776881,0.628924
49.5,3.048379,0.676329
50.5,3.285562,0.715720
51.5,3.473855,0.744389
52.5,3.603726,0.761175
53.5,3.671636,0.766700
54.5,3.680037,0.763042
55.5,3.636481,0.752918
56.5,3.552061,0.738733
57.5,3.439604,0.721951
58.5,3.311980,0.703112
59.5,3.180830,0.682418
60.5,3.055814,0.660462
61.5,2.944353,0.638652
62.5,2.851695,0.619098
63.5,2.781175,0.604041
64.5,2.734485,0.595089
65.5,2.711939,0.592679
66.5,2.712676,0.596009
67.5,2.734846,0.603418
68.5,2.775795,0.612969
69.5,2.832259,0.622958
70.5,2.900557,0.632243
71.5,2.976785,0.640353
72.5,3.056984,0.647423
73.5,3.137281,0.653968
74.5,3.214032,0.660547
75.5,3.283942,0.667439
76.5,3.344221,0.674435
77.5,3.392722,0.680847
78.5,3.428111,0.685737
79.5,3.449983,0.688274
80.5,3.458938,0.688084
81.5,3.456545,0.685490
82.5,3.445215,0.681571
83.5,3.427945,0.678027
84.5,3.407984,0.676885
85.5,3.388447,0.680111
86.5,3.371938,0.689210
87.5,3.360236,0.704915
88.5,3.354072,0.727005
89.5,3.353052,0.754279
90.5,3.355698,0.784668
91.5,3.359633,0.815446
92.5,3.361853,0.843532
93.5,3.359072,0.865841
94.5,3.348101,0.879653
95.5,3.326197,0.882941
96.5,3.291370,0.874630
97.5,3.242594,0.854724
98.5,3.179914,0.824316
99.5,3.104428,0.785459
100.5,3.018158,0.740938
101.5,2.923817,0.693967
102.5,2.824518,0.647857
103.5,2.723453,0.605673
104.5,2.623590,0.569900
105.5,2.527420,0.542159
106.5,2.436783,0.523004
107.5,2.352789,0.511886
108.5,2.275841,0.507317
109.5,2.205740,0.507194
110.5,2.141857,0.509185
111.5,2.083340,0.511072
112.5,2.029326,0.511000
113.5,1.979133,0.507646
114.5,1.932390,0.500300
115.5,1.889104,0.488902
116.5,1.849649,0.474008
117.5,1.814683,0.456719
118.5,1.785007,0.438548
119.5,1.761385,0.421220
120.5,1.744363,0.406425
121.5,1.734094,0.395521
122.5,1.730222,0.389269
123.5,1.731817,0.387692
124.5,1.737376,0.390117
125.5,1.744908,0.395382
126.5,1.752061,0.402107
127.5,1.756306,0.408930
128.5,1.755134,0.414660
129.5,1.746253,0.418347
130.5,1.727773,0.419305
131.5,1.698341,0.417105
132.5,1.657237,0.411556
133.5,1.604406,0.402683
134.5,1.540444,0.390694
135.5,1.466531,0.375953
136.5,1.384325,0.358943
137.5,1.295832,0.340218
138.5,1.203266,0.320367
139.5,1.108900,0.299972
140.5,1.014943,0.279577
141.5,0.923423,0.259662
142.5,0.836103,0.240639
143.5,0.754425,0.222852
144.5,0.679479,0.206587
145.5,0.611999,0.192088
146.5,0.552380,0.179562
147.5,0.500707,0.169171
148.5,0.456799,0.161012
149.5,0.420263,0.155085
150.5,0.390534,0.151266
151.5,0.366935,0.149304
152.5,0.348719,0.148849
153.5,0.335111,0.149498
154.5,0.325341,0.150847
155.5,0.318681,0.152537
156.5,0.314462,0.154276
157.5,0.312095,0.155850
158.5,0.311083,0.157114
159.5,0.311030,0.157984
160.5,0.311641,0.158421
161.5,0.312724,0.158424
162.5,0.314180,0.158012
163.5,0.315998,0.157230
164.5,0.318242,0.156141
165.5,0.321038,0.154832
166.5,0.324556,0.153421
167.5,0.328993,0.152059
168.5,0.334557,0.150930
169.5,0.341446,0.150248
170.5,0.349837,0.150240
171.5,0.359861,0.151126
172.5,0.371597,0.153087
173.5,0.385059,0.156235
174.5,0.400188,0.160597
175.5,0.416853,0.166103
176.5,0.434850,0.172597
177.5,0.453907,0.179854
178.5,0.473700,0.187610
179.5,0.493867,0.195577
180.5,0.514023,0.203472
181.5,0.533783,0.211021
182.5,0.552782,0.217978
183.5,0.570698,0.224122
184.5,0.587271,0.229274
185.5,0.602317,0.233291
186.5,0.615741,0.236081
187.5,0.627549,0.237605
188.5,0.637844,0.237881
189.5,0.646826,0.236993
190.5,0.654782,0.235085
191.5,0.662075,0.232368
192.5,0.669124,0.229104
193.5,0.676387,0.225594
194.5,0.684333,0.222161
195.5,0.693428,0.219123
196.5,0.704106,0.216764
197.5,0.716751,0.215310
198.5,0.731681,0.214913
199.5,0.749132,0.215641
200.5,0.769245,0.217483
201.5,0.792064,0.220371
202.5,0.817524,0.224193
203.5,0.845456,0.228823
204.5,0.875589,0.234128
205.5,0.907554,0.239986
206.5,0.940889,0.246280
207.5,0.975055,0.252901
208.5,1.009443,0.259736
209.5,1.043391,0.266670
210.5,1.076195,0.273572
211.5,1.107132,0.280301
212.5,1.135473,0.286706
213.5,1.160504,0.292624
214.5,1.181548,0.297896
215.5,1.197981,0.302362
216.5,1.209252,0.305877
217.5,1.214902,0.308311
218.5,1.214579,0.309556
219.5,1.208050,0.309530
220.5,1.195211,0.308175
221.5,1.176091,0.305464
222.5,1.150855,0.301395
223.5,1.119800,0.295988
224.5,1.083346,0.289291
225.5,1.042027,0.281370
226.5,0.996470,0.272309
227.5,0.947382,0.262211
228.5,0.895527,0.251193
229.5,0.841701,0.239386
230.5,0.786713,0.226938
231.5,0.731361,0.214010
232.5,0.676412,0.200775
233.5,0.622579,0.187425
234.5,0.570512,0.174163
235.5,0.520776,0.161210
236.5,0.473847,0.148795
237.5,0.430107,0.137159
