E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,1.321919,0.503594
21.5,1.296978,0.474709
22.5,1.317535,0.479513
23.5,1.380087,0.509670
24.5,1.466186,0.546360
25.5,1.552161,0.572837
26.5,1.619655,0.580559
27.5,1.661692,0.571094
28.5,1.682528,0.553861
29.5,1.692776,0.539960
30.5,1.703082,0.535533
31.5,1.719468,0.539631
32.5,1.742009,0.547445
33.5,1.766509,0.554423
34.5,1.787657,0.557864
35.5,1.801943,0.556536
36.5,1.809350,0.550140
37.5,1.813538,0.539524
38.5,1.820875,0.527186
39.5,1.838735,0.517117
40.5,1.873593,0.513519
41.5,1.929336,0.519036
42.5,2.006150,0.533780
43.5,2.100206,0.555693
44.5,2.204194,0.581475
45.5,2.308553,0.607283
46.5,2.403102,0.629209
47.5,2.478737,0.643884
48.5,2.528856,0.649227
49.5,2.550268,0.644976
50.5,2.543444,0.632666
51.5,2.512136,0.614999
52.5,2.462478,0.594891
53.5,2.401821,0.574683
54.5,2.337541,0.555892
55.5,2.276055,0.539502
56.5,2.222139,0.526366
57.5,2.178626,0.517288
58.5,2.146440,0.512669
59.5,2.124907,0.512045
60.5,2.112269,0.513960
61.5,2.106308,0.516350
62.5,2.104967,0.517228
63.5,2.106865,0.515321
64.5,2.111607,0.510441
65.5,2.119805,0.503531
66.5,2.132845,0.496392
67.5,2.152437,0.491159
68.5,2.180093,0.489623
69.5,2.216657,0.492637
70.5,2.262002,0.499863
71.5,2.314976,0.509983
72.5,2.373594,0.521219
73.5,2.435397,0.531879
74.5,2.497911,0.540745
75.5,2.559048,0.547236
76.5,2.617402,0.551415
77.5,2.672352,0.553903
78.5,2.723971,0.555719
79.5,2.772791,0.558067
80.5,2.819468,0.562060
81.5,2.864449,0.568430
82.5,2.907703,0.577293
83.5,2.948581,0.588084
84.5,2.985817,0.599686
85.5,3.017677,0.610716
86.5,3.042215,0.619871
87.5,3.057581,0.626229
88.5,3.062314,0.629444
89.5,3.055586,0.629815
90.5,3.037331,0.628212
91.5,3.008256,0.625888
92.5,2.969747,0.624177
93.5,2.923677,0.624151
94.5,2.872177,0.626314
95.5,2.817404,0.630431
96.5,2.761346,0.635564
97.5,2.705696,0.640287
98.5,2.651802,0.643015
99.5,2.600693,0.642338
100.5,2.553167,0.637286
101.5,2.509897,0.627485
102.5,2.471549,0.613211
103.5,2.438859,0.595346
104.5,2.412670,0.575264
105.5,2.393901,0.554664
106.5,2.383463,0.535380
107.5,2.382131,0.519155
108.5,2.390385,0.507421
109.5,2.408260,0.501099
110.5,2.435222,0.500454
111.5,2.470082,0.505075
112.5,2.510993,0.513974
113.5,2.555501,0.525775
114.5,2.600673,0.538943
115.5,2.643272,0.551977
116.5,2.679975,0.563558
117.5,2.707605,0.572634
118.5,2.723341,0.578454
119.5,2.724917,0.580565
120.5,2.710755,0.578772
121.5,2.680053,0.573096
122.5,2.632812,0.563719
123.5,2.569805,0.550944
124.5,2.492497,0.535164
125.5,2.402933,0.516842
126.5,2.303597,0.496508
127.5,2.197261,0.474750
128.5,2.086838,0.452203
129.5,1.975241,0.429528
130.5,1.865258,0.407378
131.5,1.759449,0.386363
132.5,1.660071,0.367009
133.5,1.569023,0.349728
134.5,1.487811,0.334814
135.5,1.417541,0.322441
136.5,1.358927,0.312691
137.5,1.312305,0.305577
138.5,1.277665,0.301069
139.5,1.254684,0.299100
140.5,1.242759,0.299571
141.5,1.241039,0.302344
142.5,1.248461,0.307237
143.5,1.263777,0.314019
144.5,1.285585,0.322412
145.5,1.312353,0.332088
146.5,1.342457,0.342671
147.5,1.374212,0.353742
148.5,1.405912,0.364837
149.5,1.435879,0.375463
150.5,1.462510,0.385110
151.5,1.484334,0.393277
152.5,1.500063,0.399499
153.5,1.508651,0.403384
154.5,1.509332,0.404635
155.5,1.501658,0.403076
156.5,1.485523,0.398670
157.5,1.461161,0.391518
158.5,1.429141,0.381854
159.5,1.390327,0.370031
160.5,1.345838,0.356490
161.5,1.296983,0.341735
162.5,1.245194,0.326305
163.5,1.191951,0.310742
164.5,1.138706,0.295571
165.5,1.086817,0.281284
166.5,1.037490,0.268325
167.5,0.991728,0.257074
168.5,0.950304,0.247830
169.5,0.913747,0.240780
170.5,0.882338,0.235977
171.5,0.856128,0.233317
172.5,0.834968,0.232542
173.5,0.818539,0.233261
174.5,0.806401,0.234998
175.5,0.798035,0.237251
176.5,0.792884,0.239546
177.5,0.790396,0.241486
178.5,0.790051,0.242787
179.5,0.791384,0.243297
180.5,0.794001,0.243008
181.5,0.797574,0.242046
182.5,0.801835,0.240654
183.5,0.806566,0.239160
184.5,0.811574,0.237929
185.5,0.816669,0.237307
186.5,0.821650,0.237558
187.5,0.826280,0.238823
188.5,0.830281,0.241081
189.5,0.833332,0.244158
190.5,0.835070,0.247746
191.5,0.835109,0.251457
192.5,0.833058,0.254868
193.5,0.828549,0.257567
194.5,0.821259,0.259195
195.5,0.810945,0.259468
196.5,0.797461,0.258190
197.5,0.780782,0.255262
198.5,0.761009,0.250679
199.5,0.738378,0.244525
200.5,0.713249,0.236966
201.5,0.686098,0.228236
202.5,0.657491,0.218626
203.5,0.628059,0.208465
204.5,0.598475,0.198109
205.5,0.569416,0.187921
206.5,0.541544,0.178252
207.5,0.515473,0.169424
208.5,0.491751,0.161712
209.5,0.470849,0.155325
210.5,0.453143,0.150392
211.5,0.438919,0.146957
212.5,0.428364,0.144984
213.5,0.421583,0.144366
214.5,0.418599,0.144950
215.5,0.419367,0.146555
216.5,0.423788,0.148992
217.5,0.431720,0.152085
218.5,0.442989,0.155676
219.5,0.457399,0.159635
220.5,0.474742,0.163864
221.5,0.494798,0.168294
222.5,0.517346,0.172891
223.5,0.542160,0.177644
224.5,0.569005,0.182567
225.5,0.597644,0.187684
226.5,0.627823,0.193027
227.5,0.659276,0.198618
228.5,0.691720,0.204471
229.5,0.724845,0.210575
230.5,0.758321,0.216896
231.5,0.791793,0.223377
232.5,0.824885,0.229934
233.5,0.857201,0.236469
234.5,0.888335,0.242869
235.5,0.917874,0.249015
236.5,0.945411,0.254789
237.5,0.970553,0.260077
238.5,0.992930,0.264773
239.5,1.012213,0.268786
240.5,1.028116,0.272036
241.5,1.040410,0.274460
242.5,1.048932,0.276010
243.5,1.053585,0.276655
244.5,1.054348,0.276385
245.5,1.051272,0.275206
246.5,1.044480,0.273145
247.5,1.034162,0.270249
248.5,1.020568,0.266588
249.5,1.003999,0.262250
250.5,0.984797,0.257344
251.5,0.963331,0.251998
252.5,0.939987,0.246348
253.5,0.915157,0.240542
254.5,0.889222,0.234725
255.5,0.862547,0.229033
256.5,0.835471,0.223585
257.5,0.808299,0.218472
258.5,0.781296,0.213754
259.5,0.754690,0.209452
260.5,0.728663,0.205550
261.5,0.703361,0.202001
262.5,0.678892,0.198730
263.5,0.655332,0.195648
264.5,0.632731,0.192660
265.5,0.611117,0.189679
266.5,0.590502,0.186632
267.5,0.570888,0.183466
268.5,0.552270,0.180155
269.5,0.534642,0.176700
270.5,0.517992,0.173128
271.5,0.502313,0.169492
272.5,0.487594,0.165864
273.5,0.473823,0.162330
274.5,0.460985,0.158985
275.5,0.449058,0.155926
276.5,0.438011,0.153242
277.5,0.427803,0.151006
278.5,0.418381,0.149267
279.5,0.409676,0.148048
280.5,0.401608,0.147336
281.5,0.394082,0.147086
282.5,0.386995,0.147221
283.5,0.380232,0.147638
284.5,0.373677,0.148215
285.5,0.367212,0.148822
286.5,0.360726,0.149323
287.5,0.354116,0.149591
288.5,0.347294,0.149509
289.5,0.340190,0.148979
290.5,0.332756,0.147924
291.5,0.324971,0.146292
292.5,0.316837,0.144058
293.5,0.308385,0.141225
294.5,0.299670,0.137822
295.5,0.290772,0.133907
296.5,0.281791,0.129565
297.5,0.272843,0.124904
298.5,0.264056,0.120056
299.5,0.255564,0.115168
300.5,0.247505,0.110406
301.5,0.240011,0.105937
302.5,0.233206,0.101930
303.5,0.227200,0.098538
304.5,0.222088,0.095885
305.5,0.217943,0.094054
306.5,0.214818,0.093077
307.5,0.212744,0.092931
308.5,0.211727,0.093543
309.5,0.211751,0.094806
310.5,0.212779,0.096590
311.5,0.214757,0.098761
312.5,0.217611,0.101194
313.5,0.221255,0.103779
314.5,0.225590,0.106423
315.5,0.230508,0.109058
