E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,508.189518,10.971998
21.5,529.879215,11.132731
22.5,552.592881,11.336290
23.5,574.507774,11.550705
24.5,593.808398,11.718127
25.5,609.210497,11.777095
26.5,620.474408,11.703017
27.5,628.654302,11.530079
28.5,635.918779,11.333959
29.5,644.988690,11.190318
30.5,658.441288,11.143024
31.5,678.164723,11.201308
32.5,705.116435,11.354948
33.5,739.380216,11.586864
34.5,780.401548,11.876651
35.5,827.276252,12.201362
36.5,878.998016,12.539009
37.5,934.627925,12.874003
38.5,993.379654,13.200726
39.5,1054.618584,13.522812
40.5,1117.798201,13.848477
41.5,1182.361403,14.184257
42.5,1247.651338,14.530030
43.5,1312.862136,14.877523
44.5,1377.053853,15.212729
45.5,1439.224873,15.520662
46.5,1498.423052,15.789824
47.5,1553.857039,16.014400
48.5,1604.980741,16.193849
49.5,1651.529033,16.331078
50.5,1693.504545,16.430747
51.5,1731.118659,16.498516
52.5,1764.706545,16.540973
53.5,1794.632584,16.565447
54.5,1821.206886,16.579149
55.5,1844.623448,16.587757
56.5,1864.931723,16.594090
57.5,1882.044597,16.597535
58.5,1895.778405,16.594487
59.5,1905.918395,16.579627
60.5,1912.291727,16.547532
61.5,1914.834524,16.494163
62.5,1913.636722,16.417876
63.5,1908.957760,16.319821
64.5,1901.208194,16.203751
65.5,1890.903455,16.075339
66.5,1878.600449,15.941170
67.5,1864.829905,15.807599
68.5,1850.039701,15.679649
69.5,1834.557420,15.560120
70.5,1818.578566,15.449104
71.5,1802.179793,15.344063
72.5,1785.350747,15.240544
73.5,1768.037245,15.133460
74.5,1750.183884,15.018621
75.5,1731.767642,14.894095
76.5,1712.816740,14.760938
77.5,1693.411767,14.623035
78.5,1673.672454,14.486042
79.5,1653.734167,14.355742
80.5,1633.720737,14.236349
81.5,1613.721640,14.129302
82.5,1593.777278,14.032927
83.5,1573.876478,13.943021
84.5,1553.965163,13.854065
85.5,1533.962908,13.760616
86.5,1513.784190,13.658445
87.5,1493.359179,13.545154
88.5,1472.649813,13.420241
89.5,1451.659578,13.284729
90.5,1430.435899,13.140601
91.5,1409.064876,12.990244
92.5,1387.661670,12.836021
93.5,1366.357458,12.680052
94.5,1345.286164,12.524143
95.5,1324.572743,12.369816
96.5,1304.323005,12.218374
97.5,1284.617167,12.070965
98.5,1265.506217,11.928610
99.5,1247.010961,11.792204
100.5,1229.124039,11.662488
101.5,1211.813846,11.539982
102.5,1195.029164,11.424904
103.5,1178.705156,11.317090
104.5,1162.769546,11.215934
105.5,1147.148418,11.120388
106.5,1131.771393,11.029039
107.5,1116.576635,10.940258
108.5,1101.513688,10.852395
109.5,1086.545656,10.763987
110.5,1071.650238,10.673938
111.5,1056.819396,10.581616
112.5,1042.058467,10.486872
113.5,1027.385117,10.389958
114.5,1012.827260,10.291386
115.5,998.421478,10.191763
116.5,984.211377,10.091635
117.5,970.245811,9.991398
118.5,956.577358,9.891284
119.5,943.260987,9.791428
120.5,930.351846,9.691999
121.5,917.902922,9.593342
122.5,905.962366,9.496101
123.5,894.570308,9.401266
124.5,883.755161,9.310136
125.5,873.530207,9.224176
126.5,863.890830,9.144818
127.5,854.811846,9.073216
128.5,846.246462,9.010023
129.5,838.126594,8.955232
130.5,830.365030,8.908102
131.5,822.858395,8.867198
132.5,815.493252,8.830529
133.5,808.151743,8.795753
134.5,800.718591,8.760423
135.5,793.088079,8.722232
136.5,785.170546,8.679221
137.5,776.897538,8.629932
138.5,768.225561,8.573488
139.5,759.138403,8.509611
140.5,749.646834,8.438571
141.5,739.786935,8.361101
142.5,729.616631,8.278279
143.5,719.211129,8.191407
144.5,708.657420,8.101900
145.5,698.048460,8.011191
146.5,687.477994,7.920655
147.5,677.035275,7.831553
148.5,666.801072,7.744993
149.5,656.844581,7.661893
150.5,647.221610,7.582957
151.5,637.973630,7.508660
152.5,629.127922,7.439239
153.5,620.698794,7.374707
154.5,612.688926,7.314880
155.5,605.091264,7.259430
156.5,597.891125,7.207949
157.5,591.068020,7.160018
158.5,584.597576,7.115281
159.5,578.452494,7.073495
160.5,572.604136,7.034562
161.5,567.022875,6.998533
162.5,561.678454,6.965578
163.5,556.540108,6.935933
164.5,551.576510,6.909830
165.5,546.755759,6.887411
166.5,542.045264,6.868646
167.5,537.411866,6.853271
168.5,532.822427,6.840735
169.5,528.244174,6.830184
170.5,523.645588,6.820484
171.5,518.997266,6.810270
172.5,514.273003,6.798031
173.5,509.450855,6.782226
174.5,504.513687,6.761409
175.5,499.450359,6.734358
176.5,494.255822,6.700190
177.5,488.931268,6.658451
178.5,483.483902,6.609165
179.5,477.926348,6.552839
180.5,472.275852,6.490416
181.5,466.553327,6.423192
182.5,460.781689,6.352691
183.5,454.985311,6.280525
184.5,449.188471,6.208261
185.5,443.414367,6.137289
186.5,437.684271,6.068740
187.5,432.016882,6.003424
188.5,426.427863,5.941827
189.5,420.929692,5.884133
190.5,415.531385,5.830274
191.5,410.239036,5.780005
192.5,405.055763,5.732969
193.5,399.982109,5.688760
194.5,395.016423,5.646976
195.5,390.155193,5.607253
196.5,385.393446,5.569278
197.5,380.725187,5.532791
198.5,376.143425,5.497576
199.5,371.640959,5.463440
200.5,367.210416,5.430191
201.5,362.844669,5.397614
202.5,358.537179,5.365456
203.5,354.282314,5.333417
204.5,350.075709,5.301153
205.5,345.914578,5.268291
206.5,341.797717,5.234458
207.5,337.726040,5.199311
208.5,333.702374,5.162581
209.5,329.731488,5.124106
210.5,325.819875,5.083861
211.5,321.975474,5.041975
212.5,318.207199,4.998736
213.5,314.524450,4.954572
214.5,310.936611,4.910025
215.5,307.452143,4.865710
216.5,304.078365,4.822259
217.5,300.820687,4.780273
218.5,297.682211,4.740274
219.5,294.663404,4.702656
220.5,291.761935,4.667667
221.5,288.972618,4.635390
222.5,286.287583,4.605746
223.5,283.696550,4.578514
224.5,281.187140,4.553356
225.5,278.745585,4.529850
226.5,276.357149,4.507528
227.5,274.006785,4.485910
228.5,271.679726,4.464537
229.5,269.362069,4.442994
230.5,267.041272,4.420933
231.5,264.706622,4.398081
232.5,262.349402,4.374245
233.5,259.963319,4.349317
234.5,257.544508,4.323264
235.5,255.091498,4.296125
236.5,252.605165,4.267999
237.5,250.088486,4.239031
238.5,247.546330,4.209407
239.5,244.985110,4.179336
240.5,242.412464,4.149042
241.5,239.836701,4.118758
242.5,237.266688,4.088712
243.5,234.711285,4.059127
244.5,232.179035,4.030208
245.5,229.677852,4.002142
246.5,227.214752,3.975087
247.5,224.795615,3.949171
248.5,222.425057,3.924482
249.5,220.106367,3.901063
250.5,217.841281,3.878911
251.5,215.630279,3.857966
252.5,213.472503,3.838121
253.5,211.365925,3.819217
254.5,209.307507,3.801056
255.5,207.293407,3.783409
256.5,205.319183,3.766030
257.5,203.380039,3.748671
258.5,201.471029,3.731099
259.5,199.587282,3.713108
260.5,197.724080,3.694532
261.5,195.877201,3.675254
262.5,194.042911,3.655208
263.5,192.218067,3.634379
264.5,190.400187,3.612803
265.5,188.587480,3.590552
266.5,186.778800,3.567733
267.5,184.973638,3.544474
268.5,183.172064,3.520913
269.5,181.374579,3.497195
270.5,179.582181,3.473458
271.5,177.796176,3.449836
