E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,25.658334,3.116999
21.5,27.275213,3.174638
22.5,29.147902,3.281009
23.5,31.142078,3.402878
24.5,33.107665,3.501328
25.5,34.934192,3.554007
26.5,36.584890,3.564372
27.5,38.093157,3.555961
28.5,39.530186,3.555421
29.5,40.966305,3.575870
30.5,42.446896,3.613885
31.5,43.990537,3.659889
32.5,45.602618,3.708698
33.5,47.291575,3.761382
34.5,49.076781,3.821207
35.5,50.985363,3.889977
36.5,53.041734,3.966849
37.5,55.256929,4.048233
38.5,57.623264,4.128276
39.5,60.115772,4.200841
40.5,62.698719,4.262775
41.5,65.333326,4.316213
42.5,67.983380,4.367808
43.5,70.616491,4.425083
44.5,73.201638,4.492415
45.5,75.704838,4.569263
46.5,78.085937,4.651141
47.5,80.298092,4.731749
48.5,82.290749,4.804572
49.5,84.015118,4.863578
50.5,85.430921,4.903703
51.5,86.512339,4.921644
52.5,87.252108,4.916665
53.5,87.662805,4.890794
54.5,87.775289,4.848077
55.5,87.634553,4.793246
56.5,87.293956,4.730562
57.5,86.809008,4.663377
58.5,86.231766,4.594411
59.5,85.606911,4.526279
60.5,84.969631,4.461694
61.5,84.345304,4.403127
62.5,83.750480,4.352111
63.5,83.194586,4.308683
64.5,82.681787,4.271384
65.5,82.212536,4.237899
66.5,81.784529,4.206084
67.5,81.393097,4.174862
68.5,81.030968,4.144564
69.5,80.687718,4.116564
70.5,80.349275,4.092374
71.5,79.997906,4.072654
72.5,79.612944,4.056611
73.5,79.172581,4.042067
74.5,78.656392,4.026147
75.5,78.048238,4.006249
76.5,77.338915,3.980906
77.5,76.527945,3.950248
78.5,75.624001,3.915980
79.5,74.643858,3.880922
80.5,73.609924,3.848266
81.5,72.546942,3.820749
82.5,71.478399,3.799947
83.5,70.423350,3.785890
84.5,69.394223,3.777105
85.5,68.395810,3.771078
86.5,67.425614,3.764965
87.5,66.475276,3.756325
88.5,65.532750,3.743625
89.5,64.584787,3.726413
90.5,63.619337,3.705119
91.5,62.627442,3.680606
92.5,61.604508,3.653656
93.5,60.550794,3.624544
94.5,59.471257,3.592884
95.5,58.374802,3.557737
96.5,57.273147,3.517962
97.5,56.179511,3.472657
98.5,55.107249,3.421556
99.5,54.068646,3.365259
100.5,53.073885,3.305238
101.5,52.130367,3.243622
102.5,51.242294,3.182811
103.5,50.410574,3.125025
104.5,49.633018,3.071907
105.5,48.904777,3.024291
106.5,48.218916,2.982173
107.5,47.567180,2.944874
108.5,46.940726,2.911312
109.5,46.330861,2.880285
110.5,45.729729,2.850672
111.5,45.130851,2.821525
112.5,44.529538,2.792080
113.5,43.923207,2.761714
114.5,43.311457,2.729921
115.5,42.696052,2.696335
116.5,42.080750,2.660792
117.5,41.470969,2.623416
118.5,40.873354,2.584693
119.5,40.295252,2.545488
120.5,39.744077,2.507002
121.5,39.226654,2.470650
122.5,38.748582,2.437895
123.5,38.313679,2.410047
124.5,37.923525,2.388072
125.5,37.577184,2.372437
126.5,37.271185,2.363029
127.5,36.999677,2.359149
128.5,36.754823,2.359596
129.5,36.527402,2.362819
130.5,36.307521,2.367123
131.5,36.085343,2.370877
132.5,35.851894,2.372728
133.5,35.599680,2.371749
134.5,35.323182,2.367536
135.5,35.019122,2.360224
136.5,34.686571,2.350406
137.5,34.326755,2.338991
138.5,33.942760,2.326992
139.5,33.539096,2.315305
140.5,33.121196,2.304506
141.5,32.694925,2.294721
142.5,32.266147,2.285591
143.5,31.840409,2.276350
144.5,31.422742,2.265982
145.5,31.017568,2.253433
146.5,30.628748,2.237817
147.5,30.259672,2.218591
148.5,29.913390,2.195665
149.5,29.592749,2.169432
150.5,29.300481,2.140733
151.5,29.039212,2.110755
152.5,28.811427,2.080897
153.5,28.619350,2.052616
154.5,28.464756,2.027271
155.5,28.348764,2.005993
156.5,28.271620,1.989602
157.5,28.232501,1.978553
158.5,28.229384,1.972942
159.5,28.258949,1.972547
160.5,28.316602,1.976900
161.5,28.396541,1.985371
162.5,28.491923,1.997248
163.5,28.595067,2.011814
164.5,28.697734,2.028391
165.5,28.791414,2.046363
166.5,28.867628,2.065175
167.5,28.918226,2.084298
168.5,28.935675,2.103194
169.5,28.913305,2.121260
170.5,28.845528,2.137798
171.5,28.728004,2.151989
172.5,28.557793,2.162909
173.5,28.333428,2.169566
174.5,28.054967,2.170971
175.5,27.724004,2.166225
176.5,27.343611,2.154618
177.5,26.918266,2.135718
178.5,26.453702,2.109447
179.5,25.956737,2.076130
180.5,25.435055,2.036511
181.5,24.896958,1.991732
182.5,24.351057,1.943280
183.5,23.806010,1.892899
184.5,23.270200,1.842473
185.5,22.751441,1.793902
186.5,22.256711,1.748955
187.5,21.791930,1.709146
188.5,21.361770,1.675622
189.5,20.969529,1.649092
190.5,20.617063,1.629806
191.5,20.304811,1.617580
192.5,20.031837,1.611863
193.5,19.795965,1.611834
194.5,19.593940,1.616508
195.5,19.421641,1.624825
196.5,19.274313,1.635738
197.5,19.146816,1.648259
198.5,19.033857,1.661499
199.5,18.930246,1.674678
200.5,18.831096,1.687126
201.5,18.732012,1.698273
202.5,18.629239,1.707639
203.5,18.519773,1.714816
204.5,18.401426,1.719463
205.5,18.272862,1.721294
206.5,18.133555,1.720081
207.5,17.983771,1.715660
208.5,17.824463,1.707939
209.5,17.657164,1.696912
210.5,17.483856,1.682672
211.5,17.306822,1.665417
212.5,17.128500,1.645461
213.5,16.951322,1.623228
214.5,16.777591,1.599239
215.5,16.609332,1.574093
216.5,16.448212,1.548434
217.5,16.295451,1.522917
218.5,16.151767,1.498162
219.5,16.017366,1.474716
220.5,15.891946,1.453014
221.5,15.774734,1.433353
222.5,15.664552,1.415874
223.5,15.559910,1.400566
224.5,15.459082,1.387274
225.5,15.360236,1.375726
226.5,15.261533,1.365566
227.5,15.161234,1.356388
228.5,15.057794,1.347771
229.5,14.949946,1.339315
230.5,14.836761,1.330666
231.5,14.717690,1.321535
232.5,14.592582,1.311712
233.5,14.461688,1.301077
234.5,14.325630,1.289594
235.5,14.185361,1.277315
236.5,14.042110,1.264364
237.5,13.897309,1.250931
238.5,13.752523,1.237253
239.5,13.609362,1.223596
240.5,13.469408,1.210242
241.5,13.334136,1.197463
242.5,13.204848,1.185514
243.5,13.082611,1.174612
244.5,12.968213,1.164932
245.5,12.862126,1.156595
246.5,12.764486,1.149670
247.5,12.675082,1.144175
248.5,12.593367,1.140076
249.5,12.518470,1.137294
250.5,12.449221,1.135708
251.5,12.384196,1.135165
252.5,12.321759,1.135479
253.5,12.260115,1.136440
254.5,12.197364,1.137817
255.5,12.131559,1.139366
256.5,12.060771,1.140835
257.5,11.983145,1.141968
258.5,11.896953,1.142519
259.5,11.800648,1.142250
260.5,11.692909,1.140947
261.5,11.572681,1.138419
262.5,11.439208,1.134507
263.5,11.292045,1.129088
264.5,11.131072,1.122078
265.5,10.956505,1.113432
266.5,10.768866,1.103151
267.5,10.568987,1.091279
268.5,10.357970,1.077904
269.5,10.137151,1.063155
270.5,9.908069,1.047202
271.5,9.672415,1.030249
272.5,9.431982,1.012530
273.5,9.188621,0.994295
274.5,8.944191,0.975803
275.5,8.700520,0.957309
276.5,8.459354,0.939050
277.5,8.222332,0.921233
278.5,7.990953,0.904027
279.5,7.766553,0.887555
280.5,7.550296,0.871892
281.5,7.343165,0.857064
282.5,7.145961,0.843060
283.5,6.959307,0.829838
284.5,6.783665,0.817336
285.5,6.619342,0.805486
286.5,6.466516,0.794223
287.5,6.325246,0.783498
288.5,6.195498,0.773279
289.5,6.077157,0.763558
290.5,5.970050,0.754348
291.5,5.873951,0.745685
292.5,5.788596,0.737621
293.5,5.713693,0.730219
294.5,5.648921,0.723550
295.5,5.593931,0.717685
296.5,5.548350,0.712693
297.5,5.511774,0.708635
298.5,5.483765,0.705561
299.5,5.463842,0.703506
300.5,5.451482,0.702488
301.5,5.446112,0.702504
302.5,5.447106,0.703529
303.5,5.453787,0.705515
304.5,5.465426,0.708387
305.5,5.481246,0.712045
306.5,5.500429,0.716366
307.5,5.522127,0.721206
308.5,5.545471,0.726402
309.5,5.569583,0.731780
310.5,5.593596,0.737160
311.5,5.616666,0.742363
312.5,5.637991,0.747215
313.5,5.656827,0.751554
314.5,5.672503,0.755237
315.5,5.684434,0.758143
316.5,5.692135,0.760173
317.5,5.695228,0.761258
318.5,5.693454,0.761357
319.5,5.686662,0.760457
320.5,5.674824,0.758574
321.5,5.658023,0.755753
322.5,5.636441,0.752066
323.5,5.610352,0.747610
324.5,5.580107,0.742508
325.5,5.546115,0.736908
326.5,5.508823,0.730974
327.5,5.468697,0.724892
328.5,5.426196,0.718856
329.5,5.381760,0.713068
330.5,5.335780,0.707724
331.5,5.288588,0.703007
332.5,5.240443,0.699072
333.5,5.191514,0.696039
334.5,5.141881,0.693976
335.5,5.091528,0.692893
336.5,5.040348,0.692735
337.5,4.988150,0.693385
338.5,4.934673,0.694662
339.5,4.879601,0.696333
340.5,4.822583,0.698125
341.5,4.763253,0.699739
342.5,4.701257,0.700868
343.5,4.636280,0.701210
344.5,4.568059,0.700488
345.5,4.496416,0.698456
346.5,4.421267,0.694921
347.5,4.342644,0.689740
348.5,4.260701,0.682835
349.5,4.175720,0.674193
350.5,4.088106,0.663869
351.5,3.998387,0.651983
352.5,3.907195,0.638722
353.5,3.815256,0.624332
354.5,3.723364,0.609110
355.5,3.632359,0.593402
356.5,3.543099,0.577585
357.5,3.456433,0.562061
358.5,3.373175,0.547232
359.5,3.294076,0.533492
360.5,3.219798,0.521197
361.5,3.150899,0.510649
362.5,3.087810,0.502075
363.5,3.030829,0.495610
364.5,2.980109,0.491289
365.5,2.935658,0.489044
366.5,2.897345,0.488712
367.5,2.864899,0.490053
368.5,2.837933,0.492770
369.5,2.815951,0.496528
370.5,2.798367,0.500982
371.5,2.784535,0.505789
372.5,2.773760,0.510628
373.5,2.765324,0.515208
374.5,2.758513,0.519275
375.5,2.752632,0.522618
376.5,2.747028,0.525069
377.5,2.741104,0.526505
378.5,2.734335,0.526848
379.5,2.726277,0.526059
380.5,2.716577,0.524143
381.5,2.704973,0.521138
382.5,2.691299,0.517120
383.5,2.675480,0.512192
384.5,2.657526,0.506483
385.5,2.637528,0.500140
386.5,2.615646,0.493327
387.5,2.592101,0.486211
388.5,2.567159,0.478963
389.5,2.541120,0.471746
390.5,2.514308,0.464709
391.5,2.487057,0.457985
392.5,2.459700,0.451682
393.5,2.432559,0.445882
394.5,2.405935,0.440641
395.5,2.380102,0.435988
396.5,2.355300,0.431929
397.5,2.331732,0.428448
398.5,2.309556,0.425513
399.5,2.288895,0.423085
400.5,2.269822,0.421114
401.5,2.252374,0.419551
402.5,2.236547,0.418348
403.5,2.222299,0.417459
404.5,2.209558,0.416844
405.5,2.198222,0.416464
406.5,2.188164,0.416287
407.5,2.179238,0.416280
408.5,2.171284,0.416415
409.5,2.164131,0.416659
410.5,2.157600,0.416982
411.5,2.151515,0.417351
412.5,2.145698,0.417732
413.5,2.139979,0.418089
414.5,2.134198,0.418387
415.5,2.128210,0.418589
416.5,2.121883,0.418662
417.5,2.115105,0.418572
418.5,2.107785,0.418292
419.5,2.099852,0.417796
420.5,2.091262,0.417062
421.5,2.081993,0.416074
422.5,2.072051,0.414821
423.5,2.061463,0.413296
424.5,2.050284,0.411499
425.5,2.038590,0.409434
426.5,2.026481,0.407114
427.5,2.014074,0.404558
428.5,2.001503,0.401791
429.5,1.988916,0.398849
430.5,1.976474,0.395774
431.5,1.964345,0.392617
432.5,1.952695,0.389437
433.5,1.941689,0.386300
434.5,1.931489,0.383280
435.5,1.922248,0.380450
436.5,1.914102,0.377888
437.5,1.907170,0.375666
438.5,1.901551,0.373855
439.5,1.897320,0.372510
440.5,1.894524,0.371679
441.5,1.893182,0.371390
442.5,1.893287,0.371654
443.5,1.894800,0.372463
444.5,1.897653,0.373791
445.5,1.901752,0.375594
446.5,1.906980,0.377812
447.5,1.913194,0.380372
448.5,1.920235,0.383194
449.5,1.927931,0.386190
450.5,1.936098,0.389273
451.5,1.944549,0.392356
452.5,1.953099,0.395354
453.5,1.961569,0.398190
454.5,1.969794,0.400795
455.5,1.977627,0.403106
456.5,1.984943,0.405070
457.5,1.991648,0.406645
458.5,1.997679,0.407796
459.5,2.003012,0.408496
460.5,2.007663,0.408728
461.5,2.011690,0.408483
462.5,2.015195,0.407759
463.5,2.018327,0.406565
464.5,2.021277,0.404916
465.5,2.024281,0.402836
466.5,2.027616,0.400360
467.5,2.031595,0.397533
468.5,2.036563,0.394413
469.5,2.042896,0.391068
470.5,2.050988,0.387582
471.5,2.061249,0.384050
472.5,2.074096,0.380583
473.5,2.089943,0.377302
474.5,2.109194,0.374341
475.5,2.132234,0.371841
476.5,2.159420,0.369947
477.5,2.191069,0.368804
478.5,2.227453,0.368549
479.5,2.268789,0.369305
480.5,2.315229,0.371178
481.5,2.366860,0.374243
482.5,2.423685,0.378549
483.5,2.485632,0.384111
484.5,2.552542,0.390908
485.5,2.624168,0.398889
486.5,2.700176,0.407974
487.5,2.780143,0.418056
488.5,2.863564,0.429010
489.5,2.949849,0.440695
490.5,3.038336,0.452961
491.5,3.128294,0.465651
492.5,3.218932,0.478606
493.5,3.309411,0.491666
494.5,3.398854,0.504674
495.5,3.486358,0.517477
496.5,3.571010,0.529925
497.5,3.651898,0.541876
498.5,3.728126,0.553191
499.5,3.798827,0.563741
500.5,3.863182,0.573404
501.5,3.920426,0.582065
502.5,3.969867,0.589622
503.5,4.010894,0.595981
504.5,4.042988,0.601060
505.5,4.065734,0.604790
506.5,4.078823,0.607117
507.5,4.082058,0.608001
508.5,4.075361,0.607419
509.5,4.058771,0.605362
510.5,4.032446,0.601843
511.5,3.996652,0.596889
512.5,3.951768,0.590548
513.5,3.898273,0.582884
514.5,3.836739,0.573979
515.5,3.767820,0.563932
516.5,3.692242,0.552858
517.5,3.610790,0.540885
518.5,3.524294,0.528155
519.5,3.433616,0.514818
520.5,3.339637,0.501036
521.5,3.243243,0.486973
522.5,3.145309,0.472797
523.5,3.046693,0.458678
524.5,2.948219,0.444779
525.5,2.850669,0.431259
526.5,2.754774,0.418265
527.5,2.661205,0.405931
528.5,2.570568,0.394373
529.5,2.483402,0.383688
530.5,2.400171,0.373949
531.5,2.321266,0.365206
532.5,2.247004,0.357484
533.5,2.177628,0.350782
534.5,2.113313,0.345080
535.5,2.054165,0.340335
536.5,2.000230,0.336488
537.5,1.951494,0.333471
538.5,1.907893,0.331204
539.5,1.869318,0.329608
540.5,1.835619,0.328601
541.5,1.806612,0.328105
542.5,1.782087,0.328049
543.5,1.761813,0.328368
544.5,1.745544,0.329005
545.5,1.733019,0.329911
546.5,1.723974,0.331046
547.5,1.718145,0.332374
548.5,1.715267,0.333870
549.5,1.715079,0.335511
550.5,1.717330,0.337279
551.5,1.721778,0.339161
552.5,1.728191,0.341145
553.5,1.736349,0.343223
554.5,1.746045,0.345386
555.5,1.757085,0.347630
556.5,1.769287,0.349948
557.5,1.782483,0.352336
558.5,1.796517,0.354789
559.5,1.811241,0.357305
560.5,1.826521,0.359879
561.5,1.842230,0.362508
562.5,1.858253,0.365190
563.5,1.874478,0.367920
564.5,1.890802,0.370696
565.5,1.907125,0.373515
566.5,1.923355,0.376372
567.5,1.939399,0.379262
568.5,1.955171,0.382180
569.5,1.970583,0.385121
570.5,1.985552,0.388076
571.5,1.999995,0.391038
572.5,2.013829,0.393997
573.5,2.026974,0.396943
574.5,2.039347,0.399862
575.5,2.050871,0.402743
576.5,2.061467,0.405568
577.5,2.071060,0.408322
578.5,2.079577,0.410986
579.5,2.086951,0.413539
580.5,2.093115,0.415958
581.5,2.098012,0.418218
582.5,2.101592,0.420293
583.5,2.103810,0.422155
584.5,2.104633,0.423773
585.5,2.104039,0.425116
586.5,2.102014,0.426155
