E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,26.942307,3.194472
21.5,28.581875,3.277743
22.5,30.234543,3.384444
23.5,31.626353,3.477680
24.5,32.547263,3.527097
25.5,32.927378,3.508475
26.5,32.858820,3.415211
27.5,32.564878,3.271153
28.5,32.330269,3.127264
29.5,32.416110,3.037795
30.5,32.989444,3.030520
31.5,34.091483,3.096282
32.5,35.650806,3.204805
33.5,37.528956,3.325929
34.5,39.575131,3.439282
35.5,41.669604,3.534435
36.5,43.745054,3.608831
37.5,45.786063,3.666275
38.5,47.813599,3.715242
39.5,49.862722,3.765991
40.5,51.961264,3.826951
41.5,54.114928,3.901869
42.5,56.301865,3.989027
43.5,58.476600,4.082711
44.5,60.580941,4.175947
45.5,62.557468,4.263045
46.5,64.361367,4.340770
47.5,65.967222,4.407865
48.5,67.370104,4.463543
49.5,68.582073,4.506128
50.5,69.626654,4.532858
51.5,70.533466,4.541041
52.5,71.334394,4.529903
53.5,72.061222,4.501972
54.5,72.743908,4.463157
55.5,73.408402,4.421431
56.5,74.073669,4.384729
57.5,74.748408,4.358992
58.5,75.428428,4.347028
59.5,76.096032,4.348367
60.5,76.721977,4.359829
61.5,77.270005,4.376446
62.5,77.703008,4.392499
63.5,77.989625,4.402562
64.5,78.109645,4.402447
65.5,78.057258,4.389935
66.5,77.841712,4.365114
67.5,77.485520,4.330229
68.5,77.020963,4.289038
69.5,76.485830,4.245812
70.5,75.919322,4.204262
71.5,75.358755,4.166736
72.5,74.837430,4.133996
73.5,74.383529,4.105650
74.5,74.019738,4.081035
75.5,73.763143,4.060123
76.5,73.625105,4.044027
77.5,73.610762,4.034842
78.5,73.718441,4.034875
79.5,73.938945,4.045590
80.5,74.255104,4.066761
81.5,74.641860,4.096204
82.5,75.067042,4.130187
83.5,75.492804,4.164280
84.5,75.877687,4.194263
85.5,76.179035,4.216737
86.5,76.355546,4.229318
87.5,76.369754,4.230458
88.5,76.190306,4.219113
89.5,75.793920,4.194444
90.5,75.166946,4.155727
91.5,74.306419,4.102485
92.5,73.220569,4.034771
93.5,71.928637,3.953470
94.5,70.459909,3.860501
95.5,68.851995,3.758831
