E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,429.376337,9.766094
21.5,448.173981,9.916700
22.5,467.455176,10.090235
23.5,485.723599,10.268582
24.5,501.495203,10.407051
25.5,513.745400,10.453616
26.5,522.361089,10.386343
27.5,528.367989,10.233234
28.5,533.779225,10.057593
29.5,541.099953,9.923839
30.5,552.705428,9.872189
31.5,570.343514,9.915913
32.5,594.901428,10.051473
33.5,626.440055,10.266518
34.5,664.398040,10.542327
35.5,707.858679,10.855779
36.5,755.792757,11.184211
37.5,807.235930,11.511517
38.5,861.386121,11.831763
39.5,917.614094,12.148076
40.5,975.407847,12.467502
41.5,1034.278222,12.794702
42.5,1093.669316,13.127652
43.5,1152.903825,13.457141
44.5,1211.186701,13.769682
45.5,1267.662303,14.051944
46.5,1321.508675,14.294458
47.5,1372.035011,14.493321
48.5,1418.757611,14.649862
49.5,1461.433844,14.769129
50.5,1500.052572,14.858175
51.5,1534.782922,14.924685
52.5,1565.899025,14.975982
53.5,1593.696276,15.018239
54.5,1618.418843,15.055791
55.5,1640.208541,15.090612
56.5,1659.085210,15.122141
57.5,1674.959573,15.147528
58.5,1687.672694,15.162318
59.5,1697.054396,15.161445
60.5,1702.984305,15.140370
61.5,1705.444504,15.096161
62.5,1704.551298,15.028292
63.5,1700.561962,14.938967
64.5,1693.853945,14.832863
65.5,1684.882706,14.716299
66.5,1674.127501,14.596024
67.5,1662.035487,14.477920
68.5,1648.976614,14.365917
69.5,1635.215249,14.261389
70.5,1620.903453,14.163118
71.5,1606.094881,14.067800
72.5,1590.773506,13.970982
73.5,1574.890993,13.868226
74.5,1558.402669,13.756265
75.5,1541.295189,13.633899
76.5,1523.601349,13.502376
77.5,1505.399994,13.365136
78.5,1486.804100,13.226932
79.5,1467.940776,13.092557
80.5,1448.928799,12.965545
81.5,1429.860296,12.847257
82.5,1410.789474,12.736636
83.5,1391.731678,12.630660
84.5,1372.671356,12.525311
85.5,1353.575984,12.416690
86.5,1334.413080,12.301931
87.5,1315.165922,12.179710
88.5,1295.844390,12.050279
89.5,1276.489958,11.915153
90.5,1257.174178,11.776603
91.5,1237.990890,11.637142
92.5,1219.045351,11.499126
93.5,1200.441479,11.364502
94.5,1182.270286,11.234706
95.5,1164.601018,11.110646
96.5,1147.475010,10.992739
97.5,1130.903908,10.880963
98.5,1114.871119,10.774915
99.5,1099.335884,10.673885
100.5,1084.239375,10.576942
101.5,1069.512047,10.483042
102.5,1055.080289,10.391131
103.5,1040.872851,10.300245
104.5,1026.826104,10.209579
105.5,1012.887429,10.118531
