E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,0.430760,0.249418
21.5,0.576810,0.279692
22.5,0.754483,0.307727
23.5,0.967387,0.348088
24.5,1.212940,0.409017
25.5,1.479000,0.482635
26.5,1.744962,0.551615
27.5,1.987857,0.600817
28.5,2.190653,0.624003
29.5,2.348267,0.625291
30.5,2.468162,0.616017
31.5,2.565668,0.608115
32.5,2.657033,0.607837
33.5,2.753813,0.614676
34.5,2.860656,0.625341
35.5,2.976304,0.637558
36.5,3.096133,0.650765
37.5,3.214551,0.665115
38.5,3.326357,0.680777
39.5,3.427134,0.697773
40.5,3.513190,0.715605
41.5,3.581537,0.732598
42.5,3.630182,0.745779
43.5,3.658617,0.751829
44.5,3.668278,0.748660
45.5,3.662617,0.736613
46.5,3.646644,0.718573
47.5,3.625862,0.698942
48.5,3.604929,0.681928
49.5,3.586468,0.669983
50.5,3.570450,0.663184
51.5,3.554383,0.659751
52.5,3.534248,0.657199
53.5,3.505856,0.653352
54.5,3.466266,0.646841
55.5,3.414828,0.637128
56.5,3.353682,0.624305
57.5,3.287665,0.608881
58.5,3.223706,0.591710
59.5,3.169921,0.574029
60.5,3.134515,0.557539
61.5,3.124709,0.544363
62.5,3.145755,0.536747
63.5,3.200190,0.536482
64.5,3.287382,0.544248
65.5,3.403461,0.559252
66.5,3.541658,0.579402
67.5,3.693018,0.601914
68.5,3.847414,0.623993
69.5,3.994694,0.643329
70.5,4.125816,0.658332
71.5,4.233776,0.668173
72.5,4.314220,0.672723
73.5,4.365656,0.672460
74.5,4.389281,0.668351
75.5,4.388470,0.661714
76.5,4.368050,0.654018
77.5,4.333472,0.646627
78.5,4.290017,0.640553
79.5,4.242126,0.636265
80.5,4.192931,0.633672
81.5,4.144004,0.632243
82.5,4.095323,0.631250
83.5,4.045428,0.629985
84.5,3.991717,0.627913
85.5,3.930829,0.624685
86.5,3.859084,0.620063
87.5,3.772924,0.613802
88.5,3.669332,0.605548
89.5,3.546205,0.594818
90.5,3.402643,0.581057
91.5,3.239138,0.563764
92.5,3.057638,0.542640
93.5,2.861486,0.517704
94.5,2.655219,0.489361
95.5,2.444258,0.458397
96.5,2.234505,0.425917
97.5,2.031910,0.393243
98.5,1.842037,0.361795
99.5,1.669684,0.332960
100.5,1.518587,0.307989
101.5,1.391237,0.287886
102.5,1.288813,0.273325
103.5,1.211225,0.264574
104.5,1.157250,0.261449
105.5,1.124748,0.263325
106.5,1.110905,0.269215
107.5,1.112523,0.277889
108.5,1.126294,0.288018
109.5,1.149062,0.298312
110.5,1.178049,0.307632
111.5,1.211028,0.315098
112.5,1.246439,0.320162
113.5,1.283430,0.322678
114.5,1.321819,0.322929
115.5,1.361993,0.321630
116.5,1.404733,0.319867
117.5,1.451004,0.318976
118.5,1.501707,0.320334
119.5,1.557454,0.325089
120.5,1.618359,0.333900
121.5,1.683895,0.346779
122.5,1.752824,0.363106
123.5,1.823208,0.381781
124.5,1.892510,0.401445
125.5,1.957768,0.420669
126.5,2.015817,0.438104
127.5,2.063552,0.452577
128.5,2.098186,0.463149
129.5,2.117480,0.469156
130.5,2.119928,0.470231
131.5,2.104879,0.466309
132.5,2.072573,0.457620
133.5,2.024110,0.444666
134.5,1.961339,0.428174
135.5,1.886706,0.409046
136.5,1.803051,0.388287
137.5,1.713398,0.366933
138.5,1.620751,0.345969
139.5,1.527903,0.326260
140.5,1.437294,0.308483
141.5,1.350909,0.293082
142.5,1.270218,0.280248
143.5,1.196173,0.269932
144.5,1.129238,0.261886
145.5,1.069450,0.255729
146.5,1.016503,0.251011
147.5,0.969839,0.247276
148.5,0.928745,0.244108
149.5,0.892436,0.241160
150.5,0.860131,0.238171
151.5,0.831113,0.234971
152.5,0.804766,0.231481
153.5,0.780604,0.227699
154.5,0.758281,0.223685
155.5,0.737589,0.219537
156.5,0.718447,0.215369
157.5,0.700887,0.211284
158.5,0.685033,0.207366
159.5,0.671078,0.203669
160.5,0.659270,0.200226
161.5,0.649880,0.197065
162.5,0.643198,0.194227
163.5,0.639505,0.191785
164.5,0.639064,0.189850
165.5,0.642103,0.188567
166.5,0.648806,0.188099
167.5,0.659296,0.188596
168.5,0.673627,0.190173
169.5,0.691774,0.192881
170.5,0.713624,0.196704
171.5,0.738970,0.201566
172.5,0.767506,0.207351
173.5,0.798827,0.213932
174.5,0.832427,0.221181
175.5,0.867709,0.228990
176.5,0.903990,0.237260
177.5,0.940515,0.245896
178.5,0.976473,0.254785
179.5,1.011019,0.263781
180.5,1.043293,0.272694
181.5,1.072453,0.281286
182.5,1.097701,0.289278
183.5,1.118309,0.296365
184.5,1.133656,0.302238
185.5,1.143246,0.306608
186.5,1.146736,0.309228
187.5,1.143948,0.309920
188.5,1.134880,0.308582
189.5,1.119710,0.305206
190.5,1.098779,0.299878
191.5,1.072583,0.292774
192.5,1.041746,0.284153
193.5,1.006990,0.274339
194.5,0.969100,0.263698
195.5,0.928889,0.252621
196.5,0.887167,0.241486
197.5,0.844703,0.230639
198.5,0.802203,0.220363
199.5,0.760290,0.210859
200.5,0.719485,0.202237
201.5,0.680208,0.194517
202.5,0.642772,0.187639
203.5,0.607395,0.181489
204.5,0.574204,0.175924
205.5,0.543255,0.170799
206.5,0.514546,0.165986
207.5,0.488028,0.161392
208.5,0.463629,0.156961
209.5,0.441255,0.152673
210.5,0.420809,0.148542
211.5,0.402196,0.144601
212.5,0.385324,0.140896
213.5,0.370113,0.137473
214.5,0.356491,0.134373
215.5,0.344395,0.131621
216.5,0.333768,0.129226
217.5,0.324561,0.127183
218.5,0.316724,0.125473
219.5,0.310212,0.124072
220.5,0.304973,0.122952
221.5,0.300955,0.122093
222.5,0.298101,0.121480
223.5,0.296348,0.121111
224.5,0.295627,0.120994
225.5,0.295864,0.121141
226.5,0.296976,0.121568
227.5,0.298877,0.122283
228.5,0.301476,0.123285
229.5,0.304675,0.124555
230.5,0.308376,0.126055
231.5,0.312481,0.127731
232.5,0.316891,0.129511
233.5,0.321510,0.131314
234.5,0.326249,0.133057
235.5,0.331026,0.134663
236.5,0.335766,0.136066
237.5,0.340405,0.137220
238.5,0.344894,0.138100
239.5,0.349191,0.138707
240.5,0.353267,0.139065
241.5,0.357104,0.139222
242.5,0.360692,0.139240
243.5,0.364030,0.139191
244.5,0.367119,0.139147
245.5,0.369965,0.139172
246.5,0.372576,0.139315
247.5,0.374957,0.139601
248.5,0.377110,0.140030
249.5,0.379034,0.140579
250.5,0.380726,0.141203
251.5,0.382176,0.141846
252.5,0.383372,0.142444
253.5,0.384297,0.142937
254.5,0.384934,0.143275
255.5,0.385262,0.143423
256.5,0.385261,0.143366
257.5,0.384910,0.143107
258.5,0.384188,0.142670
259.5,0.383072,0.142093
260.5,0.381542,0.141422
261.5,0.379573,0.140710
262.5,0.377141,0.140005
263.5,0.374220,0.139349
264.5,0.370781,0.138766
265.5,0.366791,0.138264
266.5,0.362217,0.137833
267.5,0.357025,0.137441
268.5,0.351180,0.137040
269.5,0.344649,0.136571
270.5,0.337404,0.135963
271.5,0.329423,0.135145
272.5,0.320694,0.134047
273.5,0.311215,0.132604
274.5,0.301000,0.130760
275.5,0.290078,0.128473
276.5,0.278494,0.125712
277.5,0.266311,0.122463
278.5,0.253610,0.118727
279.5,0.240490,0.114518
280.5,0.227064,0.109866
281.5,0.213458,0.104814
282.5,0.199809,0.099415
283.5,0.186262,0.093733
284.5,0.172965,0.087838
285.5,0.160069,0.081807
286.5,0.147720,0.075722
287.5,0.136060,0.069667
288.5,0.125221,0.063729
289.5,0.115325,0.058000
290.5,0.106479,0.052579
291.5,0.098776,0.047574
292.5,0.092294,0.043113
293.5,0.087092,0.039340
294.5,0.083212,0.036418
295.5,0.080679,0.034509
296.5,0.079499,0.033733
297.5,0.079661,0.034132
298.5,0.081139,0.035641
299.5,0.083890,0.038120
300.5,0.087854,0.041394
301.5,0.092957,0.045294
302.5,0.099113,0.049675
303.5,0.106220,0.054416
304.5,0.114166,0.059417
305.5,0.122828,0.064589
306.5,0.132076,0.069855
307.5,0.141770,0.075138
308.5,0.151768,0.080366
309.5,0.161921,0.085468
310.5,0.172085,0.090376
311.5,0.182113,0.095025
312.5,0.191866,0.099352
313.5,0.201212,0.103301
314.5,0.210029,0.106824
315.5,0.218206,0.109882
316.5,0.225648,0.112442
317.5,0.232278,0.114487
318.5,0.238033,0.116008
319.5,0.242873,0.117010
320.5,0.246773,0.117509
321.5,0.249730,0.117532
322.5,0.251759,0.117116
323.5,0.252889,0.116309
324.5,0.253168,0.115162
325.5,0.252657,0.113735
326.5,0.251427,0.112086
327.5,0.249557,0.110278
328.5,0.247136,0.108367
329.5,0.244254,0.106406
330.5,0.241003,0.104443
331.5,0.237475,0.102518
332.5,0.233761,0.100660
333.5,0.229945,0.098893
334.5,0.226108,0.097234
335.5,0.222323,0.095691
336.5,0.218656,0.094269
337.5,0.215167,0.092970
338.5,0.211906,0.091794
339.5,0.208917,0.090741
340.5,0.206234,0.089813
341.5,0.203887,0.089011
342.5,0.201896,0.088339
343.5,0.200277,0.087803
344.5,0.199036,0.087407
345.5,0.198178,0.087157
346.5,0.197700,0.087057
347.5,0.197594,0.087109
348.5,0.197848,0.087313
349.5,0.198446,0.087668
350.5,0.199367,0.088168
351.5,0.200587,0.088804
352.5,0.202080,0.089565
353.5,0.203813,0.090439
354.5,0.205756,0.091408
355.5,0.207872,0.092456
356.5,0.210126,0.093563
357.5,0.212479,0.094708
358.5,0.214895,0.095869
359.5,0.217336,0.097024
360.5,0.219767,0.098149
361.5,0.222152,0.099221
362.5,0.224461,0.100219
363.5,0.226664,0.101123
364.5,0.228737,0.101912
365.5,0.230660,0.102572
366.5,0.232417,0.103090
367.5,0.233997,0.103457
368.5,0.235394,0.103670
369.5,0.236606,0.103729
370.5,0.237639,0.103641
371.5,0.238499,0.103416
372.5,0.239198,0.103071
373.5,0.239752,0.102626
374.5,0.240177,0.102105
375.5,0.240492,0.101537
376.5,0.240716,0.100950
377.5,0.240867,0.100376
378.5,0.240963,0.099843
379.5,0.241018,0.099380
380.5,0.241044,0.099010
381.5,0.241049,0.098754
382.5,0.241037,0.098624
383.5,0.241007,0.098628
384.5,0.240952,0.098763
385.5,0.240863,0.099023
386.5,0.240725,0.099392
387.5,0.240518,0.099850
388.5,0.240220,0.100369
389.5,0.239805,0.100920
390.5,0.239247,0.101471
391.5,0.238518,0.101989
392.5,0.237588,0.102441
393.5,0.236434,0.102797
394.5,0.235028,0.103029
395.5,0.233352,0.103112
396.5,0.231387,0.103026
397.5,0.229124,0.102756
398.5,0.226556,0.102290
399.5,0.223684,0.101624
400.5,0.220516,0.100754
401.5,0.217066,0.099685
402.5,0.213357,0.098424
403.5,0.209415,0.096981
404.5,0.205278,0.095369
405.5,0.200984,0.093607
406.5,0.196582,0.091713
407.5,0.192121,0.089707
408.5,0.187658,0.087613
409.5,0.183248,0.085456
410.5,0.178951,0.083263
411.5,0.174828,0.081063
412.5,0.170938,0.078887
413.5,0.167338,0.076770
414.5,0.164085,0.074749
415.5,0.161230,0.072861
416.5,0.158819,0.071150
417.5,0.156896,0.069657
418.5,0.155496,0.068423
419.5,0.154647,0.067488
420.5,0.154372,0.066883
421.5,0.154683,0.066634
422.5,0.155586,0.066757
423.5,0.157078,0.067253
424.5,0.159149,0.068113
425.5,0.161778,0.069316
426.5,0.164939,0.070832
427.5,0.168596,0.072621
428.5,0.172709,0.074641
429.5,0.177228,0.076846
430.5,0.182102,0.079188
431.5,0.187271,0.081623
432.5,0.192673,0.084107
433.5,0.198246,0.086601
434.5,0.203922,0.089065
435.5,0.209635,0.091467
436.5,0.215320,0.093775
437.5,0.220912,0.095963
438.5,0.226350,0.098006
439.5,0.231577,0.099883
440.5,0.236540,0.101578
441.5,0.241192,0.103075
442.5,0.245491,0.104364
443.5,0.249404,0.105437
444.5,0.252902,0.106291
445.5,0.255967,0.106925
446.5,0.258587,0.107342
447.5,0.260758,0.107548
448.5,0.262483,0.107552
449.5,0.263774,0.107368
450.5,0.264648,0.107009
451.5,0.265132,0.106493
452.5,0.265255,0.105839
453.5,0.265053,0.105066
454.5,0.264569,0.104195
455.5,0.263846,0.103246
456.5,0.262932,0.102238
457.5,0.261877,0.101191
458.5,0.260732,0.100124
459.5,0.259548,0.099054
460.5,0.258376,0.097999
461.5,0.257265,0.096975
462.5,0.256263,0.095997
463.5,0.255414,0.095084
464.5,0.254757,0.094252
465.5,0.254329,0.093519
466.5,0.254161,0.092903
467.5,0.254279,0.092423
468.5,0.254703,0.092097
469.5,0.255447,0.091942
470.5,0.256519,0.091972
471.5,0.257920,0.092199
472.5,0.259646,0.092629
473.5,0.261687,0.093262
474.5,0.264027,0.094091
475.5,0.266645,0.095104
476.5,0.269514,0.096281
477.5,0.272605,0.097596
478.5,0.275885,0.099018
479.5,0.279317,0.100513
480.5,0.282864,0.102043
481.5,0.286486,0.103571
