E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,1.805963,0.572317
21.5,1.799697,0.566940
22.5,1.793827,0.555599
23.5,1.780686,0.548170
24.5,1.754468,0.549578
25.5,1.710542,0.551544
26.5,1.646804,0.540901
27.5,1.567340,0.511402
28.5,1.484846,0.468265
29.5,1.418568,0.426407
30.5,1.387963,0.403990
31.5,1.405487,0.411216
32.5,1.472252,0.443381
33.5,1.578283,0.487899
34.5,1.706578,0.534111
35.5,1.838713,0.575774
36.5,1.959736,0.609749
37.5,2.061059,0.635192
38.5,2.141035,0.653905
39.5,2.203620,0.670403
40.5,2.255828,0.690161
41.5,2.304788,0.716282
42.5,2.355239,0.747009
43.5,2.408173,0.776260
44.5,2.460964,0.796520
45.5,2.508853,0.801790
46.5,2.547179,0.789277
47.5,2.573462,0.759858
48.5,2.588586,0.717782
49.5,2.596682,0.669876
50.5,2.603843,0.624217
51.5,2.616195,0.588150
52.5,2.638014,0.565990
53.5,2.670467,0.557635
54.5,2.711328,0.559279
55.5,2.755592,0.565698
56.5,2.796744,0.572351
57.5,2.828240,0.576310
58.5,2.844806,0.576239
59.5,2.843314,0.571988
60.5,2.823100,0.564133
61.5,2.785817,0.553614
62.5,2.734934,0.541463
63.5,2.675086,0.528614
64.5,2.611419,0.515806
65.5,2.549015,0.503575
66.5,2.492474,0.492345
67.5,2.445632,0.482569
68.5,2.411401,0.474834
69.5,2.391708,0.469846
70.5,2.387513,0.468255
71.5,2.398896,0.470370
72.5,2.425204,0.475922
73.5,2.465265,0.484023
74.5,2.517617,0.493399
75.5,2.580734,0.502799
76.5,2.653188,0.511428
77.5,2.733699,0.519221
78.5,2.821066,0.526880
79.5,2.913970,0.535601
80.5,3.010711,0.546586
81.5,3.108943,0.560478
82.5,3.205491,0.576995
83.5,3.296333,0.594897
84.5,3.376763,0.612310
85.5,3.441749,0.627202
86.5,3.486421,0.637835
87.5,3.506618,0.643070
88.5,3.499392,0.642494
89.5,3.463385,0.636398
90.5,3.399025,0.625638
91.5,3.308503,0.611454
92.5,3.195550,0.595246
93.5,3.065049,0.578365
94.5,2.922546,0.561936
95.5,2.773725,0.546718
96.5,2.623917,0.533042
97.5,2.477690,0.520828
98.5,2.338562,0.509668
99.5,2.208867,0.498965
100.5,2.089755,0.488079
101.5,1.981327,0.476447
102.5,1.882878,0.463654
103.5,1.793192,0.449458
104.5,1.710867,0.433784
105.5,1.634615,0.416708
106.5,1.563501,0.398455
107.5,1.497102,0.379420
108.5,1.435564,0.360201
109.5,1.379560,0.341626
110.5,1.330172,0.324747
111.5,1.288700,0.310745
112.5,1.256454,0.300752
113.5,1.234545,0.295571
114.5,1.223695,0.295433
115.5,1.224119,0.299890
116.5,1.235455,0.307930
117.5,1.256770,0.318239
118.5,1.286623,0.329484
119.5,1.323179,0.340510
120.5,1.364349,0.350437
121.5,1.407947,0.358688
122.5,1.451833,0.364963
123.5,1.494045,0.369192
124.5,1.532896,0.371478
125.5,1.567031,0.372037
126.5,1.595464,0.371149
127.5,1.617563,0.369117
128.5,1.633029,0.366231
129.5,1.641839,0.362757
130.5,1.644188,0.358925
131.5,1.640425,0.354929
132.5,1.630993,0.350920
133.5,1.616374,0.347005
134.5,1.597052,0.343234
135.5,1.573477,0.339603
136.5,1.546062,0.336040
137.5,1.515174,0.332422
138.5,1.481147,0.328585
139.5,1.444295,0.324351
140.5,1.404936,0.319559
141.5,1.363404,0.314093
142.5,1.320071,0.307903
143.5,1.275348,0.301017
144.5,1.229691,0.293537
145.5,1.183590,0.285635
146.5,1.137554,0.277520
147.5,1.092094,0.269422
148.5,1.047700,0.261562
149.5,1.004812,0.254132
150.5,0.963811,0.247276
151.5,0.924995,0.241087
152.5,0.888578,0.235600
153.5,0.854683,0.230801
154.5,0.823350,0.226632
155.5,0.794552,0.223001
156.5,0.768201,0.219791
157.5,0.744178,0.216869
158.5,0.722343,0.214104
159.5,0.702559,0.211374
160.5,0.684703,0.208584
161.5,0.668679,0.205676
162.5,0.654421,0.202641
163.5,0.641898,0.199524
164.5,0.631108,0.196423
165.5,0.622069,0.193480
166.5,0.614814,0.190862
167.5,0.609376,0.188743
168.5,0.605778,0.187267
169.5,0.604023,0.186526
170.5,0.604087,0.186542
171.5,0.605912,0.187259
172.5,0.609408,0.188555
173.5,0.614450,0.190263
174.5,0.620882,0.192204
175.5,0.628524,0.194214
176.5,0.637175,0.196168
177.5,0.646615,0.197994
