E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,1.714923,0.596898
21.5,1.599691,0.533408
22.5,1.527171,0.476803
23.5,1.529533,0.441995
24.5,1.625928,0.439497
25.5,1.816444,0.471952
26.5,2.080598,0.531390
27.5,2.380678,0.602726
28.5,2.669331,0.670012
29.5,2.899934,0.720507
30.5,3.037247,0.746762
31.5,3.065208,0.747634
32.5,2.989441,0.727956
33.5,2.833992,0.696317
34.5,2.634020,0.661194
35.5,2.427370,0.627324
36.5,2.247746,0.595124
37.5,2.120805,0.563865
38.5,2.062990,0.535915
39.5,2.081840,0.518429
40.5,2.176668,0.520452
41.5,2.339066,0.546654
42.5,2.553513,0.593304
43.5,2.798647,0.650465
44.5,3.049637,0.706817
45.5,3.281579,0.752814
46.5,3.473333,0.781972
47.5,3.610905,0.791308
48.5,3.689561,0.781383
49.5,3.714175,0.755998
50.5,3.697745,0.721500
51.5,3.658475,0.685760
52.5,3.616146,0.656784
53.5,3.588545,0.640925
54.5,3.588681,0.641119
55.5,3.623191,0.656109
56.5,3.692072,0.681351
57.5,3.789575,0.710947
58.5,3.905885,0.739386
59.5,4.029160,0.762513
60.5,4.147519,0.777842
61.5,4.250657,0.784483
62.5,4.330932,0.782884
63.5,4.383882,0.774475
64.5,4.408216,0.761277
65.5,4.405417,0.745523
66.5,4.379081,0.729332
67.5,4.334137,0.714463
68.5,4.276062,0.702162
69.5,4.210176,0.693090
70.5,4.141081,0.687332
71.5,4.072279,0.684456
72.5,4.005980,0.683643
73.5,3.943099,0.683853
74.5,3.883413,0.684021
75.5,3.825809,0.683230
76.5,3.768615,0.680841
77.5,3.709930,0.676524
78.5,3.647929,0.670216
79.5,3.581122,0.661999
80.5,3.508548,0.651967
81.5,3.429905,0.640126
82.5,3.345630,0.626377
83.5,3.256917,0.610594
84.5,3.165670,0.592784
85.5,3.074396,0.573253
86.5,2.986025,0.552739
87.5,2.903667,0.532427
88.5,2.830337,0.513816
89.5,2.768660,0.498436
90.5,2.720629,0.487468
91.5,2.687412,0.481406
92.5,2.669272,0.479900
93.5,2.665594,0.481897
94.5,2.675006,0.485981
95.5,2.695573,0.490778
96.5,2.725020,0.495266
97.5,2.760949,0.498933
98.5,2.801011,0.501764
99.5,2.843016,0.504112
100.5,2.884991,0.506495
101.5,2.925180,0.509374
102.5,2.962020,0.512966
103.5,2.994113,0.517155
104.5,3.020221,0.521495
105.5,3.039281,0.525325
106.5,3.050452,0.527916
107.5,3.053187,0.528644
108.5,3.047293,0.527123
109.5,3.032983,0.523285
110.5,3.010898,0.517403
111.5,2.982069,0.510041
112.5,2.947859,0.501955
113.5,2.909852,0.493950
114.5,2.869726,0.486724
115.5,2.829129,0.480742
116.5,2.789563,0.476173
117.5,2.752298,0.472907
118.5,2.718334,0.470643
119.5,2.688388,0.469022
120.5,2.662927,0.467749
121.5,2.642214,0.466698
122.5,2.626370,0.465954
123.5,2.615435,0.465827
124.5,2.609398,0.466814
125.5,2.608225,0.469533
126.5,2.611850,0.474631
127.5,2.620144,0.482668
128.5,2.632873,0.494000
129.5,2.649649,0.508673
130.5,2.669885,0.526364
131.5,2.692763,0.546376
132.5,2.717232,0.567691
133.5,2.742028,0.589071
134.5,2.765728,0.609182
135.5,2.786822,0.626718
136.5,2.803809,0.640521
137.5,2.815298,0.649671
138.5,2.820108,0.653561
139.5,2.817356,0.651935
140.5,2.806513,0.644895
141.5,2.787446,0.632880
142.5,2.760416,0.616623
143.5,2.726053,0.597073
144.5,2.685304,0.575311
145.5,2.639358,0.552446
146.5,2.589569,0.529520
147.5,2.537368,0.507419
148.5,2.484183,0.486811
149.5,2.431375,0.468122
150.5,2.380177,0.451543
151.5,2.331660,0.437078
152.5,2.286705,0.424615
153.5,2.245995,0.414000
154.5,2.210009,0.405095
155.5,2.179028,0.397820
156.5,2.153138,0.392165
157.5,2.132247,0.388176
158.5,2.116088,0.385926
159.5,2.104229,0.385476
160.5,2.096095,0.386835
161.5,2.090972,0.389921
162.5,2.088041,0.394549
163.5,2.086392,0.400420
164.5,2.085067,0.407135
165.5,2.083097,0.414218
166.5,2.079541,0.421153
167.5,2.073539,0.427412
168.5,2.064351,0.432498
169.5,2.051406,0.435978
170.5,2.034331,0.437507
171.5,2.012978,0.436857
172.5,1.987434,0.433929
173.5,1.958023,0.428766
174.5,1.925285,0.421552
175.5,1.889950,0.412608
176.5,1.852895,0.402373
177.5,1.815093,0.391383
178.5,1.777558,0.380236
179.5,1.741288,0.369546
180.5,1.707209,0.359892
181.5,1.676133,0.351764
182.5,1.648707,0.345514
183.5,1.625393,0.341317
184.5,1.606448,0.339172
185.5,1.591926,0.338911
186.5,1.581677,0.340246
187.5,1.575375,0.342825
188.5,1.572539,0.346279
189.5,1.572567,0.350264
190.5,1.574775,0.354490
191.5,1.578429,0.358728
192.5,1.582783,0.362810
193.5,1.587107,0.366625
194.5,1.590719,0.370100
195.5,1.592999,0.373193
196.5,1.593409,0.375879
197.5,1.591499,0.378139
198.5,1.586912,0.379956
199.5,1.579386,0.381309
200.5,1.568749,0.382167
201.5,1.554916,0.382487
202.5,1.537884,0.382211
203.5,1.517726,0.381268
204.5,1.494587,0.379571
205.5,1.468687,0.377022
206.5,1.440313,0.373520
207.5,1.409827,0.368963
208.5,1.377659,0.363266
209.5,1.344313,0.356366
210.5,1.310365,0.348239
211.5,1.276462,0.338909
212.5,1.243311,0.328457
213.5,1.211674,0.317032
214.5,1.182351,0.304856
215.5,1.156159,0.292230
216.5,1.133911,0.279531
217.5,1.116386,0.267218
218.5,1.104300,0.255814
219.5,1.098269,0.245894
220.5,1.098784,0.238040
221.5,1.106174,0.232785
222.5,1.120585,0.230537
223.5,1.141959,0.231508
224.5,1.170017,0.235672
225.5,1.204263,0.242766
226.5,1.243981,0.252339
227.5,1.288256,0.263827
228.5,1.335995,0.276614
229.5,1.385964,0.290090
230.5,1.436823,0.303679
231.5,1.487181,0.316861
232.5,1.535631,0.329174
233.5,1.580813,0.340227
234.5,1.621458,0.349696
235.5,1.656429,0.357327
236.5,1.684763,0.362939
237.5,1.705702,0.366424
238.5,1.718710,0.367745
239.5,1.723490,0.366933
240.5,1.719980,0.364084
241.5,1.708349,0.359351
242.5,1.688976,0.352937
243.5,1.662431,0.345081
244.5,1.629436,0.336052
245.5,1.590839,0.326132
246.5,1.547572,0.315605
247.5,1.500618,0.304749
248.5,1.450973,0.293818
249.5,1.399619,0.283041
250.5,1.347491,0.272611
251.5,1.295460,0.262683
252.5,1.244313,0.253374
253.5,1.194742,0.244761
254.5,1.147340,0.236892
255.5,1.102597,0.229786
256.5,1.060907,0.223439
257.5,1.022567,0.217836
258.5,0.987792,0.212951
259.5,0.956722,0.208751
260.5,0.929431,0.205206
261.5,0.905938,0.202284
262.5,0.886217,0.199955
263.5,0.870202,0.198193
