# rates per second, merged T_sim_s=99.9999
bin_keV,sumw,sumw2,light_sumw,light_sumw2
0,0,0,0,0
1,0.028000028,1.8666704e-05,0.028000028,1.8666704e-05
2,0.031000031,2.1000042e-05,0.031000031,2.1000042e-05
3,0.03466670133,2.488893867e-05,0.03466670133,2.488893867e-05
4,0.04677782456,3.645686303e-05,0.04677782456,3.645686303e-05
5,0.068000068,4.977787733e-05,0.068000068,4.977787733e-05
6,0.076000076,5.244454933e-05,0.076000076,5.244454933e-05
7,0.08633341967,5.877789533e-05,0.08633341967,5.877789533e-05
8,0.062000062,4.488897867e-05,0.062000062,4.488897867e-05
9,0.08344452789,5.724702807e-05,0.08344452789,5.724702807e-05
10,0.09422231644,7.614830044e-05,0.09422231644,7.614830044e-05
11,0.08255563811,5.556801237e-05,0.08255563811,5.556801237e-05
12,0.106000106,7.777793333e-05,0.106000106,7.777793333e-05
13,0.09288898178,6.36791397e-05,0.09288898178,6.36791397e-05
14,0.1026112137,6.904026153e-05,0.1026112137,6.904026153e-05
15,0.104000104,7.2000144e-05,0.104000104,7.2000144e-05
16,0.1032778811,7.037359753e-05,0.1032778811,7.037359753e-05
17,0.09533342867,6.622235467e-05,0.09533342867,6.622235467e-05
18,0.09966676633,6.8500137e-05,0.09966676633,6.8500137e-05
19,0.1158890048,7.86791697e-05,0.1158890048,7.86791697e-05
20,0.115000115,8.2333498e-05,0.115000115,8.2333498e-05
21,0.1266667933,9.222240667e-05,0.1266667933,9.222240667e-05
22,0.1046667713,7.222236667e-05,0.1046667713,7.222236667e-05
23,0.1250556806,9.415142287e-05,0.1250556806,9.415142287e-05
24,0.1122223344,8.03458397e-05,0.1122223344,8.03458397e-05
25,0.2828336162,0.0001946948338,0.2828336162,0.0001946948338
26,0.1101112212,7.858040407e-05,0.1101112212,7.858040407e-05
27,0.1233334567,8.555572667e-05,0.1233334567,8.555572667e-05
28,0.1524668191,0.0001056402113,0.1524668191,0.0001056402113
29,0.1453334787,0.0001037779853,0.1453334787,0.0001037779853
30,0.1116667783,7.655570867e-05,0.1116667783,7.655570867e-05
31,0.1397779175,0.0001044693447,0.1397779175,0.0001044693447
32,0.1563446008,0.0001113929388,0.1563446008,0.0001113929388
33,0.1333334667,8.977795733e-05,0.1333334667,8.977795733e-05
34,0.1513334847,0.0001035557627,0.1513334847,0.0001035557627
35,0.2002224224,0.0001472348624,0.2002224224,0.0001472348624
36,0.2018335352,0.0001430280638,0.2018335352,0.0001430280638
37,0.2138335472,0.0001495836325,0.2138335472,0.0001495836325
38,0.233000233,0.0001652225527,0.233000233,0.0001652225527
39,0.2568335901,0.0001786207276,0.2568335901,0.0001786207276
40,0.2465558021,0.000171123799,0.2465558021,0.000171123799
41,0.2466669133,0.000178000356,0.2466669133,0.000178000356
42,0.3005003005,0.0002136948718,0.3005003005,0.0002136948718
43,0.2913336247,0.0002057781893,0.2913336247,0.0002057781893
44,0.3634448079,0.0002559140921,0.3634448079,0.0002559140921
45,0.3595559151,0.000273457337,0.3595559151,0.000273457337
46,0.3782514605,0.0002745052872,0.3782514605,0.0002745052872
47,0.3541789256,0.0002455138603,0.3541789256,0.0002455138603
48,0.4460560016,0.0003189296502,0.4460560016,0.0003189296502
49,0.4181670848,0.0002904728032,0.4181670848,0.0002904728032
50,0.435000435,0.000300333934,0.435000435,0.000300333934
51,0.4239448684,0.0003013864052,0.4239448684,0.0003013864052
52,0.4401115512,0.0003045808561,0.4401115512,0.0003045808561
53,0.4497782276,0.0003147413703,0.4497782276,0.0003147413703
54,0.4403893293,0.0003110407455,0.4403893293,0.0003110407455
55,0.4447226669,0.0003079111096,0.4447226669,0.0003079111096
56,0.474000474,0.0003271117653,0.474000474,0.0003271117653
