# rates per second, merged T_sim_s=99.9999
bin_keV,sumw,sumw2,light_sumw,light_sumw2
0,0,0,0,0
1,0.04092596685,2.354257109e-05,0.04092596685,2.354257109e-05
2,0.02111113171,1.234570313e-05,0.02111113171,1.234570313e-05
3,0.01821430393,1.046392871e-05,0.01821430393,1.046392871e-05
4,0.01630153369,1.031639157e-05,0.01630153369,1.031639157e-05
5,0.01618100202,1.018231157e-05,0.01618100202,1.018231157e-05
6,0.01666668255,1.172841743e-05,0.01666668255,1.172841743e-05
7,0.01027778806,5.941369907e-06,0.01027778806,5.941369907e-06
8,0.01083334365,6.250011928e-06,0.01083334365,6.250011928e-06
9,0.01041734028,7.041830856e-06,0.01041734028,7.041830856e-06
10,0.01383763624,8.741519054e-06,0.01383763624,8.741519054e-06
11,0.03395249416,1.96041373e-05,0.03395249416,1.96041373e-05
12,0.009739730684,5.334112459e-06,0.009739730684,5.334112459e-06
13,0.009444453298,5.246923416e-06,0.009444453298,5.246923416e-06
14,0.007692960314,4.646528382e-06,0.007692960314,4.646528382e-06
15,0.009529315519,5.491316954e-06,0.009529315519,5.491316954e-06
16,0.001666668333,9.259277777e-07,0.001666668333,9.259277777e-07
17,0.007221449883,5.246057161e-06,0.007221449883,5.246057161e-06
18,0.006111116802,4.012353237e-06,0.006111116802,4.012353237e-06
19,0.005061733118,2.850180584e-06,0.005061733118,2.850180584e-06
20,0.008943577296,5.481388502e-06,0.008943577296,5.481388502e-06
21,0.003888892706,2.160498068e-06,0.003888892706,2.160498068e-06
22,0.003888892778,4.629638888e-06,0.003888892778,4.629638888e-06
23,0.005000004933,2.777783259e-06,0.005000004933,2.777783259e-06
24,0.002222223885,1.234569749e-06,0.002222223885,1.234569749e-06
25,0.003856024682,2.74234347e-06,0.003856024682,2.74234347e-06
26,0.006111116507,4.012352606e-06,0.006111116507,4.012352606e-06
27,0.01169625581,8.072019567e-06,0.01169625581,8.072019567e-06
28,0.004444448328,2.469140118e-06,0.004444448328,2.469140118e-06
29,0.005555560287,3.08642501e-06,0.005555560287,3.08642501e-06
30,0.005467373637,2.996216753e-06,0.005467373637,2.996216753e-06
31,0.01081744345,5.063519489e-06,0.01081744345,5.063519489e-06
32,0.003664704555,2.56482492e-06,0.003664704555,2.56482492e-06
33,0.003888892436,2.160497768e-06,0.003888892436,2.160497768e-06
34,0.002472145485,1.239914079e-06,0.002472145485,1.239914079e-06
35,0.003048630639,1.613998563e-06,0.003048630639,1.613998563e-06
36,0.004945459977,3.337437297e-06,0.004945459977,3.337437297e-06
37,0.003214348027,2.125775029e-06,0.003214348027,2.125775029e-06
38,0.00356447505,1.905280285e-06,0.00356447505,1.905280285e-06
39,0.007222228955,5.864208716e-06,0.007222228955,5.864208716e-06
40,0.001640094302,8.97107211e-07,0.001640094302,8.97107211e-07
41,0.003888892636,2.160497991e-06,0.003888892636,2.160497991e-06
42,0.002885941393,1.68385223e-06,0.002885941393,1.68385223e-06
43,0.001944446389,1.311731018e-06,0.001944446389,1.311731018e-06
44,0.00904234418,5.191475014e-06,0.00904234418,5.191475014e-06
45,0.007222227738,4.629635234e-06,0.007222227738,4.629635234e-06
46,0.002705202675,1.467838299e-06,0.002705202675,1.467838299e-06
47,0.004443484764,3.085355097e-06,0.004443484764,3.085355097e-06
48,0.006851858704,3.943766461e-06,0.006851858704,3.943766461e-06
49,0.006778850105,4.55022162e-06,0.006778850105,4.55022162e-06
50,0.008780068115,4.953831984e-06,0.008780068115,4.953831984e-06
51,0.004991091034,3.385242339e-06,0.004991091034,3.385242339e-06
52,0.007324539425,4.763944896e-06,0.007324539425,4.763944896e-06
53,0.008333341372,7.098779301e-06,0.008333341372,7.098779301e-06
54,0.006574419039,6.078857127e-06,0.006574419039,6.078857127e-06
55,0.005039786835,2.824324419e-06,0.005039786835,2.824324419e-06
56,0.00484807754,2.632056814e-06,0.00484807754,2.632056814e-06
57,0.003333336527,1.8518554e-06,0.003333336527,1.8518554e-06
58,0.008769848778,5.834288219e-06,0.008769848778,5.834288219e-06
59,0.004993572933,2.770677941e-06,0.004993572933,2.770677941e-06
60,0.03715519584,2.552238035e-05,0.03715519584,2.552238035e-05
61,0.00833334129,4.629638471e-06,0.00833334129,4.629638471e-06
62,0.008333341108,4.629638268e-06,0.008333341108,4.629638268e-06
63,0.007204609053,4.140089478e-06,0.007204609053,4.140089478e-06
64,0.009295412075,5.711028383e-06,0.009295412075,5.711028383e-06
65,0.007222229203,5.246923765e-06,0.007222229203,5.246923765e-06
66,0.006388894296,4.398155326e-06,0.006388894296,4.398155326e-06
67,0.007732164439,4.271346713e-06,0.007732164439,4.271346713e-06
68,0.004442526717,2.467008682e-06,0.004442526717,2.467008682e-06
69,0.005468164012,2.996035468e-06,0.005468164012,2.996035468e-06
70,0.006344362482,3.390047674e-06,0.006344362482,3.390047674e-06
71,0.008333340802,4.629637928e-06,0.008333340802,4.629637928e-06
72,0.004968290103,2.743550343e-06,0.004968290103,2.743550343e-06
73,0.006280120603,3.656761398e-06,0.006280120603,3.656761398e-06
74,0.007902224386,4.937334026e-06,0.007902224386,4.937334026e-06
75,0.006527190709,4.185470503e-06,0.006527190709,4.185470503e-06
76,0.00666667256,3.703710254e-06,0.00666667256,3.703710254e-06
77,0.004430528021,2.453866869e-06,0.004430528021,2.453866869e-06
78,0.006111115731,4.012352047e-06,0.006111115731,4.012352047e-06
79,0.002777780121,1.543212481e-06,0.002777780121,1.543212481e-06
80,0.006296301715,3.635122893e-06,0.006296301715,3.635122893e-06
81,0.005555560587,3.086425343e-06,0.005555560587,3.086425343e-06
82,0.0033333366,2.469140667e-06,0.0033333366,2.469140667e-06
83,0.005883860942,3.809282512e-06,0.005883860942,3.809282512e-06
84,0.007189361083,3.976913546e-06,0.007189361083,3.976913546e-06
85,0.01125000947,7.572458201e-06,0.01125000947,7.572458201e-06
86,0.004240260281,2.551716469e-06,0.004240260281,2.551716469e-06
87,0.002777780356,1.543212742e-06,0.002777780356,1.543212742e-06
88,0.004444448443,3.086425312e-06,0.004444448443,3.086425312e-06
89,0.005781498791,3.49182811e-06,0.005781498791,3.49182811e-06
90,0.002222224123,1.234570013e-06,0.002222224123,1.234570013e-06
91,0.009632483657,6.162320675e-06,0.009632483657,6.162320675e-06
92,0.003864398939,2.13358345e-06,0.003864398939,2.13358345e-06
93,0.003333336275,1.85185512e-06,0.003333336275,1.85185512e-06
94,0.0105555658,8.950634837e-06,0.0105555658,8.950634837e-06
95,0.004444448776,2.469140616e-06,0.004444448776,2.469140616e-06
96,0.003850214828,2.118201876e-06,0.003850214828,2.118201876e-06
97,0.005555560194,3.086424907e-06,0.005555560194,3.086424907e-06
98,0.006944451166,5.324084474e-06,0.006944451166,5.324084474e-06
99,0.005555560903,3.70371088e-06,0.005555560903,3.70371088e-06
100,0.006475079401,4.144822053e-06,0.006475079401,4.144822053e-06
101,0.005273196506,4.084438402e-06,0.005273196506,4.084438402e-06
102,0.003246650307,1.763051785e-06,0.003246650307,1.763051785e-06
103,0.001666668333,9.259277777e-07,0.001666668333,9.259277777e-07
104,0.007500006811,4.398156179e-06,0.007500006811,4.398156179e-06
105,0.01068088613,6.029326497e-06,0.01068088613,6.029326497e-06
106,0.003333336188,1.851855024e-06,0.003333336188,1.851855024e-06
107,0.006499936494,4.159189133e-06,0.006499936494,4.159189133e-06
108,0.003333336497,1.851855366e-06,0.003333336497,1.851855366e-06
109,0.005222227444,3.074080222e-06,0.005222227444,3.074080222e-06
110,0.005544259798,3.073996602e-06,0.005544259798,3.073996602e-06
111,0.003703706408,2.94924954e-06,0.003703706408,2.94924954e-06
112,0.01130357656,1.259561339e-05,0.01130357656,1.259561339e-05
113,0.008114713447,5.434268609e-06,0.008114713447,5.434268609e-06
114,0.007591052989,4.154333532e-06,0.007591052989,4.154333532e-06
115,0.003888892667,2.160498025e-06,0.003888892667,2.160498025e-06
116,0.01717593919,1.054742715e-05,0.01717593919,1.054742715e-05
117,0.00361449914,2.53506567e-06,0.00361449914,2.53506567e-06
118,0.006666672582,3.703710276e-06,0.006666672582,3.703710276e-06
119,0.005555560275,4.938279288e-06,0.005555560275,4.938279288e-06
120,0.01277778972,7.561742585e-06,0.01277778972,7.561742585e-06
121,0.007777785178,4.320995876e-06,0.007777785178,4.320995876e-06
122,0.00500000473,2.777783032e-06,0.00500000473,2.777783032e-06
123,0.00657002396,3.605663592e-06,0.00657002396,3.605663592e-06
124,0.007661728554,5.153804569e-06,0.007661728554,5.153804569e-06
125,0.004074077836,3.223600064e-06,0.004074077836,3.223600064e-06
126,0.002158833298,1.168154122e-06,0.002158833298,1.168154122e-06
127,0.002500002467,1.620373556e-06,0.002500002467,1.620373556e-06
128,0.003333335651,2.469138618e-06,0.003333335651,2.469138618e-06
129,0.003233276988,1.76919777e-06,0.003233276988,1.76919777e-06
130,0.00330114261,1.817120786e-06,0.00330114261,1.817120786e-06
131,0.007222228814,4.012353001e-06,0.007222228814,4.012353001e-06
132,0.00386217094,2.74880639e-06,0.00386217094,2.74880639e-06
133,0.03302317458,2.223076721e-05,0.03302317458,2.223076721e-05
134,0.006366221457,3.460146097e-06,0.006366221457,3.460146097e-06
135,0.0006478465044,2.768535611e-07,0.0006478465044,2.768535611e-07
136,0.004962967198,3.116603294e-06,0.004962967198,3.116603294e-06
137,0.06177191434,4.1435445e-05,0.06177191434,4.1435445e-05
138,0.09682066495,4.283311541e-05,0.09682066495,4.283311541e-05
139,0.005199729782,3.537618856e-06,0.005199729782,3.537618856e-06
140,0.003852031192,2.738184276e-06,0.003852031192,2.738184276e-06
141,0.003541051019,1.862692862e-06,0.003541051019,1.862692862e-06
142,0.002409737561,2.04521793e-06,0.002409737561,2.04521793e-06
143,0.001666668258,9.259276936e-07,0.001666668258,9.259276936e-07
144,0.02041509233,1.221590526e-05,0.02041509233,1.221590526e-05
145,0.003329140772,2.459834296e-06,0.003329140772,2.459834296e-06
146,0.002777780093,1.543212449e-06,0.002777780093,1.543212449e-06
147,0.007133668615,4.125316537e-06,0.007133668615,4.125316537e-06
148,0.003580788905,2.49908553e-06,0.003580788905,2.49908553e-06
149,0.003945548491,2.226658931e-06,0.003945548491,2.226658931e-06
150,0.003333336339,3.703710746e-06,0.003333336339,3.703710746e-06
151,0.006626988205,4.10210827e-06,0.006626988205,4.10210827e-06
152,0.005333643029,2.936090659e-06,0.005333643029,2.936090659e-06
153,0.006666673102,4.320996039e-06,0.006666673102,4.320996039e-06
154,0.005555559416,3.086424043e-06,0.005555559416,3.086424043e-06
155,0.01494710214,9.104865478e-06,0.01494710214,9.104865478e-06
156,0.005555560799,3.08642558e-06,0.005555560799,3.08642558e-06
157,0.003444447654,2.604943167e-06,0.003444447654,2.604943167e-06
158,0.01201059105,6.92310867e-06,0.01201059105,6.92310867e-06
159,0.004907283748,3.197736357e-06,0.004907283748,3.197736357e-06
160,0.008888896839,5.555565624e-06,0.008888896839,5.555565624e-06
161,0.005965444176,3.788297698e-06,0.005965444176,3.788297698e-06
162,0.004518094246,4.408248195e-06,0.004518094246,4.408248195e-06
163,0.006147751154,3.437144751e-06,0.006147751154,3.437144751e-06
164,0.004444448322,2.469140113e-06,0.004444448322,2.469140113e-06
165,0.001666668283,9.259277222e-07,0.001666668283,9.259277222e-07
166,0.002023729388,1.053420371e-06,0.002023729388,1.053420371e-06
167,0.005634925675,3.798192876e-06,0.005634925675,3.798192876e-06
168,0.002777779264,1.543211528e-06,0.002777779264,1.543211528e-06
169,0.001666668333,9.259277773e-07,0.001666668333,9.259277773e-07
170,0.002979799573,1.808490845e-06,0.002979799573,1.808490845e-06
171,0.001666668331,9.259277756e-07,0.001666668331,9.259277756e-07
172,0.002751671182,1.514554283e-06,0.002751671182,1.514554283e-06
173,0.01321051772,7.953464446e-06,0.01321051772,7.953464446e-06
174,0.007944448846,4.521609948e-06,0.007944448846,4.521609948e-06
175,0.004056498754,2.127459344e-06,0.004056498754,2.127459344e-06
176,0.0243847174,1.636004584e-05,0.0243847174,1.636004584e-05
177,0.006103791538,5.238838081e-06,0.006103791538,5.238838081e-06
178,0.003333336632,1.851855517e-06,0.003333336632,1.851855517e-06
179,0.003333336423,1.851855285e-06,0.003333336423,1.851855285e-06
180,0.004777781818,2.950622345e-06,0.004777781818,2.950622345e-06
181,0.003333335915,2.469139702e-06,0.003333335915,2.469139702e-06
182,0.002222223966,1.234569839e-06,0.002222223966,1.234569839e-06
183,0.005489503872,3.017392464e-06,0.005489503872,3.017392464e-06
184,0.002777780341,1.543212724e-06,0.002777780341,1.543212724e-06
185,0.003730767347,2.009806429e-06,0.003730767347,2.009806429e-06
186,0.001111111943,6.172848754e-07,0.001111111943,6.172848754e-07
187,0.004629634172,3.326481178e-06,0.004629634172,3.326481178e-06
188,0.003518521676,2.091910453e-06,0.003518521676,2.091910453e-06
189,0.00305555793,1.929015447e-06,0.00305555793,1.929015447e-06
190,0.007551640093,4.419347653e-06,0.007551640093,4.419347653e-06
191,0.002777780223,1.543212594e-06,0.002777780223,1.543212594e-06
192,0.001728396405,9.983249953e-07,0.001728396405,9.983249953e-07
193,0.004015961846,2.176643967e-06,0.004015961846,2.176643967e-06
194,0.00436746133,2.852489723e-06,0.00436746133,2.852489723e-06
195,0.0049954365,2.772728088e-06,0.0049954365,2.772728088e-06
196,0.003611114153,2.203364435e-06,0.003611114153,2.203364435e-06
197,0.005555559654,3.086424306e-06,0.005555559654,3.086424306e-06
198,0.002754481506,1.51767381e-06,0.002754481506,1.51767381e-06
199,0.004691362243,3.604639977e-06,0.004691362243,3.604639977e-06
200,0.007777785103,4.320995792e-06,0.007777785103,4.320995792e-06
201,0.001111112066,6.172850112e-07,0.001111112066,6.172850112e-07
202,0.003017985006,1.600910509e-06,0.003017985006,1.600910509e-06
203,0.002934957116,1.567916775e-06,0.002934957116,1.567916775e-06
204,0.00388889138,2.160496595e-06,0.00388889138,2.160496595e-06
205,0.0192291111,1.208634121e-05,0.0192291111,1.208634121e-05
206,0.01714507479,9.89108538e-06,0.01714507479,9.89108538e-06
207,0.003578903579,2.658183438e-06,0.003578903579,2.658183438e-06
208,0.002916668652,1.716823283e-06,0.002916668652,1.716823283e-06
209,0.006361116307,3.704481337e-06,0.006361116307,3.704481337e-06
210,0.002407409517,1.474625342e-06,0.002407409517,1.474625342e-06
211,0.004952052935,3.344087738e-06,0.004952052935,3.344087738e-06
212,0,0,0,0
213,0.004511358487,2.60492855e-06,0.004511358487,2.60492855e-06
214,0.002211222099,1.22246658e-06,0.002211222099,1.22246658e-06
215,0.005229219333,3.189565668e-06,0.005229219333,3.189565668e-06
216,0.003333336666,2.46914074e-06,0.003333336666,2.46914074e-06
217,0.001657506135,1.522936482e-06,0.001657506135,1.522936482e-06
218,0.002453453689,1.519716985e-06,0.002453453689,1.519716985e-06
219,0.002222224044,1.234569925e-06,0.002222224044,1.234569925e-06
220,0.003743974543,3.177088734e-06,0.003743974543,3.177088734e-06
221,0.002777780017,1.543212364e-06,0.002777780017,1.543212364e-06
222,0.0005555560873,3.086425663e-07,0.0005555560873,3.086425663e-07
223,0.002707530933,1.798695914e-06,0.002707530933,1.798695914e-06
224,0.001111112074,6.172850209e-07,0.001111112074,6.172850209e-07
225,0.002777780301,1.54321268e-06,0.002777780301,1.54321268e-06
226,0.004027781142,2.334108847e-06,0.004027781142,2.334108847e-06
227,0.00444233613,2.966271654e-06,0.00444233613,2.966271654e-06
228,0.002291668958,1.316553559e-06,0.002291668958,1.316553559e-06
229,0.001666668191,9.259276196e-07,0.001666668191,9.259276196e-07
230,0.003444447067,1.987657345e-06,0.003444447067,1.987657345e-06
231,0.005000004664,3.395068146e-06,0.005000004664,3.395068146e-06
232,0.005740745318,3.326479984e-06,0.005740745318,3.326479984e-06
233,0.003888892337,2.160497658e-06,0.003888892337,2.160497658e-06
234,0.01115238271,6.890987946e-06,0.01115238271,6.890987946e-06
235,0.003148150608,2.091909866e-06,0.003148150608,2.091909866e-06
236,0,0,0,0
237,0.002962965874,1.783268255e-06,0.002962965874,1.783268255e-06
238,0.002222223859,1.23456972e-06,0.002222223859,1.23456972e-06
239,0.002777780291,2.160497854e-06,0.002777780291,2.160497854e-06
