E_keV,reaction,place_class,net_cph,sigma_cph,signif,found,origin
30.64,²⁷Al(n;γ),обшивка; силовой набор | C,-511.66355062567663,148.74503894640569,-3.439869687418846,0,
57.608,¹²⁷I(n;n′) (1-й уровень 57;608 кэВ; 7/2⁺; ENSDF) и ¹²⁷I(n;γ) 58;11,кристалл NaI/CsI — классический «йодный бугор» | B,-373.82843089217,239.01664124963958,-1.5640267930203529,0,
58.11,¹²⁷I(n;n′) (1-й уровень 57;608 кэВ; 7/2⁺; ENSDF) и ¹²⁷I(n;γ) 58;11,кристалл NaI/CsI — классический «йодный бугор» | B,124.16440007785604,239.63497592828904,0.5181397231221053,0,
75.26,мюонный X-ray C (2p–1s),композит; пластик; люди | C,509.33656795535035,235.88588478938246,2.1592498780082847,0,
78.08,³¹P(n;γ),кости пассажиров | D,-637.7234916764849,254.9791586432629,-2.501080853312851,0,
78.91,¹⁰⁷Ag(n;γ),контакты; припой | D,1113.7785087665552,253.82952761099548,4.38789970280159,0,
79.51,¹⁵⁷Gd(n;γ),кристалл GAGG | B,44.367365513165396,223.3188510110969,0.1986727287566097,0,
88.97,¹⁵⁵Gd(n;γ),кристалл GAGG | B,1043.0895267528626,241.1824024936891,4.324898980887117,1,gamma/primary/World 35.5%; gamma/eBrem/Pax 28.8%; gamma/annihil/Skin 6.5%
90.99,²³Na(n;γ),люди; NaI | C,-362.6681754129652,236.0121478192036,-1.5366504595805215,0,
102.4,мюонный X-ray N,воздух; люди | D,311.8145020828365,194.47670975019406,1.6033513857950559,0,
115.22,⁶⁴Zn(n;γ),сплав 7075 | D,-75.16015452218971,176.58416097361498,-0.42563361350070383,0,
116.61,¹³³Cs(n;γ),кристалл CsI | C,-128.86510263640048,171.92688733563404,-0.749534320276684,0,
133.54,мюонный X-ray O,воздух; люди; вода | C,49.060895238407966,155.92499558122137,0.31464419835658824,0,
133.61,¹²⁷I(n;γ),кристалл NaI/CsI | B,49.06089523838966,155.92499558122137,0.3146441983564709,0,
159.28,⁶³Cu(n;γ),проводка; сплав 2024 | C,-165.70678161354112,134.6509543734379,-1.2306394884805174,0,
170.82,²⁷Mg распад,активация Al | D,81.85381190181056,129.6566422827498,0.6313121368923559,0,
176.4,¹³³Cs(n;γ),кристалл CsI | B,411.35872079889054,131.9697913341903,3.1170672972968254,0,
181.93,¹⁵⁷Gd(n;γ),кристалл GAGG | A (для GAGG),-337.6350296867147,133.39058141374366,-2.531175935424231,0,
185.96,⁶⁵Cu(n;γ),проводка | D,-52.7544062019615,136.1834086492919,-0.38737763083767407,0,
199.21,¹⁵⁵Gd(n;γ),кристалл GAGG | A (для GAGG),-77.36079787787384,108.72972291135862,-0.7114963213963292,0,
205.62,¹³³Cs(n;γ),CsI | C,-225.60964470322392,104.56232388890508,-2.1576571398980064,0,
218.22,¹³⁹La(n;γ),LaBr₃ | B,-110.13752631685679,95.20503424579415,-1.1568456141984143,0,
238.63,²¹²Pb (Th-232),торированные сплавы; если есть | D (нет Th → нет линии),-69.4483328266976,86.5119429729386,-0.8027600634102208,0,
245.2,⁷⁹Br(n;γ),LaBr₃ | B,238.15125204177016,84.36169716936843,2.822978437283531,0,
250.23,мюонный X-ray Na,NaI; люди | D,-9.501588794924288,81.06105335755964,-0.11721521496905372,0,
278.25,⁶³Cu(n;γ),проводка | C,110.84199399477419,71.28485716580361,1.554916407238685,0,
287.74,⁸¹Br(n;γ),LaBr₃ | B,-154.52617633357977,67.48653075017278,-2.2897335900346922,0,
288.25,¹³⁹La(n;γ),LaBr₃ | B,-96.61461868017722,70.093009618663,-1.3783773760864815,0,
295.22,²¹⁴Pb (радон; T½=27;06 мин),на эшелоне практически отсутствует | D — диагностический признак,-37.56530612096492,65.7503974345277,-0.5713320008197873,0,
320.08,⁵¹Ti распад,активация Ti | D,-37.10330718271683,67.85995030267888,-0.5467629583756433,0,
339.42,⁵⁸Ni(n;γ),сталь; жаропрочные сплавы | D,1.213079323414263,53.610169353290026,0.022627783833699396,0,
341.71,⁴⁸Ti(n;γ),титановые узлы | B,-57.91002843364974,53.406818603284286,-1.084319005477861,0,
346.83,мюонный X-ray Al (2p–1s),обшивка — главная мишень мюонов | B,47.378093037827284,54.53173317276658,0.868816930643388,0,
351.93,²¹⁴Pb (радон; T½=27;06 мин),на эшелоне практически отсутствует | D — диагностический признак,-286.6683533490909,57.280977215561954,-5.004599559645948,0,
352.35,⁵⁶Fe(n;γ),сталь; крепёж | B,-189.45316277747628,51.158348759161164,-3.7032696983510442,0,
400.18,мюонный X-ray Si,электроника; стекло | D,76.24487529533235,41.90886277255877,1.8193019388074694,0,
412.88,мюонный X-ray Al (3p–1s),обшивка | C,-63.71116378066672,38.87962114573683,-1.63867758746545,0,
464.98,⁵⁸Ni(n;γ),сталь | C,170.8256885020724,42.82446119198632,3.9889746128093435,0,
465.14,⁶⁵Cu(n;γ),проводка | D,187.89433412858395,38.072600257183495,4.935158955767206,0,
472.2,²⁴Na распад,активация Al/Na | D,13.292301452783036,36.567237528951274,0.3635030248664302,0,
477.6,¹⁰B(n;αγ)⁷Li*,борсиликатное стекло; композиты | B; если бор есть,-3.566213394952239,34.123321805637765,-0.10450956138634307,0,
477.6,⁷Be распад,атмосферный аэрозоль | D,-3.566213394952239,34.123321805637765,-0.10450956138634307,0,
508.19,⁶⁹Ga(n;γ),GAGG | B,3089.5684894723317,96.91212705670854,31.880101936721065,1,gamma/primary/World 57.6%; gamma/annihil/Pax 23.6%; gamma/annihil/Skin 8.5%
511.0,e⁺e⁻-аннигиляция (π⁺→μ⁺→e⁺; рождение пар; ¹¹C/¹³N/⁶²Cu),везде; на 11 км на порядки сильнее; чем у земли | A,2825.7247111697834,98.68882340464647,28.632672005660396,1,gamma/primary/World 58.5%; gamma/annihil/Pax 23.5%; gamma/annihil/Skin 8.4%
512.49,⁸¹Br(n;γ),LaBr₃ | B,2885.8547572242046,96.60891109082814,29.871517281786048,1,gamma/primary/World 58.5%; gamma/annihil/Pax 23.5%; gamma/annihil/Skin 8.5%
512.65,³¹P(n;γ),кости | D,2943.7852350562707,96.57523600916178,30.481781424556946,1,gamma/primary/World 58.6%; gamma/annihil/Pax 23.6%; gamma/annihil/Skin 8.5%
517.07,³⁵Cl(n;γ),ПВХ-проводка; соль тела | B,-1.113863453433133,34.214136223952906,-0.03255565027689726,0,
519.66,⁴⁰Ca(n;γ),скелет пассажиров | C,41.47244837531669,64.93276134835756,0.6386983629545845,0,
558.32,¹¹³Cd(n;γ),кадмированный крепёж | B; если Cd есть,60.162792925752456,28.106031021637857,2.140565235960752,0,
564.05,⁵²Cr(n;γ),нержавеющая сталь | C,-64.97548835707303,30.363813096270928,-2.1398988378390746,0,
578.6,мюонный X-ray Cl,ПВХ | D,-4.95104319025484,27.834756117257648,-0.17787269877263898,0,
583.19,²⁰⁸Tl (Th-232),торированные сплавы | D,76.65218403085052,27.768486797793972,2.7604019113112077,0,
585.0,²⁴Mg(n;γ),Mg в сплавах 2024/7075 | C,-124.81805013379605,32.57728205156883,-3.8314445611580776,0,
608.77,⁶³Cu(n;γ),проводка | D,22.873543911527232,23.714883693344415,0.9645227110241614,0,
