comp,layer,class,abs_Gy_s,eq_Sv_s,sig_eq
em,0,0,1.71018e-12,1.71018e-12,2.11196e-14
em,0,1,1.04041e-15,5.86528e-15,5.86528e-15
em,0,2,3.07439e-11,3.07439e-11,1.0632e-13
em,0,3,0,0,0
em,0,4,3.09753e-15,6.19507e-15,2.46544e-15
em,0,5,7.2241e-15,1.43659e-13,1.43568e-13
em,1,0,2.84991e-12,2.84991e-12,2.83877e-14
em,1,1,1.07148e-15,1.06835e-14,7.21878e-15
em,1,2,2.67814e-11,2.67814e-11,9.90672e-14
em,1,3,0,0,0
em,1,4,1.57109e-15,3.14218e-15,1.58579e-15
em,1,5,8.19494e-17,1.63899e-16,1.15931e-16
em,2,0,3.36783e-12,3.36783e-12,4.03911e-14
em,2,1,7.06907e-22,6.51759e-21,4.78111e-21
em,2,2,2.41606e-11,2.41606e-11,1.132e-13
em,2,3,0,0,0
em,2,4,2.4686e-15,4.9372e-15,2.67879e-15
em,2,5,1.51543e-16,3.03086e-16,2.15868e-16
em,3,0,3.19396e-12,3.19396e-12,2.13721e-14
em,3,1,5.43111e-16,4.46008e-15,1.39868e-15
em,3,2,2.49702e-11,2.49702e-11,7.02088e-14
em,3,3,0,0,0
em,3,4,2.1796e-15,4.35921e-15,2.04208e-15
em,3,5,4.65326e-16,1.15664e-15,6.95155e-16
ep,0,0,2.14184e-12,2.14184e-12,2.90106e-14
ep,0,1,1.0252e-15,8.783e-15,6.42498e-15
ep,0,2,2.74755e-11,2.74755e-11,1.03353e-13
ep,0,3,0,0,0
ep,0,4,1.12885e-15,2.2577e-15,1.35419e-15
ep,0,5,3.0659e-15,6.13181e-15,3.0564e-15
ep,1,0,3.46596e-12,3.46596e-12,3.27582e-14
ep,1,1,1.50561e-15,2.19308e-14,1.50363e-14
ep,1,2,2.45005e-11,2.45005e-11,9.70053e-14
ep,1,3,0,0,0
ep,1,4,6.5674e-16,1.31348e-15,1.31348e-15
ep,1,5,4.89924e-15,9.79848e-15,5.55304e-15
