E_keV,reaction,place_class,net_cph,sigma_cph,signif,found,origin
30.64,²⁷Al(n;γ); выход на 100 захватов: 34.55,skin; structural framing | C,105.12544216472467,5.863483175091011,17.92883837567982,0,
57.608,¹²⁷I(n;n′) (1st level 57.608 keV; 7/2⁺; ENSDF) and ¹²⁷I(n;γ) 58.11; выход на 100 захватов: 4.52 (capture),NaI/CsI crystal — the classic "iodine escape bump" | B,135.60537705662563,7.5198486227021775,18.03299293116585,1,gamma/primary/World 80.4%; neutron/primary/World 9.4%; gamma/eBrem/Pax 2.9%
58.11,¹²⁷I(n;n′) (1st level 57.608 keV; 7/2⁺; ENSDF) and ¹²⁷I(n;γ) 58.11; выход на 100 захватов: 4.52 (capture),NaI/CsI crystal — the classic "iodine escape bump" | B,136.45470462398458,7.49991670614865,18.194162678115486,1,gamma/primary/World 81.0%; neutron/primary/World 9.9%; gamma/eBrem/Pax 2.5%
75.26,muonic X-ray C (2p–1s),composite; plastic; people | C,19.591271950657976,6.232453826868472,3.1434283341496827,0,
78.08,³¹P(n;γ); выход на 100 захватов: 34.30,passengers' bones | D,35.349517160932294,6.941472029671815,5.092510206744084,1,gamma/primary/World 75.6%; gamma/eBrem/Pax 10.7%; gamma/eBrem/Skin 4.6%
78.91,¹⁰⁷Ag(n;γ); выход на 100 захватов: 10.37,contacts; solder | D,47.673943924559026,6.793941083922774,7.01712648603547,1,gamma/primary/World 74.4%; gamma/eBrem/Pax 9.8%; gamma/eBrem/Skin 3.1%
79.51,¹⁵⁷Gd(n;γ); выход на 100 захватов: 1.58,GAGG crystal | B,45.206687848599174,6.098990751473136,7.412158780152283,1,gamma/primary/World 78.6%; gamma/eBrem/Pax 6.7%; gamma/annihil/Pax 4.3%
88.97,¹⁵⁵Gd(n;γ); выход на 100 захватов: 2.27,GAGG crystal | B,32.25240449276073,7.033877800687254,4.585294969100753,0,
90.99,²³Na(n;γ); выход на 100 захватов: 44.34,people; NaI | C,6.460206625111493,6.577722155706852,0.98213431218079,0,
102.4,muonic X-ray N,air; people | D,1.8990328035921031,5.737680931081107,0.3309756722973236,0,
115.22,⁶⁴Zn(n;γ); выход на 100 захватов: 15.18,7075 alloy | D,46.79098287094226,6.436679254812085,7.269429005020119,1,neutron/primary/World 40.6%; gamma/primary/World 25.5%; gamma/annihil/Skin 11.1%
116.61,¹³³Cs(n;γ); выход на 100 захватов: 4.75,CsI crystal | C,43.33027557457356,6.430647258606504,6.738089313883944,1,neutron/primary/World 29.2%; gamma/primary/World 18.6%; gamma/eBrem/Skin 16.6%
133.54,muonic X-ray O,air; people; water | C,107.79803614893514,6.649420638020853,16.211643392291148,1,neutron/primary/World 66.4%; gamma/eBrem/Pax 6.5%; gamma/primary/World 4.2%
133.61,¹²⁷I(n;γ); выход на 100 захватов: 22.90,NaI/CsI crystal | B,107.798036148935,6.649420638020853,16.211643392291126,1,neutron/primary/World 70.5%; gamma/eBrem/Pax 8.5%; gamma/eBrem/Skin 3.8%
137.85,¹²⁷I(n;γ)¹²⁸I; isomeric level 4⁻; T½=845 ns (populated via a cascade through the 167.4 keV level; T½=175 ns; nearly all cascade energy is absorbed in the crystal — Yoon et al.; NIM A 848 (2017) 162; arXiv:1608.02409); выход на 100 захватов: ≥0.07 (direct population per our emitter database; higher when the 167.4 keV cascade is included),NaI/CsI crystal | B,335.5270024330882,9.18590455852342,36.52628876072518,1,neutron/primary/World 65.0%; gamma/primary/World 20.0%; gamma/eBrem/Floor 2.1%
159.28,⁶³Cu(n;γ); выход на 100 захватов: 14.34,wiring; 2024 alloy | C,66.18684184115625,5.71022001036168,11.59094425802414,1,neutron/primary/World 57.5%; gamma/annihil/Pax 10.6%; gamma/annihil/Floor 5.2%
170.82,²⁷Mg decay,Al activation | D,20.72165464718184,4.987324808544156,4.154863667929154,1,gamma/primary/World 75.9%; gamma/annihil/Floor 5.7%; gamma/eBrem/Skin 3.9%
176.4,¹³³Cs(n;γ); выход на 100 захватов: 8.15,CsI crystal | B,59.62342387814501,6.112900180855718,9.753704806905352,1,neutron/primary/World 67.4%; gamma/annihil/Pax 12.7%; e+-/eIoni/Pax 3.0%
181.93,¹⁵⁷Gd(n;γ); выход на 100 захватов: 2.84,GAGG crystal | A (for GAGG),-31.09407825204334,5.918635185179665,-5.2535892615755895,0,
185.96,⁶⁵Cu(n;γ); выход на 100 захватов: 11.24,wiring | D,2.5067712069086934,6.143687882273176,0.40802385390404683,0,
199.21,¹⁵⁵Gd(n;γ); выход на 100 захватов: 3.32,GAGG crystal | A (for GAGG),-135.24205545163736,5.1357093727251595,-26.333666030613784,0,
205.62,¹³³Cs(n;γ); выход на 100 захватов: 5.15,CsI | C,77.25837999111455,5.557024448101739,13.902832480340402,1,neutron/primary/World 59.3%; gamma/annihil/Floor 7.1%; gamma/annihil/Skin 6.4%
218.22,¹³⁹La(n;γ); выход на 100 захватов: 8.63,LaBr₃ | B,0.6165486786595054,4.402395034693829,0.1400484676637802,0,
238.63,²¹²Pb (Th-232),thoriated alloys; if present | D (no Th → no line),-11.744683412382106,3.860947094983777,-3.041917727295731,0,
245.2,⁷⁹Br(n;γ); выход на 100 захватов: 7.75,LaBr₃ | B,39.79083619018032,4.328812940402617,9.192089549260917,1,gamma/primary/World 69.3%; gamma/annihil/Trim 11.3%; e+-/conv/Pax 4.7%
250.23,muonic X-ray Na,NaI; people | D,5.515961911043207,3.6321034178002316,1.5186687372420486,0,
278.25,⁶³Cu(n;γ); выход на 100 захватов: 19.76,wiring | C,-59.253593643634574,3.7440428751739088,-15.826099117757105,0,
287.74,⁸¹Br(n;γ); выход на 100 захватов: 10.72,LaBr₃ | B,24.047724071999028,3.9790109711951054,6.043643570245356,1,neutron/primary/World 38.0%; gamma/eBrem/Floor 14.2%; gamma/eBrem/Trim 9.1%
288.25,¹³⁹La(n;γ); выход на 100 захватов: 8.08,LaBr₃ | B,65.87537633430125,4.571861411703432,14.408874286011375,1,neutron/primary/World 42.5%; gamma/eBrem/Floor 13.2%; gamma/eBrem/Trim 8.1%
295.22,²¹⁴Pb (radon; T½=27.06 min),practically absent at cruise altitude | D — a diagnostic signature,53.81943691044896,4.262288099464704,12.62688857592899,1,neutron/primary/World 35.6%; gamma/primary/World 29.7%; gamma/eBrem/Pax 8.3%
320.08,⁵¹Ti decay,Ti activation | D,-1.8713813127768981,3.5168244850197232,-0.5321224646689762,0,
339.42,⁵⁸Ni(n;γ); выход на 100 захватов: 3.71,steel; heat-resistant alloys | D,-8.59564636804839,2.9661070164895316,-2.8979555762022273,0,
341.71,⁴⁸Ti(n;γ); выход на 100 захватов: 23.35,titanium parts | B,13.045980597561378,3.2423271370524724,4.023647228089757,1,gamma/annihil/Pax 35.7%; neutron/primary/World 22.6%; gamma/eBrem/Skin 21.5%
346.83,muonic X-ray Al (2p–1s),skin — the main muon target | B,22.808808798517525,3.209018312511914,7.107721607441853,1,gamma/primary/World 72.3%; neutron/primary/World 10.8%; gamma/eBrem/Trim 4.2%
351.93,²¹⁴Pb (radon; T½=27.06 min),practically absent at cruise altitude | D — a diagnostic signature,-9.306140070770796,3.2997054973667743,-2.820294137824502,0,
352.35,⁵⁶Fe(n;γ); выход на 100 захватов: 10.54,steel; fasteners | B,-1.2656022370722027,2.869703625032276,-0.44102193203243006,0,
400.18,muonic X-ray Si,electronics; glass | D,-3.948667116759892,2.7532445443105704,-1.4341868487198484,0,
412.88,muonic X-ray Al (3p–1s),skin | C,-6.514422706148966,2.7807975857499336,-2.3426454120687596,0,
464.98,⁵⁸Ni(n;γ); выход на 100 захватов: 18.73,steel | C,14.316450487903635,3.3188348826313945,4.313697726520397,0,
