E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,537.92019324,33.905258991159464
21.5,479.75635583999997,32.5019512299431
22.5,529.79870052,34.390639425983345
23.5,470.46574008,31.598356726462853
24.5,533.60015364,33.83805493303657
25.5,1248.9933744,52.863295174932105
26.5,531.8478576,33.68286015342522
27.5,496.0737327599999,31.189666034300526
28.5,693.0274427999999,38.7831647100646
29.5,620.74930572,43.36549806064725
30.5,591.57795492,34.966530706880256
31.5,686.9751408,37.79133296638265
32.5,663.11232264,38.10059711721065
33.5,693.56811312,38.20453228547628
34.5,576.77707476,34.48019880453128
35.5,750.11874732,40.640736639583686
36.5,784.59015924,40.351830255590635
37.5,820.5420085200001,41.87320624208277
38.5,938.92331448,46.37181928059325
39.5,962.78199948,46.11966856602506
40.5,1039.87551492,48.35504327699439
41.5,1106.5496292,50.6438518051698
42.5,1225.76862492,52.26145807747809
43.5,1214.34668856,53.870555605228354
44.5,1426.77218736,57.33147255628448
45.5,1395.41241132,56.59290957665987
46.5,1482.3940968,60.67676819159043
47.5,1580.60219112,60.063552791622314
48.5,1695.80784348,62.33526442610154
49.5,1683.68053284,62.37959355827834
50.5,1742.5476806400002,63.14157525903199
51.5,1718.127792,62.725448443195695
52.5,1786.23504648,64.31301727208886
53.5,1759.18432968,63.31690163626139
54.5,1865.07463896,64.66422876366809
55.5,1962.7554081600001,66.64028853947137
56.5,1942.55716068,66.46112125120972
57.5,1941.04858896,66.99510722887157
58.5,1918.77267348,66.33453432100055
59.5,1871.35765812,65.37892534093842
60.5,2162.59799832,68.13208857670517
61.5,1929.9507505200002,66.47320373527967
62.5,1772.25247404,62.89250106154151
63.5,1954.6325618399999,66.51746104186479
64.5,1986.08830056,67.8536497994323
65.5,1926.9225795600003,66.46800981946127
66.5,1885.2582949199998,66.32947074415715
67.5,1916.5655822400001,65.84887846880918
68.5,1768.12485156,62.855136159012496
69.5,1933.7443592399998,66.29978642246142
70.5,1786.2803384400002,63.42024221335015
71.5,1758.277953,63.595688360265434
72.5,1772.81645616,64.11029617189426
73.5,1923.1182925199998,65.82440004290203
74.5,1688.65361928,61.20336579097591
75.5,2100.9683412,69.14394967891262
76.5,1825.6771314,64.65958036745987
77.5,1713.16741644,62.294509358433835
78.5,1768.63286268,64.15593479852039
79.5,1634.26845024,61.079973967774414
80.5,1655.03830536,60.99802839830153
81.5,1560.72094488,59.383463640040404
82.5,1521.2292663599999,57.52673571702118
83.5,1529.42427612,58.255634458891606
84.5,1690.13190132,61.68833066971419
85.5,1639.18160964,59.96304313825308
86.5,1464.02364312,57.62811878907726
87.5,1483.03569168,57.6145667730653
88.5,1418.14803168,56.390797425821184
89.5,1365.28081488,55.62221466658803
90.5,1392.419511,56.01861251876915
91.5,1336.75458228,54.149147934792104
92.5,1414.6469503199999,55.8971319159758
93.5,1408.5439862399999,56.522580602233646
94.5,1255.4474328,53.48995148848053
95.5,1404.86876892,56.08939810195862
96.5,1428.58358496,56.38782746047235
97.5,1277.34831144,53.48372601993993
98.5,1258.85812752,53.019564807719796
99.5,1333.4472849600002,54.52984205207274
100.5,1150.4711847600001,50.6826514678149
101.5,1181.46291228,51.36365992426941
102.5,1088.37875592,48.758780106315214
103.5,1235.33771112,54.53634143372656
104.5,1070.3447946000001,48.32257334670827
105.5,1174.0963759200001,50.21248616047606
106.5,1161.24971796,50.72589309455281
107.5,1101.6232819200002,49.07995490169077
108.5,1124.05273992,50.50508811135765
109.5,1061.6514609600001,47.5736983781585
110.5,1018.5655194,47.496354212423505
111.5,1064.7243126,48.63579198031014
112.5,1048.79187252,48.020660748973455
113.5,1028.48257728,47.20704837271655
114.5,1019.80281528,47.18755026877323
115.5,960.90911496,45.622419659110584
116.5,1013.40711432,46.4947202313553
117.5,974.16036468,46.78814470918889
118.5,1004.87604528,47.36488395577466
119.5,945.3828855600001,46.4259717370353
120.5,962.373618,46.68375691000029
121.5,1004.8268098799999,47.63249954256022
122.5,837.8479717199999,42.87942424613465
123.5,862.2866811600001,44.010034483422075
124.5,880.7663678399999,43.29698575651659
125.5,813.4015557600001,42.34198829587482
126.5,896.32606392,45.178074962972914
127.5,851.79345156,43.08361255215259
128.5,795.57540084,40.99654409825297
129.5,816.92460756,42.07527870453148
130.5,757.5745838400001,40.535572937359596
131.5,882.27183384,43.91635458313907
132.5,772.47231552,40.76576775383974
133.5,943.97944752,44.17661217486013
134.5,745.44882012,41.16306472263697
135.5,734.0141631600001,40.45933757124553
136.5,761.2666282800001,41.373755460581535
137.5,971.2507575600001,41.95357839250426
138.5,1051.34344776,41.654176480732396
139.5,784.0266282,40.84952206976233
140.5,677.1716478,37.734924435170136
141.5,809.67825468,42.89303371467213
142.5,775.69129188,42.24324355557939
143.5,671.85283788,38.66302363013012
144.5,737.4507894,39.5278201307383
145.5,589.9992083999999,35.32734722290934
146.5,678.8036775600001,38.62153385208826
147.5,710.3325006,40.353430879864476
148.5,610.7461837200001,36.13098862417136
149.5,628.4955754800001,37.48354167343316
150.5,608.1362154000001,36.465700547445955
151.5,620.06230656,36.51707199675243
152.5,641.80591596,37.252203845249205
153.5,531.91579788,33.06151107733584
154.5,611.1787284,36.910633587842945
155.5,594.3256149599999,34.519471777696715
156.5,620.88396444,36.75495519181053
157.5,591.74926884,36.82202654194905
158.5,665.6177538,36.16612967559564
159.5,495.05623884,32.00669133228238
160.5,532.01602116,34.00683908096135
161.5,510.79316867999995,33.00738416519552
162.5,530.2589036400001,36.45979079172013
