E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,18.0563619708,1.5197036716728693
21.5,16.8431255532,1.4512295767493164
22.5,15.9402174912,1.4228824215991989
23.5,14.935606326,1.3893405025061352
24.5,19.170099003599997,1.6726559539845605
25.5,18.9671013756,1.6303568020283168
26.5,13.3712715672,1.4466952277905667
27.5,45.345595464,2.444389425308496
28.5,16.6538968488,1.6633434834212686
29.5,28.7901697104,1.9776571293689917
30.5,17.1902476944,1.518784903385598
31.5,50.027619636000004,2.3896359380993584
32.5,10.6134020964,1.1440382327807057
33.5,13.8034840248,1.2948676423109815
34.5,17.0656802136,1.4381661568984303
35.5,13.421862234,1.3411193373477246
36.5,14.5154980008,1.3676541535461366
37.5,11.551009496399999,1.24982895307798
38.5,22.9816612008,1.835730135108099
39.5,13.8016174428,1.3699871824801866
40.5,13.3008124068,1.3021009035370492
41.5,17.9779604436,1.5945315510857727
42.5,16.575815304000002,1.571767175659296
43.5,14.3325739692,1.4711384900518374
44.5,18.8359261236,1.5802751488724993
45.5,18.15624378,1.5850214713246
46.5,17.0702535204,1.5354425701484247
47.5,17.0494113132,1.649406621638218
48.5,17.184525516,1.5276503121644036
49.5,17.9507660652,1.5528630954878155
50.5,19.9749458304,1.6252512541905637
51.5,20.257153930799998,1.6647807580195055
52.5,22.965480738,1.7469534449938842
53.5,17.4473905644,1.590178825536298
54.5,17.7627756888,1.6139827966815508
55.5,21.3377984748,1.8393463635715812
56.5,17.7578636652,1.7145057214392723
57.5,23.2046420472,1.9042368071854932
58.5,24.270177150000002,1.7961209685898107
59.5,22.989201174,1.7778691324661664
60.5,175.16700882,4.911446137243083
61.5,19.815884064,1.581266346505863
62.5,20.775200392800002,1.8137493815629546
63.5,20.9850928452,1.7303645324797892
64.5,24.3863145144,1.8035019738630729
65.5,27.4118283756,2.2283643902485966
66.5,21.207058614,1.7407549948777974
67.5,22.1958872172,1.6634247401406532
68.5,23.7419855532,1.7720027856321219
69.5,21.3558981264,1.9183352772693307
70.5,20.9813207868,1.6378796274012324
71.5,21.242015568,1.7214475012337729
72.5,21.4061707116,1.704733148801888
73.5,28.5210965844,1.9639313820762678
74.5,20.3473226844,1.6539216574094433
75.5,25.5121862796,1.8845561915825169
76.5,23.6061966528,1.8147700151280877
77.5,26.8680755124,1.976942451787608
78.5,27.685124406,1.9166978381581172
79.5,21.3156939888,1.8384648216117707
80.5,21.966068527199997,1.7178059247959299
81.5,22.363148422800002,1.972054908274108
82.5,18.596605068,1.577249792833082
83.5,19.867079739599998,1.564917510557026
84.5,22.0705056972,1.7819868803153407
85.5,44.178803388,2.442352347504348
86.5,18.3306799836,1.6159396572100087
87.5,20.737776798000002,1.6405138573946885
88.5,20.6327817072,1.7383814011660388
89.5,21.9435922764,1.7068494422039688
90.5,25.2034000488,1.8035458026587516
91.5,28.586684844,1.938372698317844
92.5,25.5072171204,2.009011106649239
93.5,16.515182545200002,1.430431467439108
94.5,20.4431593284,1.6701803390053422
95.5,17.200910988,1.506370339915122
96.5,26.148860888399998,1.9155115725883778
97.5,17.8677309024,1.6203191881552226
98.5,25.4814538356,1.9615707161191003
99.5,19.279576782,1.6062524291928713
100.5,20.5662081852,1.625373476195548
101.5,18.284069340000002,1.5711975923250392
102.5,20.1055799232,1.616968935196963
103.5,12.7612801908,1.2279744584900778
104.5,22.3379806356,1.786159968043176
105.5,29.2866075612,2.0528082227271014
106.5,24.1752982788,1.8248091728309568
107.5,22.3983244476,1.7874195649684492
108.5,13.7071584072,1.3715301435754157
109.5,37.357253316,2.2260170630289426
110.5,20.580335078399997,1.6456984311495226
111.5,13.6380274416,1.3790638965733242
112.5,19.8865520496,1.8045061934257802
113.5,18.9760811112,1.6931712253543645
114.5,22.8333411144,1.8457980580334352
115.5,15.914768680800002,1.3964071003085026
116.5,70.22387829600001,3.1977238312424667
117.5,19.763885199599997,1.6531728294694417
118.5,34.331338188,2.192423462534553
119.5,14.334064243199999,1.4289357391961333
120.5,22.468740008399998,1.7277346082451437
121.5,15.3527745168,1.4128952906935461
122.5,16.927851056399998,1.7310611402304656
123.5,21.3552999504,1.6925734203655687
124.5,22.024704528,1.7194817323740312
125.5,15.751914390000001,1.4358501445318033
126.5,14.932492632,1.3759982761093854
127.5,12.905625131999999,1.3519300304438837
128.5,22.167346136400003,1.9285018819757476
129.5,16.0190029656,1.4643094922863815
130.5,20.991955824,1.6534465144878439
131.5,20.5903771596,1.6683263709622287
132.5,16.3317419784,1.7152554336984331
133.5,107.53189992,3.9592839279849583
134.5,15.063317514,1.4715240962430753
135.5,12.970342994400001,1.2804779880091652
136.5,20.822472036,1.6620937116829484
137.5,198.53937593999999,5.351794348335892
138.5,325.945837152,5.620031582146136
139.5,15.634778724,1.456649668025912
140.5,15.9330690684,1.4079756085046362
141.5,15.698304622799998,1.64442506204205
142.5,15.230394626399999,1.5463453250448298
143.5,11.1935356344,1.1854801224415363
144.5,72.700920972,3.1264594828527685
145.5,16.0709625504,1.528240640024993
146.5,11.1817549548,1.1877241294240004
147.5,25.7099530536,1.8278563563475114
148.5,11.839641991199999,1.343587921755774
149.5,16.2436052268,1.5192848962061065
150.5,16.3601209368,1.4695914395667933
151.5,21.34649376,1.6958472446491164
152.5,14.925131802000001,1.4239922493216035
153.5,13.7641991148,1.3836947613169603
154.5,15.0656115564,1.5633569676666939
155.5,45.878931936,2.4619981056239664
156.5,17.004803598000002,1.4545887765605783
157.5,16.2221732496,1.5704878532023099
158.5,66.36863376000001,3.098960113392878
159.5,16.6429554804,1.4609524466511565
160.5,20.697391548,1.76178797393557
161.5,15.061503128400002,1.4305444890110899
162.5,12.814868095200001,1.268479236635744
163.5,15.078472225200002,1.5022110096308041
164.5,12.55088763,1.3127174362519909
165.5,13.5880196256,1.4892826650867859
166.5,11.8337147676,1.234861500217737
167.5,16.9395719724,1.5181638157300417
168.5,13.316646369599999,1.3503202607322455
169.5,10.822652758799999,1.1711291307247036
170.5,14.7347807904,1.4083446089874452
171.5,11.9219924772,1.3057811261126422
172.5,9.626500263599999,1.1473345331994502
173.5,38.9653578,2.2740309288872917
174.5,19.0386411768,1.5867584418505547
175.5,8.6087747664,1.0542548340457347
176.5,101.00188882799999,3.8120823454065103
177.5,12.6068946696,1.305383877829047
178.5,13.8587369796,1.3231997589600748
179.5,13.2260341212,1.396446614369486
180.5,17.978698695600002,1.5522665680507326
181.5,15.6453679008,1.4847796396502748
182.5,10.68416946,1.2421533661830972
183.5,28.841035939199998,2.0442012801991885
184.5,14.9932587708,1.4535525679658097
185.5,11.9624640804,1.2665586879477793
186.5,8.998586625600002,1.1142325702186235
187.5,7.7326462188,1.0991550365672715
188.5,10.5754060908,1.167517125589171
189.5,12.6848663676,1.3075791201391982
190.5,32.558370408,2.1636884081438343
191.5,10.708167463199999,1.25914599321286
192.5,13.5234349128,1.3988267023988354
193.5,32.8326887556,2.0897865695692466
194.5,12.2220768024,1.3064001856154186
195.5,11.0834970336,1.2554036448186696
196.5,16.1605690164,1.479862794618474
197.5,33.0509172996,2.035556595846944
198.5,11.269802916,1.202135673820555
199.5,10.5603496596,1.1560190828874755
200.5,12.5305854516,1.3044403834043163
201.5,8.004919895999999,0.9884317047047813
202.5,16.2174177036,1.637816320866293
203.5,7.604996075999999,0.9898390244980242
204.5,11.555748187199999,1.2410782113243306
205.5,47.671666812,2.560822288665889
206.5,64.0583379,2.9492085069482625
207.5,12.3711974712,1.3039824727165623
208.5,9.6631063092,1.1439392939907256
209.5,32.062565588400005,2.0295569979756665
210.5,8.7399216504,1.0265939259270922
211.5,13.9619120364,1.3886316897781066
212.5,11.5600383216,1.2780203241200823
213.5,9.4423448952,1.0846841701612502
214.5,9.511386469200001,1.1409698697932387
215.5,7.450400080800001,0.9474883316440367
216.5,8.7214931208,1.1301264961799629
217.5,7.2712211796,0.9791061191466429
218.5,8.345304702,1.089091500777414
219.5,11.478477938400001,1.349755553708893
220.5,10.8148260996,1.169927717521044
221.5,8.5363590024,1.0466818734251586
222.5,7.5990468204,1.0269711260276018
223.5,8.1847271952,0.9923561066206024
224.5,10.1279542428,1.155226050897399
