E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,535.824351,10.152767
21.5,555.679349,10.198231
22.5,577.053799,10.319417
23.5,598.575615,10.503314
24.5,618.350188,10.688412
25.5,634.640804,10.802228
26.5,646.623717,10.808627
27.5,654.816821,10.725502
28.5,660.973402,10.602315
29.5,667.531795,10.482936
30.5,676.934826,10.388354
31.5,691.131535,10.326909
32.5,711.388268,10.310502
33.5,738.352567,10.357432
34.5,772.212029,10.483316
35.5,812.830517,10.691994
36.5,859.815485,10.973733
37.5,912.544478,11.309896
38.5,970.194960,11.679641
39.5,1031.790974,12.064925
40.5,1096.266498,12.452393
41.5,1162.525579,12.832660
42.5,1229.491801,13.198501
43.5,1296.139680,13.543365
44.5,1361.518776,13.860889
45.5,1424.774506,14.145371
46.5,1485.172886,14.392681
47.5,1542.121631,14.601121
48.5,1595.184321,14.771828
49.5,1644.078823,14.908544
50.5,1688.661581,15.016776
51.5,1728.895182,15.102494
52.5,1764.810156,15.170754
53.5,1796.467678,15.224671
54.5,1823.935431,15.265100
55.5,1847.277226,15.291124
56.5,1866.559033,15.301109
57.5,1881.866352,15.293864
58.5,1893.324229,15.269460
59.5,1901.115574,15.229408
60.5,1905.488549,15.176239
61.5,1906.753378,15.112738
62.5,1905.267638,15.041224
63.5,1901.415347,14.963187
64.5,1895.581051,14.879397
65.5,1888.124012,14.790385
66.5,1879.355203,14.696996
67.5,1869.518369,14.600698
68.5,1858.778510,14.503466
69.5,1847.216874,14.407233
70.5,1834.834771,14.313150
71.5,1821.566220,14.220959
72.5,1807.298194,14.128771
73.5,1791.898055,14.033374
74.5,1775.243178,13.930980
75.5,1757.248954,13.818202
76.5,1737.891300,13.692945
77.5,1717.219141,13.554962
78.5,1695.356489,13.405932
79.5,1672.493328,13.249048
80.5,1648.867379,13.088270
81.5,1624.741505,12.927471
82.5,1600.379592,12.769735
83.5,1576.026013,12.616991
84.5,1551.890259,12.470034
85.5,1528.137495,12.328859
86.5,1504.885384,12.193116
87.5,1482.205680,12.062492
88.5,1460.128476,11.936877
89.5,1438.648579,11.816298
90.5,1417.732935,11.700684
91.5,1397.327432,11.589619
92.5,1377.364746,11.482183
93.5,1357.771773,11.376985
94.5,1338.477469,11.272375
95.5,1319.420692,11.166761
96.5,1300.556049,11.058937
97.5,1281.858483,10.948317
98.5,1263.325212,10.835020
99.5,1244.974375,10.719795
100.5,1226.841710,10.603819
101.5,1208.974857,10.488427
102.5,1191.426000,10.374860
103.5,1174.244899,10.264076
104.5,1157.472620,10.156663
105.5,1141.136908,10.052860
106.5,1125.249494,9.952643
107.5,1109.806350,9.855854
108.5,1094.788883,9.762304
109.5,1080.167002,9.671846
110.5,1065.903154,9.584383
111.5,1051.956417,9.499822
112.5,1038.286535,9.418014
113.5,1024.858079,9.338671
114.5,1011.643097,9.261329
115.5,998.623549,9.185341
116.5,985.792807,9.109923
117.5,973.156253,9.034259
118.5,960.730877,8.957615
119.5,948.544488,8.879472
120.5,936.633230,8.799628
121.5,925.038537,8.718255
122.5,913.803386,8.635892
123.5,902.967881,8.553387
124.5,892.564392,8.471776
125.5,882.613016,8.392143
126.5,873.117927,8.315473
127.5,864.063998,8.242523
128.5,855.415252,8.173737
129.5,847.114770,8.109207
130.5,839.086500,8.048678
131.5,831.237999,7.991598
132.5,823.466195,7.937191
133.5,815.662754,7.884543
134.5,807.720810,7.832687
135.5,799.541809,7.780680
136.5,791.041851,7.727662
137.5,782.156823,7.672907
138.5,772.846411,7.615853
139.5,763.096568,7.556128
140.5,752.919555,7.493560
141.5,742.352559,7.428178
142.5,731.454521,7.360207
143.5,720.301733,7.290043
144.5,708.982403,7.218226
145.5,697.590834,7.145397
146.5,686.222092,7.072249
147.5,674.966680,6.999475
148.5,663.906338,6.927718
149.5,653.110990,6.857531
150.5,642.636897,6.789351
151.5,632.525924,6.723485
152.5,622.805856,6.660114
153.5,613.491928,6.599308
154.5,604.588449,6.541054
155.5,596.090955,6.485278
156.5,587.988494,6.431878
157.5,580.265592,6.380734
158.5,572.904132,6.331720
159.5,565.884233,6.284701
160.5,559.185765,6.239518
161.5,552.788445,6.195975
162.5,546.672109,6.153826
163.5,540.816617,6.112776
164.5,535.201733,6.072484
165.5,529.806903,6.032595
166.5,524.611021,5.992767
167.5,519.592337,5.952715
168.5,514.728764,5.912250
169.5,509.997856,5.871305
170.5,505.377147,5.829948
171.5,500.844593,5.788378
172.5,496.378905,5.746892
173.5,491.960127,5.705850
174.5,487.569602,5.665618
175.5,483.190805,5.626514
176.5,478.809300,5.588765
177.5,474.412894,5.552470
178.5,469.991740,5.517586
179.5,465.538320,5.483934
