E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,26.529833,0.678157
21.5,28.033221,0.681297
22.5,29.712138,0.687416
23.5,31.468539,0.696486
24.5,33.193235,0.706514
25.5,34.796766,0.714358
26.5,36.234845,0.718319
27.5,37.517619,0.719498
28.5,38.698841,0.720597
29.5,39.850968,0.723676
30.5,41.039364,0.729036
31.5,42.307315,0.735828
32.5,43.674976,0.743267
33.5,45.147465,0.751299
34.5,46.723795,0.760530
35.5,48.401239,0.771715
36.5,50.174319,0.785213
37.5,52.031543,0.800724
38.5,53.953637,0.817376
39.5,55.914880,0.834040
40.5,57.887149,0.849638
41.5,59.844603,0.863316
42.5,61.767172,0.874525
43.5,63.641552,0.883070
44.5,65.459958,0.889151
45.5,67.217394,0.893337
46.5,68.908759,0.896454
47.5,70.526483,0.899369
48.5,72.059398,0.902736
49.5,73.492804,0.906811
50.5,74.809772,0.911412
51.5,75.993064,0.916031
52.5,77.027368,0.920055
53.5,77.901288,0.922971
54.5,78.608870,0.924485
55.5,79.150264,0.924542
56.5,79.531585,0.923262
57.5,79.764098,0.920844
58.5,79.862890,0.917494
59.5,79.845444,0.913379
60.5,79.730208,0.908629
61.5,79.535420,0.903362
62.5,79.278158,0.897706
63.5,78.973725,0.891826
64.5,78.635135,0.885925
65.5,78.272716,0.880224
66.5,77.893810,0.874918
67.5,77.502519,0.870122
68.5,77.099705,0.865814
69.5,76.683217,0.861810
70.5,76.248457,0.857786
71.5,75.789296,0.853347
72.5,75.299200,0.848128
73.5,74.772479,0.841888
74.5,74.205378,0.834576
75.5,73.596824,0.826344
76.5,72.948716,0.817496
77.5,72.265645,0.808419
78.5,71.554207,0.799484
79.5,70.821990,0.790973
80.5,70.076449,0.783041
81.5,69.323937,0.775703
82.5,68.568997,0.768864
83.5,67.814064,0.762365
84.5,67.059551,0.756029
85.5,66.304218,0.749705
86.5,65.545751,0.743290
87.5,64.781398,0.736744
88.5,64.008518,0.730073
89.5,63.225044,0.723319
90.5,62.429772,0.716533
91.5,61.622485,0.709755
92.5,60.803988,0.703003
93.5,59.976037,0.696272
94.5,59.141253,0.689536
95.5,58.303017,0.682768
96.5,57.465325,0.675946
97.5,56.632635,0.669071
98.5,55.809692,0.662168
99.5,55.001307,0.655291
100.5,54.212128,0.648516
101.5,53.446415,0.641935
102.5,52.707796,0.635645
103.5,51.999080,0.629735
104.5,51.322126,0.624273
105.5,50.677763,0.619294
106.5,50.065797,0.614790
107.5,49.485083,0.610707
108.5,48.933621,0.606947
109.5,48.408697,0.603385
110.5,47.907032,0.599878
111.5,47.424920,0.596294
112.5,46.958360,0.592522
113.5,46.503196,0.588489
114.5,46.055220,0.584164
115.5,45.610284,0.579554
116.5,45.164429,0.574699
117.5,44.714005,0.569655
118.5,44.255804,0.564479
119.5,43.787215,0.559223
120.5,43.306337,0.553920
121.5,42.812093,0.548586
122.5,42.304303,0.543222
123.5,41.783716,0.537818
124.5,41.251971,0.532370
125.5,40.711521,0.526882
126.5,40.165498,0.521377
127.5,39.617518,0.515903
128.5,39.071460,0.510530
129.5,38.531224,0.505345
130.5,38.000503,0.500440
131.5,37.482524,0.495902
132.5,36.979909,0.491799
133.5,36.494507,0.488166
134.5,36.027329,0.484997
135.5,35.578532,0.482244
136.5,35.147468,0.479824
137.5,34.732792,0.477623
138.5,34.332610,0.475514
139.5,33.944679,0.473369
140.5,33.566584,0.471070
141.5,33.195944,0.468525
142.5,32.830584,0.465667
143.5,32.468685,0.462460
144.5,32.108879,0.458898
145.5,31.750317,0.455000
146.5,31.392685,0.450804
147.5,31.036179,0.446366
148.5,30.681436,0.441750
149.5,30.329449,0.437029
150.5,29.981463,0.432277
151.5,29.638855,0.427569
152.5,29.303013,0.422977
153.5,28.975250,0.418567
154.5,28.656691,0.414398
155.5,28.348206,0.410518
156.5,28.050358,0.406963
157.5,27.763365,0.403751
158.5,27.487098,0.400887
159.5,27.221074,0.398355
160.5,26.964507,0.396124
161.5,26.716340,0.394149
