E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,456.090363,10.093424
21.5,472.757128,10.138867
22.5,490.171979,10.259048
23.5,507.208777,10.441284
24.5,522.329916,10.624535
25.5,534.170372,10.736765
26.5,542.190328,10.742069
27.5,547.039251,10.658306
28.5,550.443921,10.534724
29.5,554.702617,10.414950
30.5,562.068863,10.319845
31.5,574.305847,10.257793
32.5,592.524558,10.240850
33.5,617.252633,10.287466
34.5,648.590194,10.413297
35.5,686.344965,10.622119
36.5,730.103490,10.904102
37.5,779.261283,11.240552
38.5,833.050046,11.610633
39.5,890.574033,11.996344
40.5,950.857583,12.384366
41.5,1012.889400,12.765316
42.5,1075.660337,13.131941
43.5,1138.190111,13.477623
44.5,1199.552785,13.795923
45.5,1258.902969,14.081051
46.5,1315.506736,14.328815
47.5,1368.768109,14.537481
48.5,1418.246545,14.708187
49.5,1463.657181,14.844714
50.5,1504.855997,14.952626
51.5,1541.809041,15.037952
52.5,1574.556950,15.105792
53.5,1603.181535,15.159283
54.5,1627.785247,15.199286
55.5,1648.482779,15.224889
56.5,1665.405598,15.234479
57.5,1678.713335,15.226910
58.5,1688.603835,15.202314
59.5,1695.318871,15.162267
60.5,1699.139384,15.109338
61.5,1700.373392,15.046316
62.5,1699.338190,14.975480
63.5,1696.342927,14.898242
64.5,1691.672478,14.815283
65.5,1685.575478,14.727049
66.5,1678.256293,14.634324
67.5,1669.869342,14.538551
68.5,1660.516617,14.441707
69.5,1650.246549,14.345756
70.5,1639.056510,14.251893
71.5,1626.899955,14.159908
72.5,1613.698710,14.067952
73.5,1599.361585,13.972840
74.5,1583.806055,13.870795
75.5,1566.980194,13.758423
76.5,1548.881545,13.633609
77.5,1529.568570,13.496078
78.5,1509.163711,13.347481
79.5,1487.846830,13.190984
80.5,1465.840385,13.030532
81.5,1443.390148,12.869992
82.5,1420.744009,12.712454
83.5,1398.133323,12.559860
84.5,1375.758433,12.413022
85.5,1353.779222,12.271956
86.5,1332.311189,12.136331
87.5,1311.425917,12.005851
88.5,1291.154149,11.880419
