E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,2.668099,0.256155
21.5,2.750003,0.256102
22.5,2.841617,0.258630
23.5,2.939785,0.263334
24.5,3.035605,0.267958
25.5,3.119626,0.270061
26.5,3.187219,0.268617
27.5,3.241206,0.264568
28.5,3.290666,0.260158
29.5,3.347052,0.257561
30.5,3.419914,0.257795
31.5,3.514179,0.260587
32.5,3.629603,0.264962
33.5,3.761896,0.269889
34.5,3.904467,0.274651
35.5,4.049980,0.278917
36.5,4.191404,0.282584
37.5,4.322666,0.285549
38.5,4.439165,0.287594
39.5,4.538286,0.288481
40.5,4.619845,0.288147
41.5,4.686258,0.286829
42.5,4.742233,0.285024
43.5,4.793899,0.283314
44.5,4.847536,0.282168
45.5,4.908212,0.281834
46.5,4.978714,0.282328
47.5,5.059028,0.283497
48.5,5.146497,0.285100
49.5,5.236541,0.286862
50.5,5.323758,0.288506
51.5,5.403077,0.289785
52.5,5.470744,0.290509
53.5,5.524944,0.290572
54.5,5.565992,0.289968
55.5,5.596113,0.288795
56.5,5.618900,0.287243
57.5,5.638612,0.285573
58.5,5.659429,0.284078
59.5,5.684816,0.283026
60.5,5.717074,0.282602
61.5,5.757113,0.282864
62.5,5.804457,0.283734
63.5,5.857444,0.285034
64.5,5.913548,0.286547
65.5,5.969765,0.288070
66.5,6.023002,0.289456
67.5,6.070406,0.290609
68.5,6.109629,0.291465
69.5,6.138997,0.291964
70.5,6.157594,0.292033
71.5,6.165267,0.291593
72.5,6.162570,0.290582
73.5,6.150646,0.288986
74.5,6.131071,0.286859
75.5,6.105664,0.284326
76.5,6.076277,0.281561
77.5,6.044606,0.278753
78.5,6.012029,0.276064
79.5,5.979502,0.273605
80.5,5.947515,0.271416
81.5,5.916121,0.269475
82.5,5.885012,0.267720
83.5,5.853641,0.266076
84.5,5.821344,0.264478
85.5,5.787459,0.262888
86.5,5.751415,0.261294
87.5,5.712787,0.259710
88.5,5.671317,0.258156
89.5,5.626906,0.256651
90.5,5.579596,0.255193
91.5,5.529538,0.253765
92.5,5.476976,0.252330
93.5,5.422227,0.250846
94.5,5.365678,0.249275
95.5,5.307788,0.247596
96.5,5.249084,0.245810
97.5,5.190145,0.243938
98.5,5.131588,0.242010
99.5,5.074027,0.240061
100.5,5.018028,0.238117
101.5,4.964064,0.236194
102.5,4.912467,0.234299
103.5,4.863391,0.232437
104.5,4.816793,0.230609
105.5,4.772440,0.228823
106.5,4.729932,0.227084
107.5,4.688751,0.225393
108.5,4.648318,0.223740
109.5,4.608072,0.222101
110.5,4.567534,0.220438
111.5,4.526380,0.218708
112.5,4.484484,0.216871
113.5,4.441954,0.214906
114.5,4.399138,0.212818
115.5,4.356606,0.210648
116.5,4.315108,0.208466
117.5,4.275514,0.206366
118.5,4.238745,0.204449
119.5,4.205696,0.202809
120.5,4.177165,0.201515
121.5,4.153788,0.200600
