E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,1.188921,0.068463
21.5,1.289361,0.070639
22.5,1.399877,0.073994
23.5,1.514211,0.077916
24.5,1.624327,0.081632
25.5,1.722486,0.084570
26.5,1.803531,0.086478
27.5,1.866312,0.087398
28.5,1.913709,0.087563
29.5,1.951389,0.087298
30.5,1.985967,0.086940
31.5,2.023267,0.086776
32.5,2.067147,0.086979
33.5,2.119086,0.087566
34.5,2.178441,0.088401
35.5,2.243188,0.089263
36.5,2.310848,0.089945
37.5,2.379334,0.090346
38.5,2.447480,0.090504
39.5,2.515133,0.090570
40.5,2.582863,0.090736
41.5,2.651438,0.091159
42.5,2.721289,0.091914
43.5,2.792145,0.092983
44.5,2.862923,0.094268
45.5,2.931868,0.095626
46.5,2.996855,0.096899
47.5,3.055755,0.097954
48.5,3.106756,0.098705
49.5,3.148587,0.099134
50.5,3.180624,0.099279
51.5,3.202866,0.099219
52.5,3.215830,0.099045
53.5,3.220371,0.098831
54.5,3.217508,0.098614
55.5,3.208258,0.098380
56.5,3.193533,0.098076
57.5,3.174104,0.097627
58.5,3.150617,0.096966
59.5,3.123666,0.096059
60.5,3.093871,0.094924
61.5,3.061941,0.093627
62.5,3.028709,0.092263
63.5,2.995105,0.090929
64.5,2.962108,0.089703
65.5,2.930661,0.088623
66.5,2.901582,0.087698
67.5,2.875498,0.086911
68.5,2.852791,0.086242
69.5,2.833581,0.085673
70.5,2.817729,0.085200
71.5,2.804855,0.084832
72.5,2.794376,0.084579
73.5,2.785542,0.084450
74.5,2.777486,0.084440
75.5,2.769274,0.084521
76.5,2.759962,0.084649
77.5,2.748656,0.084762
78.5,2.734569,0.084795
79.5,2.717072,0.084692
80.5,2.695733,0.084416
81.5,2.670335,0.083957
82.5,2.640872,0.083325
83.5,2.607531,0.082546
84.5,2.570657,0.081650
85.5,2.530708,0.080662
86.5,2.488216,0.079597
87.5,2.443752,0.078463
88.5,2.397900,0.077262
