E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,18.580375,0.454865
21.5,18.554796,0.447658
22.5,18.832158,0.447718
23.5,19.391666,0.454885
24.5,20.166169,0.467571
25.5,21.042885,0.482704
26.5,21.879673,0.496379
27.5,22.531256,0.504943
28.5,22.878669,0.505957
29.5,22.853771,0.498656
30.5,22.451937,0.483853
31.5,21.729973,0.463549
32.5,20.790740,0.440556
33.5,19.759569,0.418131
34.5,18.758734,0.399362
35.5,17.886450,0.386249
36.5,17.204261,0.379054
37.5,16.734712,0.376495
38.5,16.467920,0.376664
39.5,16.373436,0.377942
40.5,16.413097,0.379404
41.5,16.551365,0.380723
42.5,16.761547,0.381884
43.5,17.028068,0.382945
44.5,17.346143,0.383940
45.5,17.720297,0.384908
46.5,18.162749,0.385950
47.5,18.691848,0.387266
48.5,19.330263,0.389161
49.5,20.102335,0.392056
50.5,21.030212,0.396487
51.5,22.128569,0.403106
52.5,23.398468,0.412605
53.5,24.821370,0.425522
54.5,26.354819,0.441946
55.5,27.931474,0.461227
56.5,29.462672,0.481864
57.5,30.846965,0.501662
58.5,31.982729,0.518136
59.5,32.782798,0.529032
60.5,33.188169,0.532809
61.5,33.177801,0.528973
62.5,32.772220,0.518169
63.5,32.030141,0.502035
64.5,31.038862,0.482842
65.5,29.900642,0.463003
66.5,28.718027,0.444594
67.5,27.580970,0.429010
68.5,26.557897,0.416861
69.5,25.691616,0.408088
70.5,24.999850,0.402224
71.5,24.479264,0.398628
72.5,24.111452,0.396658
73.5,23.869385,0.395740
74.5,23.723108,0.395389
75.5,23.644059,0.395221
76.5,23.607760,0.394948
77.5,23.594997,0.394393
78.5,23.591859,0.393482
79.5,23.589023,0.392233
80.5,23.580595,0.390720
81.5,23.562989,0.389041
82.5,23.533863,0.387276
83.5,23.491422,0.385466
84.5,23.434031,0.383604
85.5,23.360146,0.381647
86.5,23.268496,0.379539
87.5,23.158409,0.377236
88.5,23.030152,0.374715
89.5,22.885212,0.371986
90.5,22.726460,0.369083
91.5,22.558087,0.366057
92.5,22.385447,0.362969
93.5,22.214738,0.359883
94.5,22.052565,0.356865
95.5,21.905562,0.353983
96.5,21.779936,0.351309
97.5,21.681148,0.348919
98.5,21.613569,0.346891
99.5,21.580191,0.345299
100.5,21.582719,0.344206
101.5,21.621372,0.343652
102.5,21.694942,0.343649
103.5,21.800900,0.344170
104.5,21.935485,0.345164
105.5,22.093939,0.346556
106.5,22.270697,0.348268
107.5,22.459691,0.350226
108.5,22.654681,0.352362
109.5,22.849687,0.354603
110.5,23.039498,0.356862
111.5,23.220277,0.359017
112.5,23.390239,0.360906
113.5,23.550350,0.362336
114.5,23.705023,0.363101
115.5,23.862691,0.363023
116.5,24.036136,0.361991
117.5,24.242567,0.360002
118.5,24.503240,0.357191
119.5,24.842626,0.353849
120.5,25.287073,0.350422
121.5,25.863001,0.347486
122.5,26.594719,0.345701
123.5,27.501995,0.345744
124.5,28.597571,0.348220
125.5,29.884872,0.353576
126.5,31.356112,0.362017
127.5,32.991053,0.373463
128.5,34.756601,0.387549
129.5,36.607352,0.403654
130.5,38.487216,0.420972
131.5,40.331937,0.438577
132.5,42.072577,0.455500
133.5,43.639525,0.470793
134.5,44.966848,0.483593
135.5,45.996601,0.493168
136.5,46.682705,0.498965
137.5,46.994053,0.500644
138.5,46.916578,0.498094
139.5,46.454073,0.491444
140.5,45.627695,0.481053
141.5,44.474231,0.467487
142.5,43.043281,0.451476
143.5,41.393657,0.433872
144.5,39.589304,0.415582
145.5,37.695180,0.397504
146.5,35.773371,0.380461
147.5,33.879796,0.365127
148.5,32.061709,0.351982
149.5,30.356108,0.341267
150.5,28.789092,0.332985
151.5,27.376127,0.326922
152.5,26.123008,0.322697
153.5,25.027416,0.319836
154.5,24.080769,0.317835
155.5,23.270225,0.316221
156.5,22.580613,0.314596
157.5,21.996094,0.312666
158.5,21.501529,0.310254
159.5,21.083441,0.307303
160.5,20.730548,0.303870
161.5,20.433924,0.300111
162.5,20.186832,0.296260
163.5,19.984315,0.292594
164.5,19.822645,0.289400
165.5,19.698711,0.286937
166.5,19.609430,0.285396
167.5,19.551274,0.284874
168.5,19.519938,0.285356
169.5,19.510178,0.286720
170.5,19.515850,0.288747
171.5,19.530093,0.291159
172.5,19.545674,0.293644
173.5,19.555400,0.295899
174.5,19.552572,0.297651
175.5,19.531443,0.298687
176.5,19.487614,0.298862
177.5,19.418294,0.298111
178.5,19.322489,0.296446
179.5,19.201014,0.293950
180.5,19.056413,0.290766
181.5,18.892741,0.287085
182.5,18.715131,0.283119
183.5,18.529532,0.279088
184.5,18.342230,0.275198
185.5,18.159427,0.271624
186.5,17.986854,0.268497
187.5,17.829428,0.265897
188.5,17.691008,0.263857
189.5,17.574192,0.262364
190.5,17.480230,0.261376
191.5,17.409009,0.260832
192.5,17.359114,0.260662
193.5,17.327932,0.260800
194.5,17.311820,0.261187
195.5,17.306295,0.261774
196.5,17.306253,0.262514
197.5,17.306201,0.263362
198.5,17.300477,0.264263
199.5,17.283499,0.265153
200.5,17.249971,0.265950
201.5,17.195110,0.266557
202.5,17.114824,0.266865
203.5,17.005887,0.266763
204.5,16.866090,0.266143
205.5,16.694327,0.264913
206.5,16.490670,0.263006
207.5,16.256387,0.260388
208.5,15.993905,0.257063
209.5,15.706728,0.253077
210.5,15.399299,0.248516
211.5,15.076833,0.243502
212.5,14.745080,0.238187
213.5,14.410112,0.232743
214.5,14.078050,0.227352
215.5,13.754813,0.222192
216.5,13.445882,0.217427
217.5,13.156083,0.213193
218.5,12.889411,0.209594
219.5,12.648897,0.206690
220.5,12.436523,0.204502
221.5,12.253204,0.203010
222.5,12.098795,0.202161
223.5,11.972165,0.201876
224.5,11.871301,0.202056
225.5,11.793467,0.202597
226.5,11.735334,0.203388
227.5,11.693180,0.204326
228.5,11.663053,0.205313
229.5,11.640958,0.206262
230.5,11.623009,0.207100
231.5,11.605577,0.207767
232.5,11.585406,0.208216
233.5,11.559708,0.208416
234.5,11.526240,0.208348
235.5,11.483337,0.208006
236.5,11.429940,0.207395
237.5,11.365562,0.206530
238.5,11.290298,0.205433
239.5,11.204752,0.204131
240.5,11.109992,0.202654
241.5,11.007465,0.201036
242.5,10.898932,0.199310
243.5,10.786377,0.197510
244.5,10.671931,0.195668
245.5,10.557773,0.193820
246.5,10.446066,0.192001
247.5,10.338872,0.190246
248.5,10.238089,0.188593
249.5,10.145390,0.187080
250.5,10.062172,0.185745
251.5,9.989518,0.184625
252.5,9.928179,0.183751
253.5,9.878549,0.183150
254.5,9.840674,0.182836
255.5,9.814256,0.182815
256.5,9.798682,0.183079
257.5,9.793064,0.183606
258.5,9.796286,0.184363
259.5,9.807044,0.185301
260.5,9.823926,0.186364
261.5,9.845469,0.187490
262.5,9.870236,0.188613
263.5,9.896861,0.189665
264.5,9.924129,0.190585
265.5,9.951010,0.191320
266.5,9.976709,0.191825
267.5,10.000689,0.192071
268.5,10.022683,0.192044
269.5,10.042685,0.191745
270.5,10.060939,0.191194
271.5,10.077900,0.190427
272.5,10.094183,0.189495
273.5,10.110515,0.188460
274.5,10.127659,0.187396
275.5,10.146354,0.186379
276.5,10.167241,0.185485
277.5,10.190805,0.184782
278.5,10.217314,0.184330
279.5,10.246776,0.184170
280.5,10.278913,0.184323
281.5,10.313138,0.184791
282.5,10.348566,0.185552
283.5,10.384030,0.186562
284.5,10.418115,0.187763
285.5,10.449210,0.189082
286.5,10.475570,0.190437
287.5,10.495381,0.191744
288.5,10.506840,0.192920
289.5,10.508220,0.193885
290.5,10.497957,0.194572
291.5,10.474698,0.194924
292.5,10.437367,0.194899
293.5,10.385204,0.194469
294.5,10.317792,0.193624
295.5,10.235075,0.192370
296.5,10.137350,0.190727
297.5,10.025256,0.188732
298.5,9.899753,0.186430
299.5,9.762048,0.183878
300.5,9.613592,0.181137
301.5,9.455999,0.178274
302.5,9.290997,0.175351
303.5,9.120368,0.172428
304.5,8.945898,0.169559
305.5,8.769327,0.166785
306.5,8.592309,0.164138
