E_keV,counts_per_h_per_keV,sigma_counts_per_h_per_keV
20.5,1.791958,0.095667
21.5,1.883969,0.096523
22.5,1.985039,0.098307
23.5,2.088192,0.100578
24.5,2.186472,0.102875
25.5,2.274616,0.104707
26.5,2.349908,0.105694
27.5,2.412140,0.105795
28.5,2.462865,0.105357
29.5,2.504302,0.104897
30.5,2.538364,0.104776
31.5,2.566275,0.105000
32.5,2.588871,0.105269
33.5,2.607369,0.105177
34.5,2.624100,0.104445
35.5,2.642806,0.103083
36.5,2.668272,0.101427
37.5,2.705413,0.100043
38.5,2.758135,0.099509
39.5,2.828339,0.100182
40.5,2.915382,0.102077
41.5,3.016160,0.104909
42.5,3.125750,0.108242
43.5,3.238435,0.111631
44.5,3.348824,0.114702
45.5,3.452779,0.117182
46.5,3.547993,0.118921
47.5,3.634080,0.119902
48.5,3.712250,0.120252
49.5,3.784678,0.120207
50.5,3.853749,0.120047
51.5,3.921375,0.120005
52.5,3.988532,0.120202
53.5,4.055090,0.120638
54.5,4.119935,0.121230
55.5,4.181299,0.121866
56.5,4.237189,0.122443
57.5,4.285795,0.122875
58.5,4.325798,0.123082
59.5,4.356544,0.122995
60.5,4.378082,0.122567
61.5,4.391089,0.121789
62.5,4.396739,0.120709
63.5,4.396527,0.119422
64.5,4.392095,0.118049
65.5,4.385055,0.116715
66.5,4.376841,0.115515
67.5,4.368576,0.114511
68.5,4.360987,0.113727
69.5,4.354355,0.113160
70.5,4.348514,0.112788
71.5,4.342900,0.112578
72.5,4.336643,0.112489
73.5,4.328690,0.112474
74.5,4.317942,0.112483
75.5,4.303389,0.112464
76.5,4.284228,0.112373
77.5,4.259943,0.112174
78.5,4.230356,0.111845
79.5,4.195635,0.111375
80.5,4.156273,0.110764
81.5,4.113043,0.110017
82.5,4.066943,0.109142
83.5,4.019128,0.108150
84.5,3.970841,0.107054
85.5,3.923341,0.105876
86.5,3.877829,0.104644
87.5,3.835380,0.103399
88.5,3.796871,0.102185
89.5,3.762927,0.101049
90.5,3.733875,0.100031
91.5,3.709722,0.099161
92.5,3.690158,0.098455
93.5,3.674579,0.097911
94.5,3.662139,0.097512
95.5,3.651817,0.097226
96.5,3.642490,0.097013
97.5,3.633022,0.096829
98.5,3.622330,0.096632
99.5,3.609447,0.096389
100.5,3.593573,0.096076
101.5,3.574107,0.095680
102.5,3.550658,0.095194
103.5,3.523055,0.094617
104.5,3.491333,0.093949
105.5,3.455727,0.093189
106.5,3.416649,0.092337
107.5,3.374665,0.091396
108.5,3.330466,0.090375
109.5,3.284838,0.089287
110.5,3.238617,0.088156
111.5,3.192656,0.087010
112.5,3.147771,0.085880
113.5,3.104712,0.084793
114.5,3.064114,0.083774
115.5,3.026476,0.082836
116.5,2.992139,0.081986
117.5,2.961281,0.081223
118.5,2.933923,0.080541
119.5,2.909943,0.079932
120.5,2.889106,0.079386
121.5,2.871083,0.078896
122.5,2.855487,0.078453
123.5,2.841894,0.078052
124.5,2.829866,0.077689
125.5,2.818964,0.077359
126.5,2.808755,0.077063
127.5,2.798814,0.076798
128.5,2.788724,0.076567
129.5,2.778070,0.076369
130.5,2.766440,0.076201
131.5,2.753426,0.076057
132.5,2.738633,0.075923
133.5,2.721691,0.075781
134.5,2.702272,0.075607
135.5,2.680113,0.075375
136.5,2.655037,0.075059
137.5,2.626973,0.074639
138.5,2.595968,0.074099
139.5,2.562197,0.073438
140.5,2.525954,0.072662
141.5,2.487643,0.071789
142.5,2.447754,0.070845
143.5,2.406832,0.069860
144.5,2.365444,0.068865
145.5,2.324144,0.067889
146.5,2.283445,0.066954
147.5,2.243790,0.066078
148.5,2.205538,0.065267
149.5,2.168954,0.064525
150.5,2.134212,0.063847
151.5,2.101403,0.063227
152.5,2.070551,0.062658
153.5,2.041631,0.062132
154.5,2.014590,0.061647
155.5,1.989361,0.061203
156.5,1.965882,0.060803
157.5,1.944101,0.060456
158.5,1.923979,0.060174
159.5,1.905491,0.059969
160.5,1.888620,0.059852
161.5,1.873344,0.059829
162.5,1.859630,0.059902
163.5,1.847425,0.060062
164.5,1.836644,0.060294
165.5,1.827167,0.060572
166.5,1.818841,0.060866
167.5,1.811474,0.061143
168.5,1.804852,0.061370
169.5,1.798736,0.061517
170.5,1.792881,0.061559
171.5,1.787043,0.061482
172.5,1.780991,0.061277
173.5,1.774517,0.060948
174.5,1.767443,0.060505
175.5,1.759628,0.059964
176.5,1.750972,0.059348
177.5,1.741415,0.058681
178.5,1.730941,0.057986
179.5,1.719569,0.057287
180.5,1.707356,0.056602
181.5,1.694387,0.055949
182.5,1.680771,0.055340
183.5,1.666636,0.054784
184.5,1.652123,0.054288
185.5,1.637376,0.053856
186.5,1.622541,0.053492
187.5,1.607753,0.053197
188.5,1.593139,0.052971
189.5,1.578802,0.052812
190.5,1.564824,0.052715
191.5,1.551258,0.052673
192.5,1.538128,0.052678
193.5,1.525426,0.052718
194.5,1.513108,0.052781
195.5,1.501105,0.052853
196.5,1.489316,0.052920
197.5,1.477620,0.052968
198.5,1.465877,0.052985
199.5,1.453938,0.052958
200.5,1.441650,0.052879
201.5,1.428868,0.052740
202.5,1.415457,0.052533
203.5,1.401305,0.052256
204.5,1.386324,0.051905
205.5,1.370459,0.051479
206.5,1.353689,0.050980
207.5,1.336029,0.050409
208.5,1.317532,0.049773
209.5,1.298283,0.049077
210.5,1.278399,0.048329
211.5,1.258024,0.047540
212.5,1.237318,0.046723
213.5,1.216457,0.045890
214.5,1.195619,0.045057
215.5,1.174981,0.044238
216.5,1.154710,0.043448
217.5,1.134956,0.042700
218.5,1.115849,0.042007
219.5,1.097494,0.041375
220.5,1.079967,0.040812
221.5,1.063317,0.040317
222.5,1.047563,0.039889
223.5,1.032701,0.039523
