# rates per second, merged T_sim_s=799.9997
bin_keV,sumw,sumw2,light_sumw,light_sumw2
0,0,0,0,0
1,0.002083334115,1.049812173e-07,0.002083334115,1.049812173e-07
2,0.002555556514,1.237462348e-07,0.002555556514,1.237462348e-07
3,0.002145371175,1.206032283e-07,0.002145371175,1.206032283e-07
4,0.0031544324,1.49783e-07,0.0031544324,1.49783e-07
5,0.005132156807,2.589345858e-07,0.005132156807,2.589345858e-07
6,0.005141668595,2.500970669e-07,0.005141668595,2.500970669e-07
7,0.00600000225,3.010547525e-07,0.00600000225,3.010547525e-07
8,0.004903474061,2.303080109e-07,0.004903474061,2.303080109e-07
9,0.005017079297,2.600614346e-07,0.005017079297,2.600614346e-07
10,0.006322753694,3.24278154e-07,0.006322753694,3.24278154e-07
11,0.004854378925,2.251875612e-07,0.004854378925,2.251875612e-07
12,0.00640026695,3.332525735e-07,0.00640026695,3.332525735e-07
13,0.006218520851,3.358164384e-07,0.006218520851,3.358164384e-07
14,0.005310187177,2.414053594e-07,0.005310187177,2.414053594e-07
15,0.006349407143,3.042084889e-07,0.006349407143,3.042084889e-07
16,0.006725465485,5.039460656e-07,0.006725465485,5.039460656e-07
17,0.00622017429,3.190826812e-07,0.00622017429,3.190826812e-07
18,0.005925928148,3.124573674e-07,0.005925928148,3.124573674e-07
19,0.005987849468,3.930395743e-07,0.005987849468,3.930395743e-07
20,0.007845241037,4.499859902e-07,0.007845241037,4.499859902e-07
21,0.006465280202,3.926025321e-07,0.006465280202,3.926025321e-07
22,0.00735979112,3.550688884e-07,0.00735979112,3.550688884e-07
23,0.007580558398,3.784956542e-07,0.007580558398,3.784956542e-07
24,0.00772407697,3.954169632e-07,0.00772407697,3.954169632e-07
25,0.01730000649,8.63954266e-07,0.01730000649,8.63954266e-07
26,0.007487568945,3.401203175e-07,0.007487568945,3.401203175e-07
27,0.009063958425,4.278758397e-07,0.009063958425,4.278758397e-07
28,0.0107277818,5.194156845e-07,0.0107277818,5.194156845e-07
29,0.01030269346,5.670770302e-07,0.01030269346,5.670770302e-07
30,0.0106713003,5.29183353e-07,0.0106713003,5.29183353e-07
31,0.01126389311,5.133105701e-07,0.01126389311,5.133105701e-07
32,0.01316661549,6.745392348e-07,0.01316661549,6.745392348e-07
33,0.0135482855,6.578606282e-07,0.0135482855,6.578606282e-07
34,0.01089768927,5.531899296e-07,0.01089768927,5.531899296e-07
35,0.01128102275,5.658888418e-07,0.01128102275,5.658888418e-07
36,0.01393796819,6.902590053e-07,0.01393796819,6.902590053e-07
37,0.01421296829,7.726343244e-07,0.01421296829,7.726343244e-07
38,0.01481713519,7.693363537e-07,0.01481713519,7.693363537e-07
39,0.01522718825,7.415954645e-07,0.01522718825,7.415954645e-07
40,0.01617990025,9.190914903e-07,0.01617990025,9.190914903e-07
41,0.01688810157,9.830983201e-07,0.01688810157,9.830983201e-07
42,0.01681978144,8.868394863e-07,0.01681978144,8.868394863e-07
43,0.01751945101,1.052442919e-06,0.01751945101,1.052442919e-06
44,0.01828951303,1.002748047e-06,0.01828951303,1.002748047e-06
45,0.01833025379,1.131064139e-06,0.01833025379,1.131064139e-06
46,0.0201385878,1.033165022e-06,0.0201385878,1.033165022e-06
47,0.01730857894,8.665442709e-07,0.01730857894,8.665442709e-07
48,0.02070721676,1.072459446e-06,0.02070721676,1.072459446e-06
49,0.02158287846,1.093849629e-06,0.02158287846,1.093849629e-06
50,0.02018148905,1.074800189e-06,0.02018148905,1.074800189e-06
51,0.02082441257,1.058372554e-06,0.02082441257,1.058372554e-06
52,0.02369174169,1.388936476e-06,0.02369174169,1.388936476e-06
53,0.02179379124,1.156394909e-06,0.02179379124,1.156394909e-06
54,0.02242084174,1.142364326e-06,0.02242084174,1.142364326e-06
55,0.02300663341,1.326990174e-06,0.02300663341,1.326990174e-06
56,0.02292037897,1.134786088e-06,0.02292037897,1.134786088e-06
57,0.02221819616,1.160388672e-06,0.02221819616,1.160388672e-06
58,0.02311371441,1.416370742e-06,0.02311371441,1.416370742e-06
59,0.02157408216,1.106096509e-06,0.02157408216,1.106096509e-06
60,0.02214352682,1.185421842e-06,0.02214352682,1.185421842e-06
61,0.0241428662,1.272808319e-06,0.0241428662,1.272808319e-06
62,0.0212986191,1.256157707e-06,0.0212986191,1.256157707e-06
63,0.02199193946,1.145913505e-06,0.02199193946,1.145913505e-06
64,0.02131574873,1.102031433e-06,0.02131574873,1.102031433e-06
