# rates per second, merged T_sim_s=1600.0002
bin_keV,sumw,sumw2,light_sumw,light_sumw2
0,0,0,0,0
1,0.0007301763466,1.079459833e-08,0.0007301763466,1.079459833e-08
2,0.0006295218135,1.071906221e-08,0.0006295218135,1.071906221e-08
3,0.0005663164047,8.118327526e-09,0.0005663164047,8.118327526e-09
4,0.0005167490438,7.361523718e-09,0.0005167490438,7.361523718e-09
5,0.0005010699819,7.334558242e-09,0.0005010699819,7.334558242e-09
6,0.0006664433684,1.159401885e-08,0.0006664433684,1.159401885e-08
7,0.0005161623383,8.093492368e-09,0.0005161623383,8.093492368e-09
8,0.000677056324,1.399865217e-08,0.000677056324,1.399865217e-08
9,0.0004367659732,6.091765055e-09,0.0004367659732,6.091765055e-09
10,0.0005494443117,8.736502486e-09,0.0005494443117,8.736502486e-09
11,0.0006606595467,1.017785255e-08,0.0006606595467,1.017785255e-08
12,0.0005188000942,1.313981405e-08,0.0005188000942,1.313981405e-08
13,0.0002863425568,3.73944308e-09,0.0002863425568,3.73944308e-09
14,0.0003934666107,9.448858893e-09,0.0003934666107,9.448858893e-09
15,0.000424503718,5.906163134e-09,0.000424503718,5.906163134e-09
16,0.0005253398624,1.131935452e-08,0.0005253398624,1.131935452e-08
17,0.0003674967492,6.437445987e-09,0.0003674967492,6.437445987e-09
18,0.0004860270933,9.251283658e-09,0.0004860270933,9.251283658e-09
19,0.0003072294375,4.001330585e-09,0.0003072294375,4.001330585e-09
20,0.0005310647325,9.624648652e-09,0.0005310647325,9.624648652e-09
21,0.0004333603569,6.203063035e-09,0.0004333603569,6.203063035e-09
22,0.0006424174018,1.004558641e-08,0.0006424174018,1.004558641e-08
23,0.0004981320284,8.522544671e-09,0.0004981320284,8.522544671e-09
24,0.0004181031668,5.410072199e-09,0.0004181031668,5.410072199e-09
25,0.001034187051,1.590058165e-08,0.001034187051,1.590058165e-08
26,0.0006417939674,1.409008684e-08,0.0006417939674,1.409008684e-08
27,0.0005651658149,7.701263778e-09,0.0005651658149,7.701263778e-09
28,0.0006187498481,1.242400452e-08,0.0006187498481,1.242400452e-08
29,0.0007781296985,1.036266517e-08,0.0007781296985,1.036266517e-08
30,0.0006276032503,9.26482876e-09,0.0006276032503,9.26482876e-09
31,0.0008553226559,1.32268914e-08,0.0008553226559,1.32268914e-08
32,0.0005987580033,9.192358785e-09,0.0005987580033,9.192358785e-09
33,0.0007330401673,1.496498202e-08,0.0007330401673,1.496498202e-08
34,0.0009994859599,1.532375791e-08,0.0009994859599,1.532375791e-08
35,0.0007277354353,1.463030523e-08,0.0007277354353,1.463030523e-08
36,0.0006034663118,9.738289355e-09,0.0006034663118,9.738289355e-09
37,0.0005483066635,7.808772007e-09,0.0005483066635,7.808772007e-09
38,0.0007880463507,1.124572782e-08,0.0007880463507,1.124572782e-08
39,0.000662024275,8.607205462e-09,0.000662024275,8.607205462e-09
40,0.0005659444714,9.617390781e-09,0.0005659444714,9.617390781e-09
41,0.0007944443358,1.319058281e-08,0.0007944443358,1.319058281e-08
42,0.0009789903541,1.651715096e-08,0.0009789903541,1.651715096e-08
43,0.0009189523619,1.42848448e-08,0.0009189523619,1.42848448e-08
44,0.0009107964817,1.514308907e-08,0.0009107964817,1.514308907e-08
45,0.0009979165386,1.961081681e-08,0.0009979165386,1.961081681e-08
46,0.00108641967,1.713076076e-08,0.00108641967,1.713076076e-08
47,0.001355801149,2.737482472e-08,0.001355801149,2.737482472e-08
48,0.001011991303,2.590607691e-08,0.001011991303,2.590607691e-08
49,0.0009145226185,1.379081501e-08,0.0009145226185,1.379081501e-08
50,0.0007301446142,1.101568024e-08,0.0007301446142,1.101568024e-08
51,0.000920138811,1.467444253e-08,0.000920138811,1.467444253e-08
52,0.0013169567,2.673577232e-08,0.0013169567,2.673577232e-08
53,0.001071713152,1.893071078e-08,0.001071713152,1.893071078e-08
54,0.001370332848,2.541261946e-08,0.001370332848,2.541261946e-08
55,0.001093935698,1.670475753e-08,0.001093935698,1.670475753e-08
56,0.001209722065,2.231673807e-08,0.001209722065,2.231673807e-08
57,0.001060080572,1.634034831e-08,0.001060080572,1.634034831e-08
58,0.001222799314,2.169350979e-08,0.001222799314,2.169350979e-08
59,0.001477469711,2.474304239e-08,0.001477469711,2.474304239e-08
60,0.001558925821,3.642395764e-08,0.001558925821,3.642395764e-08
61,0.0009221845033,1.556789673e-08,0.0009221845033,1.556789673e-08
62,0.001066638753,2.097796881e-08,0.001066638753,2.097796881e-08
63,0.001375645982,2.091796267e-08,0.001375645982,2.091796267e-08
64,0.001341750162,2.133155768e-08,0.001341750162,2.133155768e-08
65,0.001197725971,2.08919636e-08,0.001197725971,2.08919636e-08
66,0.001180816287,1.642554973e-08,0.001180816287,1.642554973e-08
67,0.001306630886,2.292142472e-08,0.001306630886,2.292142472e-08
68,0.001081863278,1.696836688e-08,0.001081863278,1.696836688e-08
69,0.001050525359,2.009033729e-08,0.001050525359,2.009033729e-08
70,0.001223347934,2.412775952e-08,0.001223347934,2.412775952e-08
71,0.001147321019,1.593677699e-08,0.001147321019,1.593677699e-08
72,0.00104376303,1.539619732e-08,0.00104376303,1.539619732e-08
73,0.001596139367,2.655619333e-08,0.001596139367,2.655619333e-08
74,0.001296510629,2.022266513e-08,0.001296510629,2.022266513e-08
75,0.0009831772362,1.300443277e-08,0.0009831772362,1.300443277e-08
76,0.001442835992,2.970432693e-08,0.001442835992,2.970432693e-08
77,0.001277342395,2.548068086e-08,0.001277342395,2.548068086e-08
78,0.0009130304648,1.39504798e-08,0.0009130304648,1.39504798e-08
79,0.00122771661,2.164976399e-08,0.00122771661,2.164976399e-08
80,0.001508416568,2.542599629e-08,0.001508416568,2.542599629e-08
81,0.001009156618,1.925832771e-08,0.001009156618,1.925832771e-08
82,0.001161127579,1.930439154e-08,0.001161127579,1.930439154e-08
83,0.0009614186089,1.337068002e-08,0.0009614186089,1.337068002e-08
84,0.001280641008,3.021137424e-08,0.001280641008,3.021137424e-08
85,0.001078534759,2.202241767e-08,0.001078534759,2.202241767e-08
86,0.001357795011,2.301540095e-08,0.001357795011,2.301540095e-08
87,0.0007938402309,1.111549372e-08,0.0007938402309,1.111549372e-08
88,0.0009028766321,1.437429067e-08,0.0009028766321,1.437429067e-08
89,0.0009177393266,1.58603472e-08,0.0009177393266,1.58603472e-08
90,0.001039710977,2.389526614e-08,0.001039710977,2.389526614e-08
91,0.001104882492,1.998056689e-08,0.001104882492,1.998056689e-08
92,0.0009465049857,1.640921218e-08,0.0009465049857,1.640921218e-08
93,0.0007878426382,1.285068038e-08,0.0007878426382,1.285068038e-08
94,0.0009226286234,1.125010775e-08,0.0009226286234,1.125010775e-08
95,0.00104066738,1.740417036e-08,0.00104066738,1.740417036e-08
96,0.001291585426,2.08218146e-08,0.001291585426,2.08218146e-08
97,0.0010530899,1.961238302e-08,0.0010530899,1.961238302e-08
98,0.0009515066714,1.819557629e-08,0.0009515066714,1.819557629e-08
99,0.001056891675,1.639675805e-08,0.001056891675,1.639675805e-08
100,0.001195845792,2.324400068e-08,0.001195845792,2.324400068e-08
