# rates per second, sum over components
bin_keV,sumw,sumw2,light_sumw,light_sumw2
0,0,0,0,0
1,0.07226816125,5.083715868e-05,0.07226816125,5.083715868e-05
2,0.06538410814,4.393250294e-05,0.06538410814,4.393250294e-05
3,0.06169569162,4.447078489e-05,0.06169569162,4.447078489e-05
4,0.07470546408,5.57875556e-05,0.07470546408,5.57875556e-05
5,0.09843043369,7.95045417e-05,0.09843043369,7.95045417e-05
6,0.09674643616,6.67365779e-05,0.09674643616,6.67365779e-05
7,0.1096473958,7.430821622e-05,0.1096473958,7.430821622e-05
8,0.08857976287,6.315323947e-05,0.08857976287,6.315323947e-05
9,0.1023024737,7.039450312e-05,0.1023024737,7.039450312e-05
10,0.120395507,9.65940404e-05,0.120395507,9.65940404e-05
11,0.1306214881,8.847232508e-05,0.1306214881,8.847232508e-05
12,0.131652738,9.693559918e-05,0.131652738,9.693559918e-05
13,0.1152851046,8.061715533e-05,0.1152851046,8.061715533e-05
14,0.1220797948,8.276130125e-05,0.1220797948,8.276130125e-05
15,0.1222851153,8.527149027e-05,0.1222851153,8.527149027e-05
16,0.1272148376,8.824476534e-05,0.1272148376,8.824476534e-05
17,0.1135755584,7.810688183e-05,0.1135755584,7.810688183e-05
18,0.1188455098,8.220017541e-05,0.1188455098,8.220017541e-05
19,0.1317807523,8.995009386e-05,0.1317807523,8.995009386e-05
20,0.1398020369,0.000100498994,0.1398020369,0.000100498994
21,0.1504252143,0.0001175200241,0.1504252143,0.0001175200241
22,0.1237797987,8.614884184e-05,0.1237797987,8.614884184e-05
23,0.1462078337,0.0001110042622,0.1462078337,0.0001110042622
24,0.1304686943,9.250947873e-05,0.1304686943,9.250947873e-05
25,0.3235908812,0.0002300273166,0.3235908812,0.0002300273166
26,0.1317915207,9.246285524e-05,0.1317915207,9.246285524e-05
27,0.151523616,0.0001048949346,0.151523616,0.0001048949346
28,0.1785873841,0.0001256292768,0.1785873841,0.0001256292768
29,0.1730755661,0.0001219032729,0.1730755661,0.0001219032729
30,0.1346898716,9.190946501e-05,0.1346898716,9.190946501e-05
31,0.175624237,0.0001365077598,0.175624237,0.0001365077598
32,0.1884650259,0.0001344930683,0.1884650259,0.0001344930683
33,0.1733864293,0.0001185361601,0.1733864293,0.0001185361601
